id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
0d85a4e8,20,40,19,1,2,4,0,3,1,1,1
1bebde9d,4,13,9,0,0,2,0,0,0,0,0
2628fd2b,42,145,104,16,7,8,7,7,7,0,0
2642bf6c,69,207,135,10,4,24,10,7,4,3,0
28d596a0,39,121,81,20,8,8,14,2,1,1,0
34ccf6fa,18,56,38,4,3,5,4,3,3,0,0
36c2ca73,44,119,78,5,8,12,4,2,2,0,0
3a949a25,48,140,93,12,9,17,11,6,6,0,0
3bb7b8b4,23,81,58,32,2,4,20,4,4,0,0
4535e4bb,55,152,96,8,8,18,6,8,8,0,0
4806ec67,46,136,89,15,9,14,14,5,2,3,0
53af52f3,48,138,90,15,7,16,10,5,5,0,0
5f0241b2,56,165,111,6,3,20,5,4,4,0,0
63d17038,2,13,11,2,0,1,1,0,0,0,0
71672fa0,9,37,28,5,0,2,1,0,0,0,0
76eca7e2,26,69,42,4,3,10,5,4,3,1,0
79b0d6a0,46,138,96,15,9,13,7,4,3,0,1
7a2e46a8,22,96,74,30,7,1,21,1,0,0,1
7b4de647,47,104,59,8,3,13,5,2,2,0,0
7ba6d84e,54,171,120,19,9,10,7,6,6,0,0
8e65a5e5,4,9,5,0,0,1,0,0,0,0,0
8f62b6ee,33,130,98,21,2,10,12,5,3,2,0
9328b835,55,198,143,15,7,16,7,5,4,1,0
939bc634,54,141,86,3,5,22,5,5,4,1,0
a179d516,0,3,3,1,1,0,2,0,0,0,0
a6de6361,27,83,59,8,4,7,4,1,1,0,0
ab13a5aa,23,85,63,10,4,6,7,1,1,0,0
af245161,5,21,16,0,0,2,0,0,0,0,0
b73e459a,1,3,2,0,1,0,0,0,0,0,0
c3e39f12,3,6,3,0,0,1,0,0,0,0,0
c73ada83,0,0,0,0,0,0,1,0,0,0,0
cb4f24c6,41,116,75,3,3,13,4,2,1,1,0
d0b3ceb9,59,180,123,14,8,16,7,5,4,1,0
d822a850,21,42,22,0,1,6,0,3,3,0,0
da8b19e2,0,3,3,1,0,0,1,0,0,0,0
e082af5b,18,50,31,4,4,4,3,1,0,1,0
e608ed4c,5,18,13,1,1,2,1,2,2,0,0
fe558029,5,13,9,1,0,1,1,0,0,0,0
