id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
17acc2ed,5,9,4,0,0,2,0,1,1,0,0
2628fd2b,37,117,83,17,6,12,11,2,1,1,0
28d596a0,8,23,15,2,2,2,2,1,1,0,0
2f965a72,48,161,114,5,13,18,9,6,6,0,0
33887998,25,81,56,17,7,7,16,3,2,1,0
36c2ca73,57,147,91,8,7,15,7,6,6,0,0
3a949a25,19,62,44,5,5,3,3,1,1,0,0
3bb7b8b4,28,93,65,25,5,6,19,8,7,1,0
3e1550ee,3,5,1,1,0,0,0,2,1,1,0
42130443,1,2,1,1,0,0,0,0,0,0,0
4535e4bb,21,44,24,3,5,6,3,5,5,0,0
466fb2c5,63,206,145,7,2,29,5,4,3,0,1
4806ec67,39,128,90,15,5,11,10,3,2,0,1
4879f8cb,14,24,10,0,0,4,0,0,0,0,0
4b40d9ca,37,149,113,10,9,13,11,3,3,0,0
53af52f3,50,136,88,20,6,12,11,4,4,0,0
58bc7d18,2,10,8,2,0,1,1,0,0,0,0
62d7ef38,1,7,6,1,0,1,1,0,0,0,0
6385ebfb,3,9,6,2,0,1,1,0,0,0,0
6a713852,27,91,65,7,10,10,10,3,2,0,1
6b625ac2,52,188,137,16,5,14,11,9,8,1,0
728e9b2e,0,3,3,0,0,0,0,0,0,0,0
7956236f,46,186,133,16,7,15,15,6,5,1,0
79b0d6a0,51,148,99,12,9,16,10,8,7,1,0
7a2e46a8,32,115,82,18,8,7,10,8,4,1,3
7ba6d84e,32,90,59,12,9,5,9,4,4,0,0
8f62b6ee,45,155,113,18,8,12,12,10,10,0,0
8fa8f8d2,0,2,2,0,0,0,0,0,0,0,0
9328b835,44,138,97,17,8,10,10,5,3,1,1
9e5708be,74,234,162,4,11,22,6,11,7,1,3
a179d516,3,3,0,0,1,0,0,0,0,0,0
ab13a5aa,64,169,104,11,8,18,8,4,3,1,0
c3e39f12,11,31,19,4,0,4,2,3,2,1,0
c73ada83,4,6,2,0,0,2,0,0,0,0,0
cc70a1d5,2,5,3,1,0,0,0,0,0,0,0
cde3309f,43,126,84,7,4,14,4,4,3,1,0
da8b19e2,1,4,3,0,0,1,0,0,0,0,0
e5a76dfe,12,51,39,9,2,1,4,0,0,0,0
e608ed4c,2,6,4,1,0,0,0,0,0,0,0
e7ee38c3,9,30,21,2,3,2,2,1,1,0,0
f76e6b4e,9,18,9,1,1,1,1,0,0,0,0
