id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
532e1e4f,34,21,24,10,0,16,24,8,39,23,16,27,61,153,1,203
53ddba36,9,7,2,7,0,2,4,2,3,0,3,3,12,1,0,12
54073b28,30,19,13,12,5,10,40,30,14,3,11,22,52,9,0,106
545e2f01,4,3,3,1,0,2,4,2,3,3,0,8,12,12,0,22
55126f3b,70,42,27,30,13,29,89,60,33,8,25,29,99,28,2,172
5512b1a9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
555f3a0b,15,8,12,2,1,11,20,9,11,5,6,12,27,61,0,72
57be54ec,0,0,0,0,0,0,3,3,3,0,3,1,1,4,0,16
58640e66,4,4,3,1,0,0,2,2,4,0,4,5,9,2,0,12
58a3a572,2,2,1,1,0,2,3,1,0,0,0,2,4,1,0,4
58a9a4d9,45,27,12,26,7,23,60,37,23,1,22,13,58,9,1,120
58afe001,72,33,24,40,8,31,69,38,52,5,47,43,115,40,2,201
59b7d823,22,12,14,6,2,11,14,3,7,0,7,3,25,11,0,31
5a626448,30,22,9,14,7,11,33,22,22,2,20,25,55,23,0,146
5ab0ea87,80,44,23,43,14,41,71,30,36,5,31,44,124,24,2,219
5c4dc0ff,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
5c7845f6,42,21,18,19,5,17,35,18,38,21,17,26,68,82,2,181
5c96b017,55,30,22,26,7,18,46,28,34,5,29,11,66,23,1,131
5ca20b7a,62,43,39,18,5,31,59,28,31,7,24,37,99,71,0,109
5ce0b5ba,2,2,1,0,1,2,6,4,2,1,1,5,7,6,0,18
5ceba7fc,5,3,0,3,2,1,4,3,2,0,2,3,8,2,0,15
5d5219b1,3,2,1,0,2,1,9,8,8,0,8,0,3,1,0,16
5dcf3e90,0,0,0,0,0,0,1,1,1,0,1,1,1,10,1,24
5eebbfdf,9,5,3,3,3,2,5,3,10,0,10,11,20,4,0,44
6025fab1,37,18,9,15,13,16,41,25,10,2,8,22,59,12,0,132
603116a7,19,11,8,8,3,9,28,19,19,2,17,18,37,21,0,91
60359288,5,4,3,2,0,1,3,2,4,2,2,4,9,24,0,23
605873e1,12,9,5,5,2,3,8,5,12,3,9,17,29,19,0,50
605eb473,0,0,0,0,0,0,1,1,2,0,2,5,5,9,1,35
61220da2,38,25,15,13,10,13,53,40,30,5,25,44,82,42,2,225
61b62b33,16,11,6,8,2,9,16,7,12,0,12,7,23,2,0,47
61bb7498,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
61bd33d0,20,10,7,8,5,11,34,23,23,4,19,18,38,12,0,107
6265208f,26,17,4,12,10,4,32,28,36,5,31,13,39,46,0,100
636eae97,31,16,13,14,4,13,50,37,16,1,15,8,39,11,0,96
63f04c6c,30,19,16,11,3,19,33,14,18,6,12,16,46,26,1,71
6435143e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64e8ed6d,12,3,4,6,2,2,13,11,11,0,11,4,16,6,0,63
65154df0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65d62814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6636496a,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,7
6763373d,2,1,1,0,1,1,2,1,3,1,2,0,2,1,0,3
67669ce7,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,7
67cdbc0e,63,38,22,30,11,24,58,34,31,7,24,17,80,16,1,108
6922f806,12,8,6,4,2,3,24,21,11,3,8,7,19,22,0,43
697295b1,18,9,11,7,0,9,19,10,16,10,6,36,54,82,0,87
69cbc8b6,37,17,22,14,1,22,40,18,29,16,13,42,79,144,1,153
6a99e0b1,15,5,0,7,8,5,18,13,18,2,16,5,20,29,0,82
6bb2c084,76,49,29,40,7,26,78,52,42,6,36,44,120,30,0,193
6c811eb7,16,10,6,8,2,4,21,17,5,1,4,1,17,3,0,37
6ce1f46f,56,28,18,29,9,18,70,52,27,0,27,23,79,15,0,173
6d8f8441,25,18,14,8,3,14,30,16,9,2,7,13,38,19,0,63
6dce77a5,2,0,1,1,0,2,5,3,0,0,0,1,3,7,0,19
6f51e382,2,2,2,0,0,2,3,1,0,0,0,2,4,17,6,59
6f5f82c0,14,8,9,3,2,10,20,10,13,1,12,13,27,21,0,36
70d74ece,18,8,3,11,4,2,16,14,16,4,12,7,25,30,1,71
70d8e84c,34,22,29,5,0,16,27,11,26,15,11,28,62,73,1,105
70f8e0bd,59,32,24,28,7,18,61,43,35,3,32,38,97,27,1,183
7111d552,26,16,13,8,5,8,32,24,14,0,14,3,29,2,0,66
715bf047,17,13,6,8,3,6,12,6,3,0,3,3,20,1,0,18
719384c1,19,8,8,9,2,3,13,10,10,1,9,13,32,15,0,70
71b47ab9,15,8,6,8,1,6,21,15,14,1,13,10,25,15,0,58
72a99e38,8,5,2,2,4,4,8,4,5,0,5,4,12,0,0,42
72b07a9c,33,16,25,7,1,13,35,22,30,16,14,61,94,112,2,193
7329018e,39,26,13,22,4,18,42,24,24,7,17,34,73,38,0,141
73683fa9,2,2,2,0,0,1,2,1,0,0,0,2,4,8,1,60
7460ca0d,67,41,29,32,6,32,101,69,38,11,27,22,89,20,2,243
74dc806c,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,6
75645f0e,7,5,1,4,2,0,9,9,7,4,3,5,12,18,0,34
75751c99,0,0,0,0,0,0,2,2,0,0,0,0,0,28,2,21
75bd85ea,27,21,11,16,0,9,30,21,17,5,12,29,56,17,1,172
79135368,1,1,0,1,0,0,3,3,4,0,4,4,5,1,0,19
79300479,27,19,5,14,8,7,34,27,13,0,13,17,44,5,0,157
7958dc65,1,0,0,1,0,1,8,7,3,0,3,1,2,0,0,34
7a538238,25,14,16,7,2,13,22,9,5,1,4,10,35,14,0,40
7b456af7,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,41
7b5ab7f2,9,5,3,5,1,1,9,8,6,0,6,3,12,1,0,44
7c2965bb,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7
7c363088,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
7c388b20,48,30,25,19,4,20,61,41,36,3,33,35,83,29,0,147
7c4243d4,40,21,17,18,5,13,44,31,13,4,9,11,51,8,0,156
7dcf86f6,29,19,7,9,13,12,45,33,16,1,15,22,51,7,0,108
7f203b54,4,3,1,3,0,1,2,1,1,0,1,5,9,12,0,18
7f4c7c9f,52,27,35,13,4,26,45,19,30,8,22,46,98,61,1,169
808d48f3,27,23,17,8,2,14,28,14,11,6,5,24,51,52,1,60
808df563,2,1,1,0,1,1,1,0,0,0,0,1,3,0,0,3
81069528,42,23,23,17,2,19,43,24,17,4,13,30,72,48,0,99
81a606fc,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,4
81d5c497,1,0,0,1,0,1,2,1,0,0,0,0,1,2,0,4
81f0781e,19,8,4,10,5,5,46,41,19,3,16,10,29,51,0,97
82e9b89d,12,6,2,6,4,2,8,6,12,2,10,6,18,9,0,29
833fb62e,12,10,2,6,4,2,20,18,11,1,10,7,19,2,0,45
84399660,4,1,1,2,1,1,4,3,1,0,1,0,4,0,0,11
8455ad90,3,1,0,2,1,3,6,3,5,0,5,3,6,0,0,15
84bba8b6,2,0,1,1,0,1,7,6,2,0,2,3,5,1,0,20
84f55b4a,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
84fb6aff,22,12,14,4,4,10,20,10,11,4,7,12,34,35,0,54
850c0a0d,33,20,23,8,2,16,34,18,20,4,16,29,62,82,0,173
85dace26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
868ce848,30,18,17,10,3,14,23,9,17,4,13,28,58,38,0,91
8696bc90,19,17,6,11,2,4,21,17,8,0,8,7,26,8,0,54
873619c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873ce3a2,10,4,6,3,1,2,12,10,4,2,2,5,15,3,0,41
874d7a32,19,13,8,10,1,6,23,17,8,1,7,6,25,13,0,54
88050721,30,22,8,18,4,10,41,31,13,2,11,18,48,12,1,144
8875b8c9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
88a359d4,7,5,1,5,1,2,19,17,6,2,4,4,11,8,0,37
88d91621,37,22,11,24,2,8,24,16,16,2,14,17,54,26,1,70
88f130ed,1,0,1,0,0,0,1,1,0,0,0,0,1,6,0,3
89151b16,20,13,14,5,1,10,14,4,15,9,6,23,43,74,0,67
89cbc961,5,2,2,3,0,0,2,2,8,2,6,3,8,9,1,35
89f951b5,27,14,8,15,4,10,28,18,19,6,13,15,42,18,1,106
8aafd64f,9,3,3,3,3,4,14,10,4,0,4,10,19,4,1,58
8b625720,2,1,2,0,0,1,4,3,5,4,1,4,6,12,0,8
8c3c640c,36,15,13,15,8,16,46,30,32,2,30,13,49,19,1,149
8cfc2f69,14,8,2,8,4,2,18,16,10,1,9,3,17,10,0,61
8d47bb39,16,11,12,3,1,9,21,12,15,2,13,28,44,60,0,85
8db394aa,34,19,17,15,2,16,28,12,20,7,13,52,86,76,2,112
8dc6dbb3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8e010ff4,11,6,3,6,2,4,12,8,2,0,2,2,13,3,0,29
8e049cbd,21,16,12,8,1,14,25,11,6,4,2,18,39,46,0,66
8e088e04,22,15,11,8,3,9,10,1,9,1,8,8,30,13,1,28
8e48dc61,27,11,9,17,1,12,30,18,13,3,10,8,35,15,1,71
8e92be30,7,2,0,3,4,1,8,7,8,0,8,3,10,6,0,29
8ef81d2d,6,4,3,2,1,2,4,2,4,3,1,4,10,7,0,25
8f29e08b,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,2
8f3565b3,31,15,4,22,5,7,29,22,21,4,17,8,39,29,0,52
8f5e92a6,6,1,2,3,1,2,21,19,13,0,13,10,16,5,0,41
8f898ba8,13,10,3,6,4,2,14,12,9,1,8,3,16,22,0,28
8f8c6934,2,1,2,0,0,2,4,2,0,0,0,3,5,17,5,46
8fae77ea,1,1,1,0,0,0,2,2,0,0,0,1,2,7,3,35
8fc259d7,2,1,2,0,0,2,5,3,2,1,1,0,2,2,0,7
9038c2a1,29,20,8,16,5,15,33,18,18,3,15,18,47,9,0,80
904cd50d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
9109185e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9260926b,16,9,5,9,2,4,11,7,5,0,5,12,28,6,0,42
92d38e6c,42,31,24,15,3,19,28,9,14,1,13,46,88,69,0,108
93090f69,30,19,24,5,1,11,20,9,34,24,10,34,64,153,1,107
933e8c8a,19,8,11,8,0,8,20,12,18,5,13,27,46,63,0,134
949c3655,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
963829d0,34,21,10,17,7,12,45,33,23,12,11,4,38,21,0,92
967f34d3,1,1,1,0,0,1,1,0,0,0,0,0,1,14,1,18
97572117,45,25,26,15,4,20,37,17,24,5,19,14,59,50,1,125
97852360,1,0,1,0,0,1,3,2,0,0,0,0,1,10,0,18
9939e168,52,30,26,22,4,27,54,27,29,5,24,16,68,23,1,117
9970da54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
999908af,54,31,25,24,5,16,33,17,23,5,18,17,71,17,1,99
99bebd12,2,1,0,1,1,0,0,0,1,0,1,0,2,0,0,2
9a64e67e,48,27,33,15,0,26,35,9,20,7,13,20,68,99,0,108
9ab48bde,41,32,22,13,6,30,63,33,13,0,13,24,65,21,0,116
9d2a3d5f,5,3,2,2,1,3,8,5,4,0,4,3,8,6,0,33
9d66fbe3,16,9,2,7,7,7,24,17,16,4,12,4,20,16,0,53
9dfdbdeb,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
9e098912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e1035f8,23,15,6,16,1,8,30,22,20,3,17,14,37,12,0,125
9f0ea33f,0,0,0,0,0,0,2,2,0,0,0,1,1,15,1,39
9f323c71,5,3,2,1,2,3,6,3,6,0,6,8,13,8,0,28
9f8e9423,30,17,15,14,1,12,23,11,32,16,16,31,61,124,0,159
a01c3d54,1,1,1,0,0,1,1,0,0,0,0,2,3,18,3,45
a0255c67,7,3,3,4,0,2,9,7,1,1,0,2,9,2,0,17
a03c82b2,10,7,8,2,0,9,14,5,7,3,4,9,19,51,0,32
a08b974a,54,31,30,19,5,30,72,42,33,2,31,22,76,27,0,141
a0b4bb3e,13,9,2,10,1,5,14,9,9,0,9,7,20,4,1,64
a190d597,9,5,1,4,4,1,10,9,4,2,2,3,12,10,0,29
a2609621,24,13,15,9,0,7,15,8,11,7,4,21,45,50,1,68
a300ac7e,12,6,2,8,2,3,13,10,13,2,11,2,14,0,0,66
a35134ae,13,6,10,2,1,7,11,4,17,11,6,16,29,31,0,43
a39bb753,7,3,2,3,2,3,15,12,5,0,5,6,13,0,0,61
a4971d84,42,32,27,15,0,17,30,13,20,7,13,34,76,105,1,228
a4995f48,1,1,1,0,0,1,4,3,0,0,0,1,2,13,3,16
a55d8df5,27,17,14,11,2,16,39,23,18,1,17,8,35,11,0,82
a58bb1e1,9,5,5,2,2,3,14,11,8,2,6,6,15,9,0,36
a5cdedc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
a6154613,4,0,0,1,3,2,12,10,6,1,5,1,5,11,0,36
a685f013,4,2,3,1,0,2,2,0,4,0,4,1,5,6,1,8
a6951bf8,37,21,25,11,1,16,38,22,19,9,10,38,75,25,0,149
a6de370d,25,16,14,6,5,7,28,21,30,1,29,13,38,16,0,177
a7a9d95a,3,3,2,1,0,1,7,6,4,1,3,2,5,10,0,25
a83d8b0c,29,14,13,14,2,8,35,27,13,1,12,5,34,7,0,69
a8542814,31,21,9,18,4,13,32,19,16,7,9,17,48,13,2,79
a8f21b9f,7,4,2,2,3,3,15,12,5,2,3,1,8,1,0,21
a8fbae1d,31,19,22,8,1,18,30,12,23,13,10,42,73,107,1,97
a9dc785c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
aa0ac32d,12,3,11,1,0,3,4,1,7,6,1,6,18,29,0,25
aad53e64,1,1,1,0,0,1,1,0,3,1,2,0,1,2,0,23
aae17c81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab99e4a0,4,4,2,1,1,1,6,5,0,0,0,5,9,2,0,10
abb3bb95,21,10,4,8,9,6,17,11,12,1,11,7,28,22,0,60
ac295d9e,3,2,3,0,0,3,5,2,1,0,1,3,6,24,0,53
ac3fb1be,12,8,9,2,1,7,11,4,19,17,2,14,26,71,0,55
ad178594,10,5,4,6,0,4,13,9,10,4,6,18,28,30,0,40
ad1ffcfd,61,42,31,25,5,30,67,37,35,16,19,40,101,63,1,171
ad4d0985,66,36,36,23,7,30,71,41,31,8,23,27,93,23,1,117
adfc9123,32,23,20,11,1,16,26,10,39,24,15,36,68,157,0,220
aec0fb6f,11,5,4,5,2,5,15,10,5,0,5,7,18,5,0,40
aed746df,11,7,4,6,1,5,13,8,10,2,8,5,16,7,0,45
af245161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
b037bd4f,6,1,2,3,1,2,13,11,6,1,5,4,10,6,0,25
b05e2dbd,44,30,29,12,3,28,41,13,22,9,13,18,62,48,1,110
b0616e3d,29,16,17,10,2,19,28,9,11,1,10,13,42,35,0,37
b0fce72c,25,17,7,12,6,9,45,36,18,7,11,31,56,24,1,92
b14d0c5d,23,19,17,6,0,9,14,5,15,12,3,21,44,57,0,77
