id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
27dc1378,46,27,10,31,5,16,41,25,24,5,19,38,84,30,0
2946f9a1,18,14,9,9,0,12,22,10,22,15,7,34,52,50,0
29b61deb,26,18,4,20,2,7,21,14,10,1,9,6,32,11,0
2a0c8ba4,61,30,22,31,8,28,65,37,27,6,21,30,91,18,1
2a9f6b4d,2,1,0,1,1,0,1,1,2,0,2,1,3,1,0
2ad0e5e5,9,6,3,5,1,3,10,7,5,1,4,2,11,3,0
2ae30661,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
2bea832e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bed3eab,27,18,13,13,1,11,26,15,22,12,10,44,71,53,3
2bef2bca,41,23,29,12,0,21,25,4,37,20,17,23,64,66,1
2c56a792,31,20,5,23,3,11,27,16,12,0,12,6,37,12,0
2dce876a,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2fbe6af0,2,2,0,2,0,0,0,0,1,0,1,2,4,0,0
30061f53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3024e383,20,13,9,9,2,9,14,5,6,1,5,10,30,21,0
3061e1ec,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
31f5b89b,14,9,5,7,2,8,12,4,6,0,6,11,25,6,0
32974271,10,9,3,5,2,1,21,20,14,2,12,4,14,17,0
32c0491f,14,8,9,5,0,5,7,2,3,2,1,1,15,11,0
3318286e,3,1,3,0,0,3,6,3,0,0,0,1,4,16,2
335039a2,20,15,14,5,1,8,44,36,21,1,20,5,25,21,0
335fa267,5,1,2,3,0,3,5,2,2,0,2,4,9,6,0
3376a776,11,8,4,6,1,2,9,7,11,6,5,9,20,19,0
33a61a52,35,17,21,10,4,7,19,12,8,3,5,26,61,32,1
34269bdf,50,31,15,31,4,20,50,30,21,5,16,28,78,43,0
34caa4b3,9,4,3,5,1,4,16,12,9,0,9,4,13,6,0
34e393f2,97,53,46,45,6,54,98,44,55,12,43,31,128,56,0
3521abfe,4,1,4,0,0,4,6,2,2,1,1,4,8,21,0
355c883a,34,22,17,11,6,18,37,19,20,3,17,25,59,38,0
3594a357,7,3,2,2,3,4,8,4,3,0,3,2,9,2,0
35a6e5c7,5,4,0,4,1,3,12,9,2,0,2,4,9,1,0
35d4f151,6,1,4,2,0,4,7,3,0,0,0,2,8,4,0
360d70f8,3,2,3,0,0,3,5,2,0,0,0,2,5,2,0
3624ce4c,23,15,14,9,0,12,25,13,19,11,8,17,40,71,1
365113c0,12,6,10,2,0,4,8,4,7,2,5,4,16,8,2
3672b352,21,14,8,11,2,10,29,19,6,0,6,9,30,10,0
374d5158,15,4,8,5,2,12,24,12,8,2,6,10,25,22,0
374ee424,0,0,0,0,0,0,0,0,0,0,0,1,1,24,2
