id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
302527b2,1661,1957,35640.0,11078.0,403,456,1021,1075,230,393,0,0.2,0.3,-0.2,5,64,1,0,76
30941e96,1057,1500,17210.0,6049.0,561,634,373,516,92,248,4,5.5,7.2,-1.5,52,70,55,28,93
30c220c3,171,211,2504.0,705.0,103,114,50,60,10,20,0,0.0,0.1,0.0,0,16,3,0,18
3189f61a,231,285,3685.0,948.0,118,139,82,98,19,28,0,0.0,0.1,0.0,1,30,2,0,29
32e7ce92,57,96,1868.0,1530.0,9,9,22,22,26,63,0,0.0,0.0,0.0,0,2,0,0,0
33144cc5,34,41,534.0,59.0,19,22,12,12,2,3,0,0.2,0.1,-0.2,3,1,3,0,4
33340bd6,1,1,28.0,4.0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
33b554b7,518,747,8980.0,2938.0,225,283,224,301,52,104,2,2.2,2.7,-0.2,24,46,8,2,67
34a0f5ff,128,175,2140.0,532.0,58,70,36,51,20,31,1,0.3,0.4,0.7,5,11,6,1,18
34b54da7,240,262,4244.0,1384.0,97,100,122,131,18,25,0,0.0,0.0,0.0,0,5,0,0,16
34e12499,657,820,12790.0,4572.0,245,267,328,370,77,157,0,0.6,0.3,-0.6,3,59,3,0,74
34e4343c,25,43,367.0,44.0,15,23,8,12,1,1,0,0.0,0.0,0.0,1,3,0,0,0
35d64857,850,1010,15623.0,5651.0,311,350,467,516,65,122,0,0.2,0.7,-0.2,4,56,2,1,87
36a3ff67,890,1131,13010.0,3208.0,490,564,274,335,63,94,6,7.0,6.4,-1.0,49,70,34,3,107
36a59ba4,1476,1774,25833.0,8907.0,700,771,584,676,158,238,5,2.9,2.6,2.1,24,133,34,0,201
378825c7,997,1237,16182.0,6299.0,492,553,399,480,73,130,0,1.2,1.1,-1.2,10,59,12,4,83
37998008,141,161,3001.0,2094.0,30,30,94,97,16,33,0,0.0,0.0,0.0,0,1,0,0,0
37f606f0,283,347,4988.0,1675.0,127,137,112,128,32,58,1,1.5,1.2,-0.5,12,34,6,0,46
384d58d9,564,647,9128.0,2702.0,278,303,232,256,39,55,1,1.1,0.7,-0.1,9,52,6,1,57
38ac43d3,182,222,3047.0,697.0,82,94,78,86,17,29,1,1.1,0.5,-0.1,3,12,2,0,15
3935e52e,583,738,8755.0,3095.0,310,356,230,285,23,50,1,1.4,0.9,-0.4,13,28,9,4,51
3a233281,668,962,10811.0,2275.0,385,439,156,241,89,174,8,6.0,6.6,2.0,48,26,37,16,63
3bb625ac,266,362,4828.0,1822.0,126,154,106,129,30,62,1,1.3,1.2,-0.3,12,21,6,2,23
3c4b7820,97,114,1567.0,280.0,50,53,39,46,5,8,0,0.2,0.2,-0.2,4,5,2,2,8
3c6089ab,1113,1539,16849.0,4499.0,572,700,393,531,76,135,19,10.0,12.8,9.0,93,87,65,17,151
3cd9e95a,997,1337,29370.0,21737.0,156,157,445,451,395,721,0,0.1,0.1,-0.1,1,25,1,0,2
3eb0f2df,735,1029,14051.0,3664.0,280,337,302,384,118,208,6,5.2,4.1,0.8,34,70,28,6,101
3eeb80e0,67,103,978.0,339.0,39,48,20,28,4,13,1,1.2,1.1,-0.2,6,3,4,1,11
3effaa34,561,774,7354.0,1308.0,338,437,171,214,17,28,7,4.7,4.9,2.3,31,36,19,2,67
3f2d59fe,449,577,9985.0,3933.0,115,139,247,278,85,143,0,0.0,0.1,0.0,1,30,1,0,22
3f65898c,1160,1559,18676.0,8057.0,599,717,463,614,76,145,1,1.1,2.7,-0.1,20,70,23,13,84
3f7cd8f1,15,16,239.0,90.0,9,9,6,6,0,0,0,0.0,0.0,0.0,0,2,0,0,2
4114f306,21,33,348.0,147.0,10,12,9,18,2,3,0,0.0,0.0,0.0,0,1,0,0,4
41bff4fa,407,515,9860.0,3454.0,81,93,242,265,84,148,1,0.3,0.6,0.7,4,36,5,1,41
420c18a1,1017,1243,24546.0,15043.0,238,240,515,523,259,469,0,0.0,0.0,0.0,0,3,0,0,2
437f2b00,699,951,10511.0,2835.0,395,492,220,281,51,89,3,3.5,2.7,-0.5,34,65,29,3,110
441197b8,1142,1356,18110.0,6946.0,596,646,467,548,62,114,1,0.4,1.1,0.6,6,66,4,1,95
442b56fa,1158,1575,18473.0,5631.0,612,711,449,602,75,153,7,4.1,5.1,2.9,44,69,52,18,115
4468ec10,118,176,1991.0,422.0,65,77,38,57,12,30,2,0.9,0.6,1.1,9,7,6,1,12
4567a0b4,116,217,1332.0,259.0,85,137,17,42,3,8,3,1.0,0.7,2.0,10,6,3,0,10
45a03961,1414,1676,22797.0,7611.0,723,796,540,616,112,188,0,1.3,2.4,-1.3,13,141,27,9,162
463503e2,196,224,3903.0,1499.0,55,61,117,122,22,32,0,0.3,0.3,-0.3,2,26,3,1,36
47064058,1049,1349,24414.0,16656.0,298,298,486,495,246,535,0,0.0,0.1,0.0,0,15,0,0,2
48035304,1734,1902,31659.0,10411.0,638,696,947,1001,133,162,1,0.1,0.3,0.9,3,32,2,0,69
49296448,1778,2131,35284.0,11678.0,652,721,777,864,290,446,10,6.7,8.5,3.3,66,223,56,10,288
493924a7,702,1035,12846.0,5809.0,274,350,348,455,69,154,1,1.0,2.3,0.0,14,77,25,11,117
496aeede,1123,1313,16742.0,5562.0,612,672,396,456,57,96,2,1.0,1.7,1.0,10,92,12,2,113
4aea5077,1260,1709,19499.0,8042.0,686,774,444,609,85,186,2,3.1,4.1,-1.1,35,105,34,13,136
4b6dd263,2,3,21.0,4.0,2,2,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
4c3a6744,171,249,2417.0,470.0,95,127,55,73,9,21,1,1.0,1.0,0.0,12,9,9,3,11
4c6facae,1062,1217,17050.0,4503.0,532,593,437,483,70,93,2,1.2,1.4,0.8,17,90,12,1,119
4ccd8957,18,23,191.0,97.0,12,15,3,3,0,0,0,0.2,0.1,-0.2,3,2,2,0,4
4d8cd038,225,289,3410.0,820.0,133,161,60,80,20,25,1,0.7,0.7,0.3,5,24,8,0,37
4e204552,15,20,202.0,3.0,7,9,5,7,1,1,0,0.0,0.0,0.0,1,0,0,0,0
4e3a947f,120,151,2139.0,389.0,49,59,51,57,15,21,0,0.0,0.1,0.0,1,14,1,0,8
4f16405e,151,262,2182.0,501.0,88,141,40,71,11,18,0,0.2,0.3,-0.2,5,15,2,0,22
4fa7cb9b,127,185,2276.0,622.0,62,74,43,59,19,32,1,0.8,1.0,0.2,6,13,6,1,17
5042e5c2,106,137,1537.0,236.0,56,69,38,49,4,4,1,0.3,0.4,0.7,5,7,6,1,14
50871bcc,295,368,4502.0,1331.0,168,189,85,102,24,41,3,3.5,3.0,-0.5,14,16,14,0,31
50e6dc35,168,238,2152.0,222.0,105,134,44,60,5,8,1,1.4,0.7,-0.4,12,7,3,0,10
526ea7cc,1269,1540,27784.0,8492.0,312,355,733,807,217,349,1,0.5,0.9,0.5,6,62,12,1,86
53070b63,24,29,222.0,39.0,21,23,2,4,0,0,0,0.0,0.0,0.0,0,2,0,0,2
53e07d0b,113,208,1496.0,448.0,65,111,28,44,8,15,0,0.6,0.8,-0.6,6,14,3,0,20
53eeaf6a,96,182,1321.0,308.0,53,88,33,54,4,14,0,0.6,0.3,-0.6,8,8,0,0,17
541127d5,120,177,1581.0,439.0,69,88,36,46,4,10,0,0.2,0.5,-0.2,3,14,3,0,22
543ddcaf,593,788,10248.0,3492.0,261,312,269,327,51,97,0,0.4,0.3,-0.4,3,28,8,4,44
54b4dc4e,935,1217,16156.0,5375.0,473,536,291,357,125,230,3,3.7,3.7,-0.7,36,123,21,6,130
54e4866f,838,1148,15258.0,4435.0,372,432,306,407,121,221,10,7.1,5.9,2.9,65,79,33,5,135
555d5edd,930,1139,15414.0,3793.0,464,512,325,377,102,168,6,3.1,3.7,2.9,38,96,27,3,113
5569bf9a,472,724,8357.0,3211.0,205,257,220,318,39,97,0,0.2,0.4,-0.2,6,37,6,2,45
56413b1f,998,1168,16391.0,5528.0,476,526,416,461,71,115,0,0.6,1.1,-0.6,15,113,13,0,119
565bf0da,558,678,10633.0,3990.0,214,239,280,325,60,95,0,0.4,0.5,-0.4,2,50,3,1,55
5722eced,9,10,130.0,4.0,4,4,5,5,0,1,0,0.0,0.0,0.0,0,0,0,0,0
5723931e,10,15,127.0,52.0,6,7,2,5,1,2,0,0.0,0.2,0.0,0,2,0,0,1
5762be5c,605,703,9874.0,3721.0,281,315,276,303,30,55,0,0.1,0.2,-0.1,2,21,0,0,33
57d88cf9,866,1049,14258.0,3234.0,413,478,338,380,74,101,3,3.2,3.4,-0.2,14,74,22,1,93
582a5247,292,424,5038.0,1975.0,141,163,113,158,31,76,0,1.3,0.6,-1.3,12,15,4,2,12
58450270,50,72,741.0,307.0,32,40,8,13,6,7,0,0.3,0.2,-0.3,1,4,2,0,5
5853ac44,78,91,1482.0,558.0,26,30,45,47,7,11,0,0.0,0.0,0.0,0,15,0,0,13
58a2e9f6,354,492,5994.0,1854.0,170,207,153,200,25,49,0,1.1,1.3,-1.1,12,18,14,10,31
58ce23e5,74,124,1328.0,419.0,30,43,29,43,11,19,0,0.1,0.2,-0.1,2,8,2,1,10
5939baa2,780,1075,14948.0,6659.0,299,374,357,439,104,210,2,0.4,0.9,1.6,8,68,10,0,102
59a48c59,17,23,269.0,79.0,7,9,8,8,1,2,0,0.0,0.0,0.0,0,1,0,0,2
59e4b92e,469,663,7837.0,2276.0,206,268,205,254,33,78,0,0.2,0.7,-0.2,6,30,9,2,56
5c4bf6ba,722,1078,19935.0,14202.0,153,157,343,352,224,561,0,0.1,0.1,-0.1,1,14,0,0,0
5c899683,253,305,4011.0,825.0,131,143,99,111,13,26,0,0.2,0.5,-0.2,3,14,6,2,14
5d4f7d61,296,428,3718.0,537.0,177,235,81,114,8,15,1,2.5,1.3,-1.5,27,14,2,0,19
5d8e331f,1169,1393,20176.0,6241.0,499,581,537,588,92,132,3,1.3,1.8,1.7,15,100,13,2,122
5db45ee5,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
5ddb8f9f,346,580,6717.0,3384.0,129,176,167,263,45,106,1,2.3,2.1,-1.3,13,40,21,10,53
5dfc6ad5,745,798,12325.0,3137.0,338,353,331,345,55,66,0,0.4,0.4,-0.4,4,71,3,0,72
5e22e2a4,777,1043,13595.0,3702.0,358,444,321,394,74,131,2,1.4,1.5,0.6,15,65,12,4,96
5e66fa06,1835,2097,34500.0,14015.0,630,678,1039,1118,147,243,1,0.9,1.1,0.1,9,69,10,3,116
5ea8ef20,859,1004,15970.0,4495.0,334,368,402,437,107,143,1,1.6,1.3,-0.6,17,85,19,0,125
5ed9b537,480,561,9065.0,3046.0,152,171,288,317,34,61,0,0.0,0.1,0.0,0,27,0,0,29
5fd5e542,616,741,10230.0,2557.0,302,324,235,284,62,93,2,1.0,1.0,1.0,7,41,14,5,43
603cb947,780,1019,12495.0,2621.0,403,458,269,338,73,128,5,4.2,4.9,0.8,40,63,33,13,106
610aa1e9,185,212,3866.0,1185.0,47,52,110,118,26,36,0,0.0,0.0,0.0,1,6,0,0,7
614eca9b,572,782,9630.0,2549.0,277,314,225,289,52,125,0,1.3,1.6,-1.3,15,51,15,6,69
6190474d,277,374,4058.0,1415.0,161,204,89,115,16,25,0,1.1,1.0,-1.1,13,35,13,3,46
626fab5f,478,745,7422.0,3787.0,270,328,167,256,31,97,1,2.0,1.4,-1.0,11,31,13,9,36
62ab9184,540,745,8430.0,2579.0,271,343,213,269,30,55,4,3.4,2.7,0.6,25,51,14,4,74
62c7067a,81,126,1175.0,377.0,44,58,28,37,4,12,0,0.6,0.4,-0.6,5,4,4,0,10
62f94e47,3,4,38.0,19.0,2,2,1,1,0,0,0,0.0,0.0,0.0,0,1,0,0,1
635f2732,559,815,9103.0,3042.0,282,379,192,257,59,102,4,6.1,5.4,-2.1,33,70,30,6,109
63b9cc6d,88,150,1158.0,417.0,51,75,29,47,2,15,0,0.6,0.6,-0.6,4,8,3,1,17
652d4c37,480,558,8917.0,2564.0,204,230,189,205,73,87,0,0.4,0.9,-0.4,8,61,4,1,68
66385c46,167,270,2790.0,1334.0,92,106,52,89,17,43,2,0.9,0.8,1.1,9,16,9,3,19
677da306,1215,1491,23316.0,8271.0,452,522,615,683,139,239,0,0.3,1.0,-0.3,3,73,5,2,94
68635c10,38,53,816.0,438.0,12,15,18,21,8,15,0,0.1,0.1,-0.1,1,4,1,0,6
68829001,661,905,10794.0,3675.0,334,388,224,293,70,133,2,2.8,3.0,-0.8,42,68,26,0,119
69374ff5,557,651,9471.0,2357.0,247,280,215,241,63,79,0,0.2,0.6,-0.2,5,42,5,1,51
699fb8db,833,968,18104.0,6016.0,233,245,448,485,148,216,0,0.3,0.3,-0.3,3,61,3,1,78
6aa3e78b,716,934,11844.0,4169.0,343,393,316,397,45,93,3,1.7,2.1,1.3,16,43,25,13,68
6b21b7b5,103,121,1220.0,250.0,63,69,27,32,1,3,1,0.3,0.4,0.7,3,3,3,0,5
6b8887c2,8,18,134.0,66.0,4,9,3,4,1,3,0,0.0,0.0,0.0,1,1,0,0,3
6bd5cd5d,1762,2097,37312.0,13315.0,463,522,1022,1147,258,386,0,0.2,1.2,-0.2,4,72,4,0,102
6c6a3300,285,423,4812.0,975.0,145,194,99,136,31,54,2,1.6,2.0,0.4,19,11,20,10,31
6ca598d5,8,16,70.0,4.0,4,10,2,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0
6cafd68d,381,451,8126.0,3736.0,113,127,206,224,59,92,0,0.6,0.3,-0.6,4,33,2,0,31
6ce43701,51,68,690.0,90.0,26,31,16,23,2,2,0,0.8,0.9,-0.8,2,2,1,0,7
6e44569a,20,35,246.0,43.0,13,17,5,11,0,0,0,0.0,0.0,0.0,1,1,0,0,0
6ec6fde0,600,735,11026.0,4298.0,216,246,329,357,49,112,0,0.4,0.5,-0.4,2,33,4,1,56
6ecbddf6,411,551,6795.0,1421.0,200,248,167,200,33,52,3,2.8,1.7,0.2,25,31,17,1,61
6f8cd6d0,398,577,5008.0,1175.0,269,341,86,125,12,27,3,2.4,2.0,0.6,16,26,7,1,44
6fd8a334,952,1076,18202.0,6074.0,356,390,460,506,119,152,0,0.6,0.8,-0.6,6,77,4,3,99
70678132,52,68,835.0,214.0,29,36,16,21,4,6,0,0.0,0.0,0.0,0,4,2,1,5
70dcf94d,164,214,2622.0,561.0,83,101,58,69,14,24,0,0.1,0.2,-0.1,2,17,3,2,19
71ec39ef,655,861,13102.0,3688.0,219,284,312,371,100,147,0,1.6,1.0,-1.6,9,66,5,1,84
7242b495,169,257,2900.0,1309.0,80,105,67,90,19,42,0,0.2,0.4,-0.2,3,14,4,2,23
73000a79,1037,1282,17748.0,4850.0,476,539,432,505,98,163,0,0.6,1.1,-0.6,13,67,18,2,78
74c7c2db,211,324,3105.0,851.0,121,161,62,96,14,28,2,2.6,1.8,-0.6,10,24,6,0,40
74f2e748,232,283,3327.0,906.0,138,149,82,94,8,18,0,0.9,1.0,-0.9,4,20,8,2,29
75422cbf,1,1,9.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
763b8b37,50,74,867.0,276.0,23,33,17,23,8,10,0,0.2,0.2,-0.2,4,8,3,0,12
76b2817e,431,584,7302.0,2868.0,200,245,177,243,41,63,1,0.6,0.9,0.4,6,20,11,10,30
76fa965f,550,697,7775.0,2454.0,327,376,167,202,26,47,1,2.3,3.6,-1.3,28,61,32,3,93
78b9e99c,4,5,53.0,0.0,2,2,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0
791abba1,556,689,10733.0,3738.0,189,217,306,357,55,93,0,1.1,0.4,-1.1,4,22,4,1,29
7961f7aa,52,67,755.0,152.0,33,35,15,21,3,6,0,0.1,0.1,-0.1,3,3,1,0,6
79c90e45,703,971,11350.0,4177.0,344,403,298,392,48,113,4,2.8,3.2,1.2,22,58,27,14,86
79ca3e23,888,1253,15723.0,4280.0,409,486,305,407,127,238,5,3.9,4.3,1.1,42,94,25,10,126
7aac47fe,53,61,949.0,317.0,20,23,30,31,3,7,0,0.0,0.0,0.0,0,4,0,0,4
7c473e12,923,1038,20850.0,5010.0,178,196,595,634,150,195,0,0.8,0.9,-0.8,5,33,4,0,44
7c56da38,761,1001,10722.0,3271.0,441,499,212,270,50,131,6,7.1,7.5,-1.1,71,57,31,6,76
7ca196eb,25,40,456.0,114.0,9,14,11,17,4,4,1,0.1,0.1,0.9,3,3,2,0,6
7cd6badb,846,1052,12885.0,3178.0,439,506,300,369,54,77,8,4.8,2.9,3.2,45,75,22,2,116
7d841904,15,29,181.0,64.0,12,19,3,7,0,0,0,0.0,0.0,0.0,1,2,0,0,2
7dca49f6,120,166,1881.0,457.0,64,80,41,56,10,15,0,0.1,0.2,-0.1,3,13,3,0,18
7ed08d5c,57,63,1102.0,253.0,18,20,34,37,5,5,0,0.0,0.0,0.0,0,1,0,0,4
7f609bfc,1153,1464,21862.0,7944.0,434,494,573,660,128,235,0,0.7,1.0,-0.7,14,114,16,9,133
7f97771d,347,390,6576.0,1944.0,119,132,185,205,39,45,0,0.1,0.3,-0.1,1,39,3,0,36
7fa4e703,754,957,10611.0,2195.0,456,533,227,274,33,68,5,5.2,3.8,-0.2,35,48,27,1,64
7fe12375,811,1143,22829.0,16779.0,167,167,373,386,268,585,0,0.0,0.1,0.0,0,12,0,0,0
809940aa,414,547,6006.0,1468.0,232,270,130,168,27,52,1,2.7,2.7,-1.7,16,23,18,5,56
80c9e555,11,15,165.0,36.0,5,7,2,3,2,2,0,0.0,0.0,0.0,0,1,0,0,1
80f36c88,776,1092,12415.0,4650.0,417,503,268,341,73,163,3,2.4,3.3000000000000003,0.6,32,86,26,9,122
815c314f,1545,1897,29043.0,11760.0,612,680,746,853,170,300,1,0.5,1.6,0.5,10,165,19,2,199
81868f73,2,4,29.0,5.0,1,1,1,1,0,1,0,0.0,0.0,0.0,0,1,0,0,0
834d0be5,226,308,2804.0,292.0,152,188,49,64,9,16,2,0.9,0.6,1.1,15,15,3,0,21
8494acc4,692,879,12216.0,4490.0,298,341,321,388,62,115,0,0.2,0.6,-0.2,5,70,5,1,77
857a5abe,438,594,7986.0,3489.0,167,207,225,273,42,98,1,0.8,0.7,0.2,3,17,3,0,25
8593f88c,1187,1645,20960.0,8419.0,561,648,457,597,141,294,3,5.9,6.4,-2.9,68,89,50,37,115
867501bf,220,328,3751.0,1280.0,104,144,83,105,23,30,0,1.2,1.1,-1.2,14,14,13,5,30
86e119e0,1323,1664,27177.0,8485.0,456,519,586,677,248,391,6,4.2,5.2,1.8,49,139,25,3,180
8758ddf4,29,43,699.0,549.0,8,8,16,16,5,19,0,0.0,0.0,0.0,0,0,0,0,0
8778c910,1134,1320,28936.0,19211.0,194,195,593,605,343,510,0,0.3,0.2,-0.3,1,5,0,0,5
88d4144a,840,1146,15236.0,5407.0,379,444,338,430,110,209,2,2.0,3.2,0.0,23,67,30,17,89
88e357ef,671,861,9731.0,2213.0,379,432,220,268,36,71,2,6.0,5.9,-4.0,39,36,46,6,93
