id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
00242715,49,30,35,12,2,20,33,13,42,24,18,44,93,143,1,187
00242b75,4,4,2,0,2,1,2,1,0,0,0,2,6,1,0,4
00844823,34,23,26,8,0,22,51,29,42,19,23,39,73,140,2,176
00a6485f,35,19,17,17,1,11,27,16,32,6,26,22,57,54,0,94
00c3d4dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
012c38ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
016ff750,46,31,23,17,6,21,53,32,52,12,40,44,90,65,0,181
01c3aff5,28,14,5,17,6,11,35,24,28,9,19,36,64,46,1,85
032f894e,5,5,2,1,2,3,10,7,7,0,7,4,9,2,0,35
03bd0bf4,10,7,8,2,0,5,8,3,8,3,5,14,24,25,0,36
042e8a49,11,6,4,4,3,6,19,13,20,0,20,5,16,3,0,76
048a1cbc,25,12,11,7,7,12,23,11,7,1,6,18,43,12,1,92
04c11885,18,11,7,9,2,6,36,30,29,4,25,28,46,47,0,84
05439de2,34,21,13,13,8,17,26,9,24,3,21,31,65,40,0,148
05d548d8,26,17,19,6,1,9,24,15,20,8,12,34,60,50,1,123
05f99a4a,4,4,2,1,1,1,2,1,2,0,2,3,7,5,0,12
061e8e23,7,5,3,4,0,2,9,7,10,0,10,3,10,6,0,11
070ec0b1,40,25,25,15,0,18,30,12,31,14,17,52,92,98,0,152
080440a4,82,61,50,28,4,37,63,26,44,20,24,35,117,119,0,214
088ca1bd,44,22,23,19,2,16,28,12,22,8,14,43,87,70,2,154
09586899,3,1,0,3,0,0,1,1,6,1,5,3,6,0,0,24
096a77c4,12,6,8,2,2,3,11,8,3,1,2,3,15,1,0,22
0999a593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
09bcc566,21,13,10,5,6,4,25,21,17,0,17,9,30,5,0,84
0a1cb833,3,0,3,0,0,3,6,3,1,0,1,3,6,14,1,39
0a89e877,0,0,0,0,0,0,0,0,2,0,2,3,3,0,0,5
0b4f388a,22,17,4,13,5,1,9,8,11,0,11,4,26,6,0,46
0c3057a9,9,6,3,6,0,3,16,13,8,3,5,3,12,10,0,66
0c61c77c,25,17,11,6,8,8,15,7,13,0,13,9,34,19,0,86
0d55d942,0,0,0,0,0,0,1,1,0,0,0,0,0,13,2,41
0e0ab524,7,5,5,2,0,5,5,0,7,6,1,4,11,16,0,15
0e4fef6e,14,7,5,7,2,5,11,6,12,1,11,14,28,13,0,41
0f26fd24,15,13,8,4,3,3,11,8,7,0,7,4,19,0,0,28
0fbecd11,42,29,21,21,0,14,35,21,25,12,13,15,57,17,1,81
1025db8e,42,31,23,19,0,24,39,15,44,21,23,56,98,71,1,171
106bca06,26,16,12,13,1,12,29,17,14,0,14,9,35,12,0,89
11fd2b75,20,10,9,9,2,10,24,14,21,7,14,23,43,8,0,65
1238a3f9,5,2,1,4,0,2,9,7,11,0,11,1,6,7,0,45
13203c45,42,29,25,15,2,20,30,10,50,7,43,31,73,54,0,151
13ddc856,5,3,1,1,3,1,6,5,9,0,9,2,7,2,0,25
150d5992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15ea94de,2,0,0,2,0,1,2,1,1,0,1,1,3,0,0,9
15fd5593,64,47,24,33,7,14,49,35,44,9,35,47,111,47,0,151
16daec92,31,20,7,13,11,11,42,31,26,1,25,24,55,10,0,116
17611373,14,10,1,8,5,2,13,11,16,1,15,4,18,20,0,42
17695062,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,3
17780d2b,31,17,17,13,1,9,29,20,36,14,22,29,60,35,1,117
1ae836b1,28,18,11,12,5,12,24,12,18,2,16,14,42,21,0,75
1bcca8b8,34,24,11,20,3,13,28,15,18,2,16,11,45,16,0,120
1bf33a9a,10,6,2,6,2,2,6,4,12,2,10,6,16,10,0,37
1c08a3c8,20,11,7,10,3,6,19,13,11,3,8,14,34,15,0,61
1c96ad85,17,11,12,4,1,8,13,5,12,1,11,11,28,14,0,52
1cd87320,32,18,24,8,0,20,33,13,20,5,15,26,58,44,2,79
1d8e9add,24,15,20,4,0,12,32,20,28,11,17,33,57,103,3,183
1e43fad8,0,0,0,0,0,0,0,0,0,0,0,2,2,10,4,15
20030c06,49,26,31,15,3,24,38,14,33,15,18,36,85,140,0,91
2042d931,21,12,5,11,5,6,24,18,23,1,22,6,27,25,0,117
206c37d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200181e,53,29,38,15,0,23,47,24,34,16,18,59,112,118,3,156
22051fbe,9,7,6,3,0,8,10,2,5,3,2,16,25,24,0,38
229cd98a,9,5,3,4,2,2,6,4,0,0,0,3,12,5,0,23
2374aaca,19,14,3,7,9,9,19,10,32,2,30,11,30,27,0,82
258a6f4d,4,3,1,2,1,1,3,2,3,0,3,0,4,7,0,8
2590ddf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25ab9c9c,24,16,18,5,1,12,16,4,25,13,12,26,50,90,0,59
25c633b0,4,3,3,1,0,2,7,5,4,1,3,4,8,11,0,15
26db8853,52,22,17,28,7,27,61,34,30,4,26,45,97,36,1,209
278f6efc,2,1,2,0,0,2,5,3,0,0,0,1,3,2,0,7
27d2618c,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,37
2903a856,37,18,11,19,7,9,37,28,33,2,31,16,53,14,1,138
2979c05a,2,0,1,0,1,1,2,1,3,2,1,4,6,1,0,6
2a29eb9b,35,22,23,12,0,16,26,10,15,5,10,30,65,50,1,65
2b09d998,29,17,12,16,1,11,26,15,17,1,16,16,45,8,0,60
2b350e6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b5527c4,20,13,12,5,3,7,13,6,16,1,15,8,28,19,0,60
2bb48e86,5,2,4,0,1,5,5,0,0,0,0,1,6,0,0,6
2bcc6d52,11,9,2,5,4,3,8,5,5,0,5,2,13,10,0,41
2bed2986,18,12,7,11,0,9,26,17,15,2,13,8,26,13,1,53
2d61d13a,33,19,22,9,2,9,19,10,15,8,7,23,56,58,1,66
2db2fd7b,21,15,12,9,0,10,22,12,8,3,5,25,46,49,0,132
2e7ff968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2f3e911a,55,30,29,21,5,20,38,18,38,11,27,38,93,75,1,166
2ff76adc,7,2,3,4,0,5,6,1,6,0,6,6,13,10,0,16
302527b2,6,6,4,2,0,3,6,3,9,7,2,11,17,42,0,31
30a09cb5,4,2,4,0,0,1,3,2,1,0,1,0,4,13,0,15
30c220c3,63,37,34,22,7,26,50,24,31,3,28,27,90,48,0,109
31114001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
