id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
ab5b7dc1,38,22,19,13,6,17,54,37,37,3,34,11,49,20,1
2bcc6d52,7,3,0,5,2,4,15,11,12,3,9,4,11,10,0
05f99a4a,9,4,2,5,2,3,8,5,6,1,5,0,9,1,0
9d12e142,2,2,2,0,0,2,3,1,1,0,1,2,4,13,1
d1273f09,58,37,18,25,15,27,74,47,67,6,61,25,83,39,0
a65ce836,19,12,11,7,1,5,12,7,14,6,8,19,38,15,0
db401046,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
b3b7f5a6,22,10,9,8,5,9,16,7,9,4,5,13,35,21,0
7961f7aa,7,4,2,3,2,1,10,9,5,1,4,7,14,14,0
c6608135,1,1,1,0,0,1,2,1,0,0,0,1,2,0,0
ecab64a0,50,30,18,29,3,17,41,24,14,3,11,23,73,17,0
612cb8d3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
33a95e0a,69,43,44,21,4,37,62,25,53,19,34,70,139,91,1
042e8a49,19,11,6,7,6,12,27,15,9,0,9,4,23,3,0
9f381d8b,9,6,1,5,3,3,13,10,19,1,18,5,14,17,0
229cd98a,3,0,0,2,1,1,10,9,0,0,0,0,3,3,0
5ddb8f9f,26,17,14,8,4,6,16,10,16,1,15,15,41,26,0
0ef89a37,21,15,1,13,7,2,13,11,9,2,7,6,27,0,0
5722eced,2,1,0,2,0,1,9,8,1,1,0,3,5,0,0
dc62b55d,10,5,6,4,0,4,11,7,11,1,10,10,20,1,0
dc62b55d,6,2,0,1,5,0,2,2,5,1,4,1,7,0,0
b0a0698b,43,34,26,16,1,22,45,23,24,13,11,35,78,110,1
eac044ad,8,5,1,3,4,3,10,7,6,2,4,4,12,1,0
db4ed67b,10,6,4,4,2,6,18,12,8,2,6,8,18,4,0
aeaf1bc1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3eb0f2df,50,27,14,31,5,11,48,37,44,7,37,27,77,19,2
d781d855,70,43,35,24,11,38,58,20,35,6,29,31,101,51,0
fe641c1a,22,10,10,11,1,9,15,6,16,7,9,26,48,26,0
54b4dc4e,35,19,10,21,4,12,31,19,19,5,14,22,57,7,1
dc3fa3b5,41,18,17,19,5,17,42,25,14,2,12,15,56,14,0
aeed5c06,10,8,3,7,0,5,15,10,6,0,6,9,19,4,0
34a0f5ff,15,8,11,1,3,5,13,8,20,0,20,18,33,10,0
7d841904,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
dc90cfbe,11,7,1,7,3,3,7,4,6,2,4,5,16,22,0
7bd5b8fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8954fddc,32,21,22,8,2,14,33,19,17,5,12,18,50,39,0
6fd8a334,18,11,11,6,1,10,21,11,9,3,6,15,33,39,0
809940aa,34,25,12,19,3,8,32,24,11,5,6,26,60,11,0
79ca3e23,6,4,1,2,3,1,10,9,3,1,2,5,11,5,0
cf623c78,13,6,9,2,2,9,17,8,11,2,9,3,16,11,0
d571df78,8,6,2,2,4,3,12,9,6,0,6,2,10,4,0
beb882a8,40,28,20,18,2,15,43,28,37,8,29,36,76,57,0
76b2817e,79,53,44,30,5,33,53,20,28,8,20,39,118,79,1
6cb0211b,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
48035304,45,27,37,8,0,19,38,19,32,15,17,62,107,112,0
0b4f388a,22,11,2,15,5,4,15,11,12,1,11,8,30,5,0
b48215cd,6,4,4,2,0,3,8,5,8,1,7,7,13,7,1
cce7087c,5,4,1,3,1,1,5,4,1,1,0,2,7,4,0
b82880c6,0,0,0,0,0,0,1,1,3,3,0,3,3,5,0
677da306,43,26,30,12,1,19,29,10,40,30,10,36,79,125,2
3bb625ac,33,20,12,15,6,15,33,18,17,9,8,32,65,47,1
8e58987d,30,18,13,17,0,7,21,14,11,3,8,16,46,9,2
316162b6,21,12,7,11,3,5,16,11,12,1,11,15,36,7,0
f9e7c4ac,11,6,1,9,1,2,7,5,8,2,6,3,14,8,0
a92ab7be,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
9a2e0ccc,16,10,5,8,3,6,26,20,15,0,15,5,21,3,0
626fab5f,43,25,23,16,4,21,29,8,23,9,14,20,63,26,0
482b70ad,4,2,1,3,0,2,9,7,5,3,2,1,5,4,0
f86ad3f5,61,39,42,15,4,29,54,25,29,9,20,34,95,78,0
b77f44a4,45,31,30,14,1,12,37,25,46,24,22,42,87,110,0
55557b25,4,1,3,1,0,1,3,2,4,1,3,4,8,4,0
4f16405e,2,2,1,1,0,1,3,2,3,0,3,3,5,6,0
16daec92,19,11,7,8,4,6,25,19,26,2,24,15,34,6,0
3f65898c,36,27,23,10,3,17,35,18,26,9,17,63,99,81,0
37f606f0,12,5,4,6,2,2,16,14,9,2,7,6,18,4,0
a4f94a0d,53,28,16,32,5,22,73,51,46,8,38,54,107,50,0
62ab9184,28,18,7,15,6,8,21,13,11,3,8,12,40,9,0
7242b495,46,31,31,11,4,22,45,23,23,6,17,27,73,55,1
17376543,1,0,1,0,0,1,4,3,0,0,0,2,3,26,4
e5f63987,4,3,3,1,0,1,11,10,3,1,2,1,5,3,0
f521b80a,34,20,19,14,1,17,31,14,27,22,5,34,68,125,3
431c837b,69,39,30,35,4,30,61,31,33,6,27,32,101,50,2
88e357ef,36,16,4,19,13,9,29,20,17,0,17,16,52,2,1
deee6467,2,1,0,0,2,0,2,2,2,2,0,0,2,0,0
d5980989,8,3,3,4,1,3,10,7,3,0,3,1,9,1,0
49ffe0f2,9,6,7,1,1,3,6,3,3,2,1,0,9,2,0
cc86b9a3,28,15,7,18,3,10,32,22,18,2,16,24,52,8,0
9efa1d25,10,7,0,6,4,3,12,9,3,0,3,2,12,1,0
1025db8e,28,16,22,5,1,12,21,9,15,8,7,37,65,97,0
8e235926,2,2,0,2,0,0,4,4,4,1,3,3,5,7,0
8e235926,8,5,0,6,2,0,9,9,9,1,8,2,10,10,0
54e4866f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54e4866f,15,10,9,3,3,6,25,19,13,1,12,14,29,18,1
ffbbc83b,59,29,34,24,1,29,61,32,33,6,27,49,108,41,1
14a7af33,23,17,16,5,2,9,16,7,13,7,6,14,37,50,1
f2dd9a21,28,12,12,15,1,5,24,19,5,0,5,6,34,5,0
8b8e759d,56,34,21,30,5,19,63,44,43,9,34,22,78,69,0
048a1cbc,44,24,18,21,5,20,32,12,27,3,24,42,86,26,0
4942dad3,2,0,0,0,2,0,1,1,1,1,0,0,2,3,0
e6c43eec,41,26,17,23,1,10,30,20,35,9,26,45,86,64,2
bcb2ccd8,0,0,0,0,0,0,0,0,0,0,0,1,1,18,6
25ab9c9c,28,16,17,9,2,15,24,9,23,13,10,22,50,80,1
8593f88c,25,11,17,7,1,12,35,23,29,13,16,14,39,40,0
1bcca8b8,1,1,0,1,0,1,7,6,2,0,2,1,2,0,0
1f44ac21,4,2,1,0,3,0,4,4,7,4,3,4,8,4,0
70dcf94d,26,18,8,14,4,12,45,33,25,4,21,25,51,23,0
a5ec3ede,26,10,19,6,1,16,27,11,20,9,11,23,49,60,1
cd82452e,15,9,7,5,3,5,21,16,23,5,18,13,28,14,0
92432bc6,26,16,7,17,2,10,24,14,14,2,12,8,34,10,1
e42d61c7,60,41,38,14,8,27,64,37,26,2,24,30,90,27,2
8ff2354e,46,31,27,17,2,28,58,30,37,11,26,46,92,72,2
e7d59f4f,16,7,8,5,3,6,25,19,13,0,13,7,23,2,1
99b7584f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ab16552,28,20,16,9,3,18,39,21,38,10,28,26,54,38,0
fed7cb61,21,15,5,10,6,6,39,33,22,0,22,2,23,22,0
50871bcc,40,27,17,14,9,12,50,38,29,0,29,13,53,2,1
c2009df3,76,49,37,34,5,24,75,51,44,10,34,46,122,38,1
699fb8db,47,30,40,6,1,17,43,26,38,25,13,41,88,131,1
17611373,11,5,2,7,2,3,18,15,12,0,12,2,13,33,0
c3ee18ef,18,9,13,3,2,9,15,6,6,1,5,15,33,17,0
dfb6490a,24,11,8,10,6,5,16,11,21,4,17,11,35,8,0
080440a4,66,51,33,30,3,28,57,29,41,21,20,36,102,96,0
2e7ff968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34b306a1,48,22,30,18,0,16,50,34,22,9,13,56,104,90,0
5d8e331f,65,40,31,28,6,22,64,42,58,18,40,71,136,59,3
2903a856,43,27,22,12,9,22,76,54,28,3,25,18,61,14,0
9908c518,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4114f306,10,6,4,5,1,6,16,10,14,4,10,6,16,15,0
ca618d23,35,15,11,16,8,11,46,35,30,9,21,12,47,38,0
2979c05a,24,14,14,6,4,15,37,22,21,1,20,6,30,8,0
60dfc525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cd9e95a,0,0,0,0,0,0,5,5,0,0,0,2,2,15,1
ad3389d5,0,0,0,0,0,0,1,1,0,0,0,2,2,19,2
99de6b6f,42,26,33,9,0,23,45,22,18,13,5,30,72,98,2
e87ad81a,16,14,12,4,0,7,17,10,11,7,4,16,32,39,0
05d548d8,57,30,30,26,1,20,38,18,41,18,23,59,116,110,1
f42456eb,20,15,9,11,0,10,20,10,22,12,10,24,44,63,0
e8fd2e5b,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
054849d2,19,12,12,7,0,9,18,9,6,2,4,14,33,27,0
c3fd9887,4,3,0,1,3,0,3,3,4,0,4,1,5,15,0
e5cad51e,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
8494acc4,3,1,3,0,0,3,6,3,6,3,3,7,10,21,0
8494acc4,23,15,16,7,0,10,23,13,8,1,7,19,42,26,0
271b8617,20,14,5,7,8,9,28,19,16,1,15,16,36,16,0
e6c15f6e,1,1,1,0,0,1,1,0,0,0,0,1,2,4,0
a0415710,34,23,18,9,7,10,23,13,25,3,22,24,58,30,0
0fbb73c2,42,25,30,8,4,22,48,26,25,10,15,19,61,49,1
34b54da7,33,21,23,10,0,15,24,9,20,11,9,27,60,48,0
27d2618c,4,1,4,0,0,2,3,1,0,0,0,1,5,11,3
6bba916f,2,0,1,1,0,0,1,1,3,0,3,3,5,0,0
f820504e,44,26,25,19,0,23,47,24,36,18,18,60,104,123,1
3eeb80e0,3,1,2,1,0,2,7,5,7,1,6,1,4,3,0
76e5da9d,5,3,2,2,1,2,4,2,4,1,3,2,7,3,0
95a24690,2,2,1,1,0,0,1,1,0,0,0,0,2,1,0
0db5d2c8,4,3,3,1,0,2,4,2,7,3,4,13,17,33,0
2d61d13a,37,23,28,9,0,14,21,7,33,19,14,37,74,97,0
79c90e45,32,22,17,13,2,13,30,17,29,7,22,27,59,55,1
94c18565,21,13,12,6,3,15,33,18,26,2,24,13,34,11,0
2042d931,1,0,1,0,0,0,2,2,2,0,2,0,1,1,0
15b287da,29,20,7,17,5,8,42,34,16,1,15,10,39,6,0
b825a650,17,11,7,10,0,7,23,16,7,2,5,16,33,6,0
62ba5881,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8f0f2230,11,5,2,5,4,4,9,5,9,4,5,2,13,7,0
23a10591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc2e4736,1,1,1,0,0,0,0,0,0,0,0,2,3,3,1
e27de4fa,29,23,21,8,0,11,28,17,12,1,11,29,58,26,0
d2c580ce,2,1,1,1,0,0,6,6,3,1,2,4,6,4,0
099e666f,49,29,24,19,6,26,51,25,45,10,35,26,75,79,0
59e4b92e,60,36,21,35,4,18,45,27,47,12,35,48,108,62,0
610aa1e9,33,24,27,6,0,22,41,19,20,9,11,12,45,67,0
49296448,52,29,21,20,11,22,55,33,38,9,29,29,81,29,0
15fd5593,55,43,19,23,13,19,57,38,46,18,28,38,93,45,2
aeda1f69,24,16,4,13,7,7,19,12,10,2,8,3,27,5,0
ca8033cb,45,26,24,16,5,18,31,13,34,16,18,26,71,101,2
92948149,44,31,26,16,2,20,30,10,16,4,12,27,71,61,1
6bd5cd5d,29,14,24,5,0,17,30,13,19,11,8,27,56,77,1
ea6bc03a,34,20,20,13,1,11,26,15,30,22,8,45,79,94,4
0fbecd11,44,35,15,25,4,18,53,35,31,11,20,30,74,16,0
5ed9b537,11,6,10,1,0,2,7,5,9,4,5,5,16,35,1
3861d9cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1cd37e6,59,38,30,20,9,22,59,37,45,2,43,23,82,16,0
dc366c36,3,2,3,0,0,3,11,8,1,0,1,1,4,23,3
be5e1c4c,13,8,5,7,1,9,20,11,13,2,11,6,19,8,0
bb25c778,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
603cb947,2,1,1,0,1,1,7,6,6,0,6,3,5,4,0
496aeede,45,29,19,21,5,19,49,30,22,3,19,14,59,19,0
9f77012e,1,1,0,1,0,1,2,1,0,0,0,0,1,0,0
4d7faad1,17,9,9,6,2,8,15,7,6,3,3,3,20,13,1
2a29eb9b,1,1,0,1,0,1,5,4,2,0,2,1,2,6,0
9ceb7642,34,17,15,18,1,12,30,18,16,4,12,26,60,55,0
beda9675,11,7,3,6,2,4,15,11,5,0,5,2,13,5,0
c1b7847c,91,45,30,46,15,43,102,59,51,8,43,34,125,14,0
4aea5077,51,30,25,19,7,24,54,30,38,7,31,29,80,71,0
864db10a,8,5,3,5,0,6,12,6,5,1,4,7,15,22,0
74d70fb5,3,2,3,0,0,2,4,2,5,3,2,3,6,11,1
33b554b7,33,19,15,17,1,16,49,33,22,5,17,17,50,24,0
b93b7882,3,1,1,2,0,2,3,1,6,0,6,2,5,2,1
364445b2,19,12,10,9,0,5,13,8,16,7,9,32,51,57,0
792ffa71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbd86530,63,37,37,20,6,26,49,23,46,11,35,43,106,65,0
8d78e732,18,9,3,9,6,3,15,12,13,1,12,7,25,13,0
99b1d0e6,23,14,16,5,2,10,22,12,15,7,8,16,39,35,0
302527b2,11,4,10,1,0,6,13,7,24,17,7,28,39,86,0
6cc47ae1,5,4,0,4,1,1,4,3,1,0,1,0,5,3,0
7c104bb7,6,4,3,1,2,1,1,0,3,0,3,1,7,0,1
70678132,10,8,6,2,2,6,18,12,11,2,9,5,15,7,0
70678132,9,6,3,6,0,5,11,6,2,1,1,7,16,2,0
3588d4fe,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0c61c77c,25,18,13,8,4,10,28,18,22,4,18,10,35,14,0
7fe12375,1,0,1,0,0,1,2,1,0,0,0,0,1,5,1
ab700320,9,7,6,1,2,1,10,9,5,0,5,7,16,2,1
f3722c97,8,3,1,5,2,5,10,5,2,0,2,7,15,7,0
625e41b1,15,9,0,9,6,1,13,12,12,2,10,6,21,2,0
0e0102eb,1,1,1,0,0,0,0,0,1,0,1,1,2,0,0
2f3e911a,29,15,17,8,4,9,22,13,11,5,6,30,59,36,0
7f97771d,16,12,9,7,0,9,11,2,9,8,1,18,34,30,0
11fd2b75,42,23,17,22,3,21,57,36,46,14,32,62,104,40,0
50e6dc35,2,2,0,2,0,0,6,6,3,2,1,1,3,11,0
33144cc5,10,3,3,2,5,3,13,10,4,0,4,5,15,1,0
826e8b63,42,29,22,16,4,20,45,25,19,4,15,26,68,50,0
61fc9685,4,2,1,2,1,1,3,2,0,0,0,1,5,1,0
493924a7,69,48,39,24,6,35,54,19,33,10,23,23,92,53,0
01c3aff5,38,20,17,16,5,13,40,27,38,12,26,46,84,39,0
4b6dd263,8,5,3,4,1,4,12,8,3,0,3,2,10,4,0
b500b384,14,6,2,9,3,4,15,11,10,0,10,5,19,4,0
33340bd6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9f979eb2,6,5,2,4,0,1,2,1,13,11,2,14,20,30,0
1e274a0a,14,12,3,5,6,3,20,17,13,2,11,7,21,7,0
ead61f73,14,10,8,6,0,6,18,12,12,4,8,10,24,27,1
88d4144a,61,38,31,25,5,26,54,28,38,6,32,53,114,64,0
34e4343c,10,5,1,5,4,1,10,9,5,3,2,0,10,19,0
a5ce09f2,2,1,1,1,0,1,2,1,0,0,0,0,2,1,0
00844823,27,15,19,6,2,11,26,15,37,19,18,49,76,85,0
ff45add5,31,15,11,16,4,11,35,24,17,6,11,18,49,37,0
e7d22eae,23,12,9,14,0,11,24,13,4,1,3,8,31,11,0
5fd5e542,7,3,2,4,1,4,10,6,4,0,4,5,12,3,0
ac73ec79,61,39,39,12,10,25,38,13,26,4,22,47,108,57,0
cbac6ec9,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
3c6089ab,45,27,7,26,12,22,69,47,27,3,24,12,57,8,0
d01b9ad6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2c0558b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc29b608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
