id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-254,1998,10,6,428,4.8,1,1,2,1,0,0,2,0,1.1,1.1,0.2,1.3,12,31,29,0.21,0.21,0.42,0.21,0.42,0.23,0.04,0.27,0.23,0.27,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Lorient,20-239,2002,7,0,102,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,7,13,9,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.37,0.31,0.37,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-275,1992,15,9,795,8.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,39,51,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-119,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,2,8,0.00,0.00,0.00,0.00,0.00,0.19,0.09,0.28,0.19,0.28,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-339,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-262,2000,6,2,194,2.2,0,1,1,0,0,0,2,0,0.3,0.3,0.3,0.6,4,7,8,0.00,0.46,0.46,0.00,0.46,0.15,0.14,0.29,0.15,0.29,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-298,1996,13,7,637,7.1,1,0,1,1,0,0,1,0,0.9,0.9,1.2,2.0,30,32,45,0.14,0.00,0.14,0.14,0.14,0.12,0.17,0.29,0.12,0.29,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-198,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-010,1991,20,16,1259,14.0,2,2,4,1,1,1,0,0,2.2,1.5,2.0,3.4,20,72,56,0.14,0.14,0.29,0.07,0.21,0.16,0.14,0.30,0.10,0.25,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-181,1986,17,15,1372,15.2,1,0,1,1,0,0,1,1,1.0,1.0,0.0,1.0,3,22,0,0.07,0.00,0.07,0.07,0.07,0.06,0.00,0.06,0.06,0.06,Matches
