id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
4f8ce0e1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,1.0
e3756e72,29.0,15,14.0,12.0,3.0,6.0,27.0,21.0,39.0,8.0,31.0,21,50.0,51.0,0.0
d705ba44,7.0,3,2.0,2.0,3.0,3.0,12.0,9.0,12.0,4.0,8.0,2,9.0,9.0,0.0
0000acda,1.0,0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,3,4.0,3.0,0.0
0000acda,6.0,3,3.0,2.0,1.0,1.0,10.0,9.0,4.0,0.0,4.0,3,9.0,6.0,0.0
305a3820,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
db092d3b,44.0,30,22.0,15.0,7.0,21.0,50.0,29.0,20.0,4.0,16.0,25,69.0,15.0,0.0
3b8674e6,32.0,18,11.0,18.0,3.0,7.0,20.0,13.0,15.0,2.0,13.0,26,58.0,15.0,1.0
ec1f737d,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
53a0e358,32.0,19,9.0,16.0,7.0,15.0,57.0,42.0,39.0,2.0,37.0,31,63.0,23.0,0.0
61b3978f,64.0,38,34.0,25.0,5.0,37.0,80.0,43.0,38.0,12.0,26.0,42,106.0,73.0,1.0
ee833569,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0
ee93c1a9,16.0,10,7.0,4.0,5.0,6.0,13.0,7.0,12.0,4.0,8.0,5,21.0,15.0,0.0
04b40c58,3.0,2,3.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,3,6.0,1.0,0.0
88895312,7.0,2,3.0,3.0,1.0,4.0,15.0,11.0,13.0,3.0,10.0,5,12.0,11.0,0.0
ed5c0319,21.0,6,2.0,14.0,5.0,9.0,19.0,10.0,16.0,1.0,15.0,5,26.0,25.0,1.0
36e88fbc,8.0,4,7.0,1.0,0.0,4.0,6.0,2.0,6.0,5.0,1.0,17,25.0,33.0,1.0
9e1577aa,37.0,24,17.0,15.0,5.0,22.0,53.0,31.0,28.0,10.0,18.0,19,56.0,31.0,1.0
64cd167d,31.0,16,19.0,9.0,3.0,17.0,24.0,7.0,16.0,9.0,7.0,16,47.0,26.0,0.0
f1d25de7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
fe012aca,7.0,3,0.0,4.0,3.0,4.0,6.0,2.0,6.0,0.0,6.0,1,8.0,3.0,1.0
fe012aca,7.0,4,1.0,2.0,4.0,2.0,3.0,1.0,3.0,0.0,3.0,2,9.0,1.0,1.0
cb678320,6.0,3,6.0,0.0,0.0,4.0,8.0,4.0,3.0,2.0,1.0,6,12.0,21.0,0.0
