id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
52ec54d0,28,17,18,8,2,12,17,5,32,29,3,31,59,94,2,133
5313ed43,17,12,8,8,1,9,35,26,20,1,19,17,34,19,0,160
536cebe5,16,11,4,9,3,7,34,27,14,1,13,3,19,12,0,59
539230cf,17,10,10,7,0,5,8,3,11,6,5,8,25,18,0,28
53a0e358,32,16,19,8,5,13,59,46,31,3,28,33,65,27,0,143
53de807a,43,25,24,15,4,28,43,15,19,9,10,34,77,85,0,133
54e53b7e,10,8,1,7,2,4,18,14,12,2,10,11,21,3,0,61
5592007b,17,9,3,9,5,6,18,12,7,0,7,5,22,1,0,45
563a68ad,43,22,15,24,4,16,43,27,24,8,16,34,77,31,2,143
56400c01,32,21,22,10,0,21,37,16,36,28,8,27,59,110,2,150
56b2957b,20,8,8,9,3,3,16,13,10,1,9,10,30,17,0,52
570bb4b9,31,15,10,15,6,14,39,25,22,1,21,11,42,7,0,77
5710a281,13,7,7,6,0,4,15,11,12,4,8,7,20,10,1,44
58027adc,15,10,6,7,2,9,19,10,7,4,3,10,25,23,0,45
582a251c,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6
5832ebfe,49,28,29,19,1,26,44,18,23,8,15,31,80,68,0,123
585a73a8,17,11,12,5,0,8,13,5,30,21,9,25,42,150,2,116
58d97e77,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,2
58e933d2,5,3,0,4,1,0,9,9,13,3,10,2,7,14,0,39
599d91d0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
59be3a74,4,0,3,1,0,1,1,0,4,0,4,0,4,0,0,5
5a2cb25d,58,36,26,21,11,26,55,29,29,10,19,31,89,15,1,219
5aa53281,49,26,26,18,5,22,44,22,32,15,17,60,109,98,1,165
5aaef9ef,43,22,21,16,6,14,61,47,21,4,17,29,72,36,0,129
5bd72174,7,4,3,2,2,3,11,8,15,0,15,1,8,8,0,60
5c397195,5,2,1,3,1,2,9,7,5,0,5,4,9,1,0,18
5cec2c74,32,18,14,13,5,12,35,23,31,6,25,24,56,36,0,139
5df4ef30,8,4,4,3,1,7,16,9,6,0,6,8,16,9,0,57
5e834dce,5,1,1,2,2,1,2,1,1,0,1,0,5,0,0,7
5e861944,12,6,8,2,2,5,16,11,7,0,7,5,17,4,0,45
5eae500a,13,7,4,7,2,3,10,7,14,6,8,1,14,28,0,52
5efc5389,14,9,9,3,2,7,18,11,25,9,16,23,37,71,0,53
5fa57166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5fd5ed86,63,36,37,20,6,20,34,14,48,22,26,74,137,118,1,174
6010ba04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
601ef102,19,11,6,8,5,7,27,20,23,2,21,8,27,28,0,70
61b3978f,53,35,25,23,5,26,52,26,38,16,22,35,88,88,1,144
61f2f56a,1,0,0,1,0,0,1,1,2,0,2,1,2,3,0,8
6213fd82,38,23,22,10,6,13,39,26,15,2,13,32,70,48,1,95
62437b4f,8,4,4,3,1,1,4,3,3,0,3,4,12,7,0,18
63071a3f,49,25,36,12,1,26,42,16,37,29,8,35,84,140,2,151
649b01d8,1,1,1,0,0,1,3,2,0,0,0,0,1,21,1,32
64cd167d,32,17,17,13,2,15,26,11,22,12,10,34,66,69,0,113
