id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
f5b6fb78,0,8,1,0.0,0.0,12.3,0.0,0,0,0.5,0.5,-0.5,-0.5
b6047994,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2ab14aaa,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
fbf76716,0,18,4,0.0,0.0,24.0,5.0,0,0,0.8,0.8,-0.8,-0.8
6fbde63a,2,4,0,0.0,0.0,27.2,0.0,2,2,1.8,0.2,0.2,-0.2
d5575935,0,21,3,0.0,0.0,22.2,3.0,0,0,1.0,1.0,-1.0,-1.0
28dabd43,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
433dc9a2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
380a15e2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
4e9957ff,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
de40e38c,0,1,0,0.0,0.0,17.3,0.0,0,0,0.0,0.0,0.0,0.0
47c609d5,4,19,9,0.21,0.44,11.2,0.0,0,0,3.1,3.1,0.9,0.9
6191093d,10,71,24,0.14,0.42,19.8,0.0,0,0,8.1,8.1,1.9,1.9
7d937aa1,0,22,3,0.0,0.0,24.1,3.0,0,0,1.0,1.0,-1.0,-1.0
6c8ddd52,0,10,1,0.0,0.0,25.4,0.0,0,0,0.3,0.3,-0.3,-0.3
6c8ddd52,0,1,0,0.0,0.0,11.9,0.0,0,0,0.1,0.1,-0.1,-0.1
f6496133,2,24,7,0.08,0.29,21.6,3.0,0,0,2.1,2.1,-0.1,-0.1
ccce7025,0,16,5,0.0,0.0,14.9,1.0,0,0,1.2,1.2,-1.2,-1.2
0b0cbe5b,7,97,35,0.04,0.11,18.7,4.0,3,4,12.8,9.6,-5.8,-5.6
f9d5908e,3,16,9,0.19,0.33,19.4,0.0,0,0,2.2,2.2,0.8,0.8
1001ae82,0,11,3,0.0,0.0,24.9,2.0,0,2,2.1,0.5,-2.1,-0.5
b0c71810,1,13,5,0.08,0.2,16.4,2.0,0,0,1.7,1.7,-0.7,-0.7
a0791826,6,78,26,0.06,0.19,26.4,26.0,1,2,5.2,3.7,0.8,1.3
