id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2b91cf8e,20,12,18,2,0,9,15,6,18,14,4,11,31,82,0
91c975a0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6cdd8245,28,15,8,14,6,9,36,27,13,1,12,10,38,15,0
2928dca2,36,23,30,6,0,15,30,15,22,15,7,28,64,119,2
0420d84f,42,31,24,14,4,19,25,6,21,9,12,24,66,43,1
27c01749,7,6,1,4,2,3,10,7,11,0,11,0,7,3,0
2afc7272,27,14,15,9,3,10,47,37,17,5,12,17,44,17,1
3e5e4e63,22,11,18,4,0,8,20,12,32,23,9,44,66,153,1
74e12f1e,35,24,10,20,5,12,62,50,34,12,22,28,63,49,0
4f974391,43,26,21,18,4,23,46,23,33,10,23,35,78,75,2
a4fe8cda,4,2,2,1,1,1,5,4,1,1,0,2,6,1,0
d9565625,3,2,3,0,0,3,4,1,1,0,1,2,5,1,0
9d107085,1,1,0,1,0,0,1,1,2,0,2,1,2,5,1
f08490a6,4,2,3,1,0,1,4,3,2,0,2,8,12,4,1
52105203,8,4,7,1,0,8,14,6,9,7,2,14,22,67,0
6e33125f,6,4,3,3,0,4,7,3,7,3,4,2,8,7,0
44781702,28,15,13,11,4,7,21,14,28,12,16,22,50,47,0
9228b07c,38,17,12,22,4,17,55,38,12,4,8,35,73,28,0
9deaf2c8,1,1,0,1,0,0,3,3,4,0,4,0,1,3,0
3e9e06cb,29,18,16,13,0,17,31,14,41,32,9,34,63,116,0
e46012d4,45,24,8,20,17,18,66,48,26,4,22,18,63,24,2
82e34b69,19,12,6,10,3,6,29,23,13,1,12,11,30,27,0
111c3236,26,12,10,13,3,9,22,13,12,3,9,15,41,19,1
5a7301ae,68,31,41,19,8,28,67,39,39,12,27,38,106,64,2
39583cfd,33,16,18,9,6,12,59,47,10,0,10,25,58,6,0
ac861941,21,12,10,10,1,10,20,10,14,9,5,21,42,65,0
1b84dbe1,73,49,49,19,5,33,68,35,39,10,29,42,115,108,0
a712ca2b,27,15,18,9,0,16,25,9,37,21,16,47,74,166,2
254147d4,27,21,13,9,5,11,21,10,15,1,14,9,36,9,0
d557d734,55,29,34,17,4,27,41,14,34,4,30,40,95,52,1
02b29014,64,30,29,29,6,16,57,41,46,8,38,31,95,32,0
5526deb1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2649ff32,5,3,3,2,0,2,18,16,5,0,5,5,10,5,1
2649ff32,2,1,1,1,0,0,1,1,0,0,0,1,3,0,0
15ea94de,3,2,1,2,0,0,8,8,6,0,6,1,4,5,1
3a949a25,1,1,1,0,0,1,2,1,2,0,2,1,2,17,5
79ca3e23,18,11,9,6,3,7,16,9,10,2,8,6,24,8,0
7314bba4,18,9,14,4,0,6,17,11,13,7,6,21,39,72,0
3fe6bd8c,27,17,19,7,1,21,27,6,23,9,14,23,50,69,0
282f75f3,40,24,23,17,0,15,34,19,55,33,22,55,95,125,2
3bb7b8b4,2,2,2,0,0,2,5,3,0,0,0,3,5,16,6
debe38a0,44,27,34,10,0,25,45,20,39,27,12,58,102,171,4
c8387671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615ef733,19,9,10,7,2,10,21,11,11,5,6,13,32,25,1
4fdf1fd9,11,6,8,2,1,8,13,5,18,17,1,28,39,86,3
980522ec,19,9,10,8,1,7,24,17,10,1,9,12,31,16,0
f8fcd2a5,48,34,33,14,1,28,39,11,33,18,15,57,105,174,4
9328b835,2,2,2,0,0,2,4,2,0,0,0,1,3,5,3
7f3b388c,62,35,20,35,7,26,67,41,25,2,23,34,96,19,1
1e43fad8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d9a71c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5d01ecf,68,38,49,17,2,43,80,37,16,2,14,36,104,49,0
507c7bdf,22,12,9,9,4,5,38,33,6,0,6,11,33,16,0
e2dde94c,2,0,2,0,0,0,2,2,2,0,2,1,3,0,0
f25b010f,42,25,30,10,2,23,46,23,41,28,13,24,66,190,2
101da2b5,50,35,32,16,2,29,48,19,28,16,12,25,75,82,0
4c370d81,37,19,8,14,15,10,43,33,34,3,31,7,44,11,1
b63e789d,36,25,13,14,9,22,64,42,25,3,22,24,60,26,0
ed1e53f3,14,10,4,6,4,6,19,13,5,0,5,6,20,2,0
82927de4,46,28,21,18,7,19,64,45,35,1,34,25,71,15,0
d0b3ceb9,1,0,1,0,0,1,3,2,1,0,1,0,1,16,2
a9142dc3,1,1,0,1,0,1,4,3,0,0,0,4,5,1,0
45e17712,1,0,1,0,0,0,0,0,1,0,1,2,3,2,0
6c7762c3,7,3,5,2,0,3,4,1,1,0,1,1,8,3,1
1e0b6a73,13,9,11,2,0,11,21,10,17,12,5,20,33,71,0
d56543a0,12,6,5,5,2,7,22,15,15,3,12,15,27,24,0
b853e0ad,60,32,33,22,5,25,100,75,44,8,36,38,98,32,0
c067631c,82,56,59,18,5,41,64,23,20,10,10,24,106,73,1
c13c24c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636b64cd,6,4,2,2,2,2,8,6,1,0,1,10,16,6,0
a67a09fb,14,9,8,6,0,8,19,11,8,3,5,17,31,33,1
2bed3eab,6,1,4,2,0,5,9,4,2,0,2,18,24,33,0
4e015693,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
e58a03c6,12,10,4,6,2,4,8,4,5,0,5,2,14,9,0
63d17038,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
6bd603db,4,3,1,1,2,1,2,1,1,0,1,1,5,4,0
7ba6d84e,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
ffa90327,20,11,12,5,3,8,26,18,10,1,9,13,33,16,1
32f60ed8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
df10e27c,5,2,3,2,0,2,4,2,2,0,2,3,8,3,1
16ceb862,8,3,2,5,1,1,11,10,14,1,13,2,10,13,0
9f7c837d,22,14,18,3,1,10,18,8,41,37,4,25,47,152,3
1961b2aa,22,15,7,11,4,8,62,54,20,3,17,7,29,7,0
645a3363,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7a11550b,23,16,17,6,0,9,20,11,15,8,7,38,61,64,2
2bd83368,11,7,5,6,0,5,15,10,6,2,4,8,19,4,0
7fec31a0,26,10,14,9,3,6,27,21,31,11,20,20,46,26,0
c24dba2a,4,3,0,2,2,1,3,2,4,1,3,1,5,2,0
4468ec10,12,6,6,6,0,6,12,6,7,0,7,5,17,4,0
b0b4fd3e,29,19,12,12,5,13,34,21,33,12,21,22,51,22,1
58eee997,17,11,5,6,6,5,20,15,9,0,9,6,23,6,1
8aec0537,36,13,8,21,7,14,39,25,25,3,22,9,45,7,0
ab13a5aa,1,1,1,0,0,1,2,1,0,0,0,0,1,18,3
5ea8ef20,31,16,14,13,4,14,43,29,21,7,14,29,60,38,2
5d8d7454,74,43,48,20,6,36,67,31,33,10,23,49,123,74,2
819b3158,27,16,9,11,7,9,41,32,17,5,12,31,58,13,0
e082af5b,1,1,1,0,0,1,3,2,0,0,0,0,1,1,0
ba115a40,22,15,8,10,4,3,30,27,19,5,14,8,30,27,0
e9254eec,24,15,17,7,0,8,14,6,25,18,7,31,55,77,1
bf8fad51,21,9,15,5,1,8,15,7,27,19,8,20,41,98,4
c951a6df,55,27,33,17,5,20,50,30,24,7,17,38,93,38,0
a6de6361,3,2,3,0,0,3,4,1,0,0,0,0,3,6,0
e5a76dfe,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1
935e6b8f,63,41,18,33,12,22,55,33,22,4,18,30,93,21,2
989d5705,18,10,7,8,3,7,27,20,21,8,13,20,38,20,0
76eca7e2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
189cee7b,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
007b39a5,27,19,13,11,3,9,31,22,12,1,11,19,46,10,0
92e7e919,23,15,10,11,2,9,57,48,23,0,23,19,42,18,1
78e87179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d79a8c87,4,2,3,1,0,1,3,2,10,6,4,5,9,45,1
12aa7661,26,15,19,7,0,9,28,19,11,4,7,3,29,33,0
d0042ab9,44,26,30,13,1,21,31,10,26,13,13,34,78,97,0
45ab2170,3,1,2,1,0,0,0,0,1,0,1,0,3,0,0
fcab00a0,16,10,4,8,4,10,25,15,19,4,15,9,25,31,0
15f3ec41,10,4,4,5,1,1,7,6,9,0,9,5,15,4,1
a0666d3e,75,47,24,41,10,25,67,42,48,8,40,37,112,28,0
8b04d6c1,80,49,34,38,8,39,91,52,44,5,39,46,126,54,2
9f736ed2,2,2,2,0,0,1,1,0,0,0,0,0,2,1,0
291e3ec3,2,2,1,0,1,2,3,1,4,0,4,0,2,1,0
03622183,2,2,0,2,0,1,3,2,1,1,0,0,2,0,0
c92e1a31,3,1,1,2,0,1,9,8,8,1,7,3,6,8,0
07802f7f,42,25,16,16,10,13,67,54,62,4,58,9,51,30,1
6ca5ec4b,25,17,8,15,2,12,33,21,18,2,16,14,39,10,1
3233eefd,5,4,3,2,0,1,3,2,5,5,0,4,9,19,0
08452314,8,4,3,2,3,0,2,2,5,0,5,3,11,2,0
c931d9f9,20,10,5,10,5,7,45,38,23,4,19,7,27,12,0
ebd0a048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265a93a,36,23,18,14,4,11,29,18,19,8,11,22,58,28,0
45da6694,14,10,8,6,0,6,13,7,7,2,5,7,21,23,0
b66315ae,17,10,4,5,8,7,25,18,26,1,25,11,28,6,0
b561db50,20,12,6,10,4,3,31,28,26,0,26,16,36,34,1
e8832875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c17bfb65,34,20,7,22,5,9,32,23,32,6,26,11,45,30,0
9319781b,8,4,7,1,0,7,10,3,5,2,3,3,11,11,0
4fb9c88f,4,4,0,1,3,3,4,1,2,0,2,2,6,1,0
def899bd,2,2,1,1,0,1,1,0,2,0,2,2,4,9,1
41ff002d,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45db685d,66,40,24,34,8,35,91,56,30,5,25,64,130,27,2
9f351459,3,1,2,0,1,2,5,3,1,0,1,3,6,6,0
178ae8f8,28,15,16,10,2,12,48,36,17,0,17,9,37,10,2
fb614c44,36,17,22,14,0,15,25,10,15,7,8,11,47,30,0
914ab9a1,37,24,26,11,0,17,32,15,31,23,8,36,73,127,0
21a66f6a,18,12,3,12,3,4,17,13,17,7,10,6,24,30,0
b9fbae28,44,20,22,14,8,17,36,19,29,5,24,44,88,32,2
3d50bcdb,6,6,5,1,0,0,0,0,4,0,4,5,11,1,1
c5b7c315,31,16,18,12,1,14,24,10,35,28,7,44,75,152,0
f25c8e3a,30,14,8,16,6,11,26,15,18,0,18,10,40,4,0
f31def1e,7,3,3,4,0,6,7,1,9,5,4,6,13,15,1
d7492450,23,18,19,4,0,14,31,17,18,10,8,16,39,86,1
d0f72bf1,4,2,1,3,0,2,2,0,1,1,0,4,8,7,0
43458538,16,6,4,8,4,4,16,12,20,3,17,8,24,9,0
5f1d07f6,8,2,5,2,1,7,11,4,6,6,0,7,15,29,0
ecf44e09,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3935e52e,29,16,18,6,5,12,23,11,14,4,10,25,54,34,1
0313a347,18,9,12,6,0,7,16,9,34,24,10,25,43,70,2
8d3c902d,67,32,43,20,4,26,48,22,35,11,24,43,110,58,1
79c0821a,63,38,29,32,2,26,65,39,15,1,14,22,85,16,1
77cf6852,18,12,15,2,1,9,20,11,11,8,3,8,26,45,0
f23f9d20,0,0,0,0,0,0,1,1,2,0,2,1,1,13,1
9dbb75ca,31,16,8,21,2,9,24,15,14,0,14,7,38,15,0
99813635,19,9,7,9,3,6,21,15,7,0,7,5,24,3,0
abe66106,24,20,9,13,2,2,21,19,12,3,9,8,32,10,0
f4e433d4,2,2,1,1,0,2,2,0,0,0,0,0,2,0,0
f4e433d4,7,6,6,1,0,2,9,7,6,0,6,16,23,17,0
