id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
19e50035,0,0,0,8.8,-3.2,23,66,79,11,39,55,3,0,3009.9,1868.1,0.0
1c0eea98,1,3,2,23.2,-2.8,71,207,275,47,87,187,7,12,11247.5,4158.6,193.2
2628fd2b,0,0,0,9.4,0.4,17,53,77,13,37,73,6,1,2602.6,1864.8,7.3
28300a16,0,1,0,1.6,-0.4,2,6,32,2,6,16,0,0,764.8,240.0,0.0
28d596a0,0,1,0,3.2,1.2,8,29,117,29,21,44,2,8,3088.8,579.6,150.4
2f965a72,0,0,0,1.2,0.2,9,28,26,3,14,15,1,0,1203.8,679.0,0.0
33887998,0,1,1,28.4,-1.6,83,193,779,154,177,375,28,46,19708.7,4407.3,685.4
36c2ca73,0,6,0,21.5,-5.5,74,246,383,78,125,255,22,5,13290.1,6325.0,48.0
3a949a25,0,7,1,34.0,0.0,207,497,605,88,236,360,22,14,22385.0,14278.0,166.6
3bb7b8b4,0,1,0,25.7,-0.3,87,182,988,165,138,300,21,55,25391.6,3698.4,1045.0
3f70db80,0,0,0,0.6,0.6,1,3,8,2,3,7,0,2,243.2,86.1,47.4
42130443,0,0,0,0.1,0.1,1,6,32,6,7,10,0,3,748.8,135.1,49.8
466fb2c5,0,3,1,38.2,0.2,134,480,993,162,181,414,26,60,32967.6,9973.1,984.0
4806ec67,2,10,4,51.7,-2.3,272,782,873,119,267,518,23,35,40507.2,16153.5,521.5
4b40d9ca,1,6,1,44.3,-1.7,319,807,793,147,283,605,46,80,36636.6,17319.6,1392.0
53af52f3,1,14,1,55.5,-1.5,194,486,999,166,291,533,15,38,34065.9,10912.5,562.4
62d7ef38,0,0,0,2.2,0.2,2,10,78,13,13,20,0,3,1770.6,299.0,51.3
6a713852,1,5,0,40.9,-1.1,158,561,1285,186,234,517,60,36,42405.0,11442.6,464.4
6b625ac2,3,10,1,61.8,-16.2,108,410,1101,274,288,438,23,45,32259.3,9590.4,639.0
76eca7e2,0,1,1,3.2,-1.8,27,63,57,7,21,37,0,4,2895.6,1335.6,68.0
7956236f,2,5,2,42.1,-3.9,146,406,824,162,275,474,34,33,27686.4,9377.5,508.2
7a2e46a8,0,3,1,24.4,1.4,114,258,1216,211,172,340,22,89,31980.8,5744.8,1664.3
7b4de647,0,3,1,4.2,-2.8,20,62,54,5,31,50,3,2,2640.6,1590.3,21.4
7ba6d84e,0,4,3,55.1,1.1,103,315,623,134,299,525,8,25,19250.7,10734.1,350.0
8f62b6ee,1,5,1,37.6,-1.4,115,279,676,161,278,567,33,45,20956.0,7367.0,639.0
903b6e8b,1,1,1,46.3,7.3,121,412,844,216,261,549,43,40,29286.8,9630.9,532.0
9328b835,2,8,2,46.8,-1.2,193,525,736,164,277,595,28,12,28115.2,12298.8,124.8
939bc634,0,0,0,3.2,-1.8,9,25,48,6,13,30,1,5,1713.6,412.1,113.5
98ea5115,1,3,0,26.2,-0.8,225,527,876,118,202,402,27,35,31711.2,10079.8,553.0
a179d516,0,1,0,3.3,-1.7,17,36,47,0,13,33,1,4,1804.8,734.5,56.0
a8a3d139,0,0,0,2.2,-0.8,3,11,32,7,6,11,1,1,972.8,187.2,16.3
ab13a5aa,1,10,0,28.8,-4.2,105,282,778,182,201,386,17,36,22017.4,6331.5,586.8
c3e39f12,0,5,2,32.4,-0.6,105,330,461,71,140,285,19,24,18255.6,6930.0,295.2
cc70a1d5,1,1,2,9.7,-1.3,25,93,221,40,66,139,11,7,6585.8,2395.8,78.4
cde3309f,0,1,1,9.5,-4.5,72,163,187,28,62,106,5,4,8321.5,3515.4,42.0
d0b3ceb9,0,3,1,37.1,-10.9,196,622,657,76,223,455,20,37,29367.9,13513.8,588.3
d3ce0e89,0,1,0,1.4,0.4,2,5,26,8,7,18,1,1,670.8,135.1,10.7
da8b19e2,0,1,0,2.9,-0.1,1,11,19,4,14,13,1,1,685.9,399.0,14.2
e082af5b,0,2,0,19.3,-2.7,45,129,219,47,86,175,3,14,7555.5,2967.0,242.2
e7ee38c3,0,0,0,2.2,-0.8,8,25,26,7,20,28,5,0,995.8,972.0,0.0
f127d782,0,5,2,19.9,-2.1,64,216,433,60,83,194,9,18,14678.7,3062.7,302.4
f23f9d20,1,7,2,48.3,-11.7,134,399,847,168,224,442,14,19,29052.1,8982.4,239.4
