id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
a111cf41,Juan Musso,ar ARG,GK,Udinese,24,1994,29,29,2610,29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0,Matches
e7ee38c3,Robin Olsen,se SWE,GK,Roma,28,1990,27,27,2430,27.0,42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0,Matches
82b1198a,David Ospina,co COL,GK,Napoli,29,1988,17,16,1457,16.2,20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,0.0,Matches
f058ed1f,Gianluca Pegolo,it ITA,GK,Sassuolo,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
4c62d0c8,Mattia Perin,it ITA,GK,Juventus,25,1992,9,9,810,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0,Matches
f6a06749,Carlo Pinsoglio,it ITA,GK,Juventus,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
07f55871,Giacomo Poluzzi,it ITA,GK,SPAL,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
c8a88acd,Silvio Proto,be BEL,GK,Lazio,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches
277da414,Ivan Provedel,it ITA,GK,Empoli,24,1994,16,16,1440,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0,Matches
67f649be,Ionuț Radu,ro ROU,GK,Genoa,21,1997,33,33,2970,33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7,Matches
e358587b,Pepe Reina,es ESP,GK,Milan,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0,Matches
7b5f516f,Francesco Rossi,it ITA,GK,Atalanta,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches
41bd99ea,Simone Scuffet,it ITA,GK,Udinese,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0,Matches
