id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
671aa380,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6747869d,2,110,1.2,1,0,1,0,0.5,2,3.0,-1.0,1.75,2.1,3.2,-1.1,0.26,0,0,0,0.0
675b0427,6,537,6.0,6,5,0,0,1.5,7,11.0,-4.0,-0.67,9.7,8.9,0.8,2.35,0,0,0,0.0
67f0703d,3,270,3.0,3,3,0,0,1.0,3,3.0,0.0,0.0,5.6,2.6,3.0,0.63,0,0,0,0.0
6800f515,7,630,7.0,7,7,0,0,2.22,12,8.0,4.0,2.57,10.2,8.6,1.6,2.28,0,0,0,0.0
685857dc,8,548,6.1,5,4,3,0,1.88,11,7.0,4.0,1.1,8.0,7.2,0.7,0.52,0,0,0,0.0
68635c10,6,540,6.0,6,6,0,0,1.33,8,7.0,1.0,0.0,9.1,7.9,1.2,0.0,0,0,0,0.0
686cbe7d,6,524,5.8,6,3,0,0,1.75,10,10.0,0.0,0.0,9.8,7.3,2.5,-0.19,0,0,0,0.0
6898d704,0,0,0.0,0,0,0,1,1.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
689c9cf4,6,463,5.1,5,4,1,0,1.33,8,6.0,2.0,1.56,7.8,6.7,1.1,-0.01,0,0,0,0.0
68d084ef,0,0,0.0,0,0,0,8,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
68dc0dac,6,401,4.5,5,2,1,0,1.83,4,4.0,0.0,-0.56,5.2,5.0,0.2,0.2,0,0,0,0.0
691bef82,2,180,2.0,2,2,0,0,1.5,2,3.0,-1.0,0.0,1.7,2.3,-0.7,0.0,0,0,0,0.0
6922f806,6,190,2.1,2,1,4,0,1.33,5,5.0,0.0,-0.85,4.4,3.0,1.4,0.01,0,0,0,0.0
6928979a,6,424,4.7,5,4,1,0,2.5,14,5.0,9.0,1.13,10.1,4.6,5.5,0.69,0,0,0,0.0
692e9958,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
69374ff5,4,119,1.3,1,0,3,1,2.25,2,3.0,-1.0,-2.39,1.3,4.1,-2.8,-3.57,0,0,0,0.0
6956ff08,1,18,0.2,0,0,1,1,3.0,0,0.0,0.0,-0.83,0.2,0.1,0.2,0.26,0,0,0,0.0
6993fcc8,5,450,5.0,5,5,0,0,0.6,5,8.0,-3.0,0.4,5.2,6.1,-0.9,-0.08,0,0,0,0.0
69986380,1,27,0.3,0,0,1,3,1.0,1,0.0,1.0,3.51,1.2,0.2,1.0,2.69,0,0,0,0.0
