id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0e61c46b,1,90,1,1,1,0,4,2,1,1,0.9,0.5,0.4,90,1,1,1
0eeafda5,9,739,8,8,8,1,4,11,5,6,12.6,8.7,3.9,0,0,0,0
0efacb06,5,450,5,5,5,0,0,9,4,5,6.2,6.9,-0.7,0,0,0,0
0f5e0b8a,10,916,10,10,9,0,0,18,12,6,15.3,14.8,0.4,0,0,0,0
0f816ae5,2,157,1,2,0,0,1,2,1,1,2.6,1.9,0.7,0,0,0,0
0f888175,5,182,2,2,1,3,1,2,2,0,2.5,1.4,1.1,0,0,0,0
0f8bd0a6,5,432,4,5,2,0,0,9,8,1,9.9,5.3,4.6,0,0,0,0
0f9b8301,6,442,4,5,4,1,0,0,8,-8,3.1,6.8,-3.6,0,0,0,0
0fffd034,5,236,2,2,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
10206347,1,1,0,0,0,1,6,0,0,0,0.2,0.0,0.2,0,0,0,0
10a81962,3,183,2,2,0,1,1,0,8,-8,1.0,9.8,-8.7,0,0,0,0
10d58a78,5,386,4,5,2,0,0,4,6,-2,4.7,4.2,0.6,0,0,0,0
10efd0e1,5,398,4,5,1,0,0,11,5,6,7.6,6.6,1.0,0,0,0,0
10f7b376,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
110a95ca,6,540,6,6,6,0,0,6,16,-10,5.7,13.7,-8.0,540,6,6,6
11447a4b,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
119b9a8e,6,540,6,6,6,0,0,8,5,3,9.6,7.3,2.3,0,0,0,0
11a1a615,1,90,1,1,1,0,0,2,1,1,2.4,0.4,1.9,0,0,0,0
11c0fa9d,8,333,3,3,2,5,0,8,7,1,8.4,6.4,2.0,0,0,0,0
120c594d,2,102,1,1,1,1,2,3,1,2,1.8,0.8,1.1,0,0,0,0
1238a3f9,3,238,2,3,2,0,0,5,4,1,4.6,4.1,0.5,0,0,0,0
1265b619,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
12947ab7,2,83,0,1,0,1,0,0,0,0,0.1,0.4,-0.3,0,0,0,0
12dcbdcc,8,720,8,8,8,0,0,10,11,-1,8.9,11.4,-2.4,0,0,0,0
12e6d21a,6,339,3,4,2,2,0,5,5,0,5.1,3.2,2.0,0,0,0,0
130a7a3f,5,220,2,2,0,3,0,3,4,-1,2.6,4.6,-2.0,0,0,0,0
1321d6f0,1,67,0,1,0,0,3,0,1,-1,0.3,1.2,-0.9,0,0,0,0
134832c6,4,121,1,1,1,3,1,0,1,-1,1.2,1.4,-0.2,0,0,0,0
136e7649,1,90,1,1,1,0,9,0,0,0,0.8,1.1,-0.3,90,1,1,1
1381e699,3,122,1,1,1,2,5,1,0,1,1.4,1.8,-0.4,0,0,0,0
13a78e01,8,720,8,8,8,0,0,14,13,1,9.2,12.4,-3.3,0,0,0,0
13ac19de,10,900,10,10,10,0,0,14,14,0,10.1,11.8,-1.8,0,0,0,0
13b0c150,5,450,5,5,5,0,2,8,6,2,8.2,5.6,2.6,0,0,0,0
140afefb,1,25,0,0,0,1,0,0,2,-2,0.3,0.6,-0.4,0,0,0,0
1432d037,3,152,1,2,0,1,2,1,2,-1,3.5,3.2,0.3,0,0,0,0
14349aeb,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
143e0d9b,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
1443ca7d,2,134,1,1,1,1,1,2,7,-5,1.0,4.1,-3.1,0,0,0,0
144607cc,4,102,1,1,0,3,2,1,0,1,1.9,1.1,0.8,0,0,0,0
14e8fe86,6,460,5,5,4,1,0,2,8,-6,4.2,7.0,-2.9,0,0,0,0
150d5992,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
151d78b3,0,0,0,0,0,0,1,0,1,-1,1.1,0.4,0.7,0,0,0,0
15413fa5,5,450,5,5,5,0,0,6,5,1,6.5,5.2,1.3,0,0,0,0
1598599e,4,272,3,3,2,1,3,6,5,1,3.7,5.7,-1.9,0,0,0,0
15b949ab,2,160,1,2,1,0,1,1,2,-1,3.0,2.5,0.4,0,0,0,0
15d0c248,10,831,9,10,8,0,0,14,12,2,16.4,7.4,9.0,0,0,0,0
15d8136a,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
15e99107,1,24,0,0,0,1,0,0,1,-1,0.0,1.3,-1.2,0,0,0,0
15e9c7e6,6,246,2,4,0,2,4,2,3,-1,3.2,1.6,1.6,0,0,0,0
15fd5593,5,245,2,3,1,2,1,3,3,0,4.1,3.7,0.4,0,0,0,0
16380240,7,609,6,7,5,0,0,14,6,8,13.2,8.8,4.4,0,0,0,0
163bbd4a,3,34,0,0,0,3,0,1,0,1,1.0,1.3,-0.3,0,0,0,0
16657b95,8,628,7,8,2,0,0,13,7,6,14.7,6.8,7.8,0,0,0,0
1668b4b1,1,19,0,0,0,1,1,0,1,-1,0.1,0.3,-0.2,0,0,0,0
166a981d,2,157,1,2,1,0,0,2,2,0,1.9,4.0,-2.1,0,0,0,0
168c50c5,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
16952f65,5,435,4,5,3,0,1,4,9,-5,6.7,4.4,2.3,0,0,0,0
169fd162,9,521,5,6,0,3,0,10,5,5,7.3,6.0,1.3,0,0,0,0
16b8fabd,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
16ceb862,6,540,6,6,6,0,0,14,4,10,11.7,5.5,6.3,0,0,0,0
17370b95,5,264,2,2,2,3,1,3,5,-2,4.8,3.6,1.2,0,0,0,0
173eb3cd,3,208,2,2,2,1,1,3,1,2,2.4,1.5,0.9,0,0,0,0
1770bd68,8,720,8,8,8,0,0,10,8,2,10.0,11.8,-1.8,0,0,0,0
1771f2c1,2,134,1,1,1,1,4,1,3,-2,2.9,2.2,0.7,0,0,0,0
17e3e467,5,174,1,2,0,3,1,5,3,2,4.4,2.7,1.7,0,0,0,0
182c10aa,5,436,4,5,4,0,0,5,8,-3,3.4,8.5,-5.1,0,0,0,0
18682b13,3,270,3,3,3,0,2,1,4,-3,2.0,4.2,-2.2,0,0,0,0
194ace07,4,256,2,4,2,0,2,3,4,-1,3.6,2.4,1.2,0,0,0,0
197640fd,3,224,2,2,2,1,5,9,1,8,4.9,2.3,2.6,0,0,0,0
19e4dca5,10,900,10,10,10,0,0,14,14,0,10.1,11.8,-1.8,0,0,0,0
1a105265,2,142,1,2,0,0,1,2,2,0,1.4,1.9,-0.5,0,0,0,0
1a4b9094,15,1000,11,11,10,4,0,11,12,-1,14.9,12.2,2.7,0,0,0,0
1a63f024,6,509,5,6,4,0,0,4,4,0,7.5,5.9,1.6,0,0,0,0
1a799243,14,1266,14,14,13,0,0,21,12,9,17.2,13.2,4.0,0,0,0,0
1a97dc06,5,143,1,1,1,4,3,1,4,-3,2.5,2.7,-0.2,0,0,0,0
1aa98b10,1,5,0,0,0,1,2,1,1,0,0.6,0.5,0.1,0,0,0,0
1aca6ddf,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
1bd5735a,6,524,5,6,5,0,0,3,9,-6,5.2,8.2,-3.0,0,0,0,0
1bf33a9a,3,172,1,2,0,1,0,3,3,0,2.8,2.9,-0.1,0,0,0,0
1bfdb73a,6,540,6,6,6,0,0,1,8,-7,4.4,7.8,-3.4,0,0,0,0
1c37137f,10,707,7,8,7,2,0,12,10,2,12.3,13.2,-1.0,0,0,0,0
1c529186,5,346,3,4,3,1,1,10,3,7,6.2,3.3,3.0,0,0,0,0
1c639185,7,500,5,6,5,1,1,5,8,-3,6.7,7.0,-0.3,0,0,0,0
1c78737d,9,501,5,5,4,4,1,8,7,1,5.7,9.6,-3.9,0,0,0,0
1c90cd29,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
1c98558c,3,270,3,3,3,0,3,3,4,-1,3.4,4.0,-0.6,270,3,3,3
1cfd188f,1,4,0,0,0,1,5,0,0,0,0.0,0.0,0.0,0,0,0,0
1d1691ad,6,540,6,6,6,0,1,10,10,0,10.8,6.6,4.2,0,0,0,0
1d2d5cc8,7,630,7,7,7,0,0,8,8,0,9.6,8.7,1.0,630,7,7,7
1d5cab82,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
1d5f96d9,2,8,0,0,0,2,5,0,0,0,0.4,0.2,0.2,0,0,0,0
1d8e9add,5,383,4,5,4,0,0,6,8,-2,5.8,3.8,2.1,0,0,0,0
1db295e5,6,540,6,6,6,0,0,9,11,-2,6.5,7.8,-1.3,0,0,0,0
1de2f2de,5,381,4,5,2,0,1,4,6,-2,6.9,5.2,1.7,0,0,0,0
1e062a01,6,510,5,5,5,1,0,5,10,-5,8.1,7.9,0.2,0,0,0,0
1e064bfb,4,360,4,4,4,0,0,3,5,-2,4.0,7.6,-3.6,360,4,4,4
1e29552f,1,90,1,1,1,0,3,1,1,0,1.5,1.0,0.5,90,1,1,1
1e415dd6,4,360,4,4,4,0,2,3,5,-2,2.6,5.3,-2.7,0,0,0,0
1ecb65be,5,424,4,5,3,0,0,13,3,10,10.2,4.3,6.0,0,0,0,0
1f9bc0d4,2,90,1,1,0,1,2,1,2,-1,0.3,2.1,-1.8,0,0,0,0
1fbbfbde,4,360,4,4,4,0,1,6,3,3,8.1,4.0,4.1,0,0,0,0
1fe67e86,6,475,5,6,4,0,1,8,5,3,7.7,7.2,0.5,0,0,0,0
20030c06,3,226,2,3,2,0,1,6,3,3,5.2,2.2,3.0,0,0,0,0
20094685,13,957,10,11,5,2,2,16,11,5,16.9,10.6,6.3,0,0,0,0
2042d931,3,176,2,2,0,1,2,1,1,0,2.8,2.1,0.7,0,0,0,0
20573d10,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
20730eae,1,16,0,0,0,1,1,0,2,-2,0.5,0.5,0.0,0,0,0,0
2077ae86,1,10,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
2079b3cc,8,469,5,5,3,3,0,6,8,-2,4.9,11.5,-6.6,0,0,0,0
20c1ef47,6,431,4,5,3,1,0,5,13,-8,4.3,11.4,-7.1,0,0,0,0
20d8c062,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
20dbf9e0,5,312,3,3,2,2,1,4,8,-4,5.2,5.8,-0.5,0,0,0,0
213ab9bb,2,87,1,1,0,1,0,1,2,-1,1.0,1.0,-0.1,0,0,0,0
2146785a,4,349,3,4,3,0,1,3,4,-1,5.5,2.7,2.8,0,0,0,0
21519148,5,450,5,5,5,0,0,5,10,-5,4.8,8.6,-3.8,0,0,0,0
2196d7d2,7,550,6,6,4,1,0,10,9,1,6.4,11.6,-5.2,0,0,0,0
22551915,3,223,2,3,2,0,2,2,7,-5,2.1,4.3,-2.3,0,0,0,0
22721b88,12,1011,11,11,9,1,2,16,11,5,17.1,10.3,6.8,0,0,0,0
2277a390,4,360,4,4,4,0,2,0,7,-7,2.0,5.3,-3.4,0,0,0,0
227a15ee,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
22b752ee,2,150,1,2,1,0,2,2,3,-1,2.5,3.2,-0.7,0,0,0,0
22bfb57e,2,101,1,1,1,1,2,0,1,-1,0.6,2.8,-2.1,0,0,0,0
22cd43d2,3,206,2,3,0,0,0,3,4,-1,2.6,3.2,-0.6,0,0,0,0
2306bfde,2,100,1,1,0,1,2,2,3,-1,1.9,1.4,0.5,0,0,0,0
2319ebe3,3,242,2,3,1,0,0,1,1,0,2.6,2.8,-0.2,0,0,0,0
23c63b7f,2,30,0,0,0,2,0,1,0,1,0.2,0.4,-0.1,0,0,0,0
2409762c,4,204,2,2,0,2,1,1,5,-4,1.2,5.8,-4.6,0,0,0,0
242dbdeb,5,362,4,4,3,1,1,3,9,-6,3.7,4.9,-1.1,0,0,0,0
248be14f,6,540,6,6,6,0,0,11,12,-1,5.8,9.3,-3.5,0,0,0,0
24baba9d,6,540,6,6,6,0,0,11,12,-1,5.8,9.3,-3.5,0,0,0,0
24d9435b,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
24e9421b,5,242,2,3,0,2,1,2,5,-3,4.0,5.2,-1.1,0,0,0,0
25126342,8,720,8,8,8,0,0,8,8,0,8.9,9.1,-0.2,0,0,0,0
2557c196,2,180,2,2,2,0,0,3,4,-1,1.9,2.2,-0.3,0,0,0,0
2567b7b6,6,537,6,6,5,0,0,4,4,0,7.5,5.9,1.7,0,0,0,0
25736bcf,4,360,4,4,4,0,1,4,8,-4,4.6,5.9,-1.3,0,0,0,0
25763990,2,68,0,2,0,0,1,2,0,2,0.7,0.8,-0.1,0,0,0,0
258aff54,8,617,6,7,5,1,0,6,7,-1,7.5,8.2,-0.7,0,0,0,0
25c72b36,1,3,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
26a796c1,5,260,2,3,1,2,3,5,3,2,2.7,2.6,0.1,0,0,0,0
26b7d548,2,164,1,2,1,0,1,0,2,-2,1.5,2.1,-0.6,0,0,0,0
26d0b5c7,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
273c483b,1,28,0,0,0,1,1,0,0,0,0.2,0.1,0.1,0,0,0,0
27b1390c,3,89,1,1,0,2,0,2,1,1,0.5,0.6,-0.1,0,0,0,0
27d2618c,1,90,1,1,1,0,1,1,2,-1,1.5,1.8,-0.3,90,1,1,1
27d34558,2,22,0,0,0,2,0,0,0,0,0.6,0.0,0.6,0,0,0,0
