,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
686,9d689a5b,4,232,2,3,0,1,1,0,2,7,-5,2.8,5.5,-2.7,0,0,0,0
687,9d7d5334,2,19,0,0,0,2,1,3,0,0,0,0.6,0.2,0.4,0,0,0,0
688,9d9e69df,5,295,3,3,1,2,0,0,2,6,-4,2.8,6.2,-3.4,0,0,0,0
689,9e1035f8,2,29,0,0,0,2,0,0,0,1,-1,0.3,0.4,-0.1,0,0,0,0
690,9e17ccff,2,129,1,1,1,1,6,1,1,3,-2,1.0,1.6,-0.6,0,0,0,0
691,9e525177,3,201,2,2,1,1,2,2,6,3,3,2.9,2.4,0.5,0,0,0,0
692,9e7483ff,7,220,2,1,0,6,0,1,3,5,-2,3.8,2.2,1.6,0,0,0,0
693,9f115e20,5,419,4,5,3,0,0,1,4,6,-2,3.6,6.7,-3.1,0,0,0,0
694,9f1893b9,6,437,4,5,4,1,0,1,8,10,-2,6.4,7.6,-1.2,0,0,0,0
695,9f84febe,4,235,2,3,2,1,2,3,5,1,4,3.9,0.8,3.1,0,0,0,0
696,9f8e9423,4,360,4,4,4,0,2,2,10,4,6,4.8,2.7,2.1,0,0,0,0
697,a0415710,6,103,1,0,0,6,2,1,4,1,3,2.0,0.9,1.1,0,0,0,0
698,a04e2dd2,2,180,2,2,2,0,4,1,3,5,-2,1.0,2.9,-1.9,0,0,0,0
699,a04e47f0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
700,a08b974a,3,89,1,0,0,3,0,2,3,2,1,0.4,1.7,-1.3,0,0,0,0
701,a0b730dc,4,199,2,2,2,2,1,1,1,4,-3,2.1,3.8,-1.7,0,0,0,0
702,a0c590b9,5,211,2,3,0,2,0,1,2,3,-1,3.5,3.4,0.1,0,0,0,0
703,a0f9b535,7,428,4,4,4,3,1,1,9,8,1,6.2,5.3,0.9,0,0,0,0
704,a18c2d65,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
705,a1c63a01,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
706,a1d5bd30,7,454,5,4,2,3,0,2,13,5,8,11.2,3.8,7.4,0,0,0,0
707,a29b1131,2,153,1,2,0,0,0,0,1,3,-2,1.6,2.2,-0.5,0,0,0,0
708,a29e5244,3,52,0,0,0,3,1,2,2,0,2,1.4,0.2,1.2,0,0,0,0
709,a2d873dd,6,397,4,5,2,1,0,0,1,8,-7,2.6,6.0,-3.4,0,0,0,0
710,a2f2d806,6,463,5,6,3,0,0,1,8,9,-1,7.1,6.2,0.9,0,0,0,0
711,a2f5d76e,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
712,a36524bf,2,180,2,2,2,0,0,0,1,3,-2,2.1,2.6,-0.5,0,0,0,0
713,a372a9f2,5,397,4,5,1,0,1,1,8,3,5,7.1,4.6,2.5,0,0,0,0
714,a3d524cb,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
715,a40819d9,2,52,0,0,0,2,4,3,1,0,1,0.1,0.0,0.1,0,0,0,0
716,a4b1028a,3,262,2,3,2,0,1,1,7,5,2,4.3,3.0,1.3,0,0,0,0
717,a53649b7,6,518,5,6,4,0,0,2,7,3,4,11.0,3.6,7.4,0,0,0,0
718,a5549ec1,2,146,1,2,1,0,0,2,2,3,-1,1.7,1.9,-0.2,0,0,0,0
719,a55ba2f8,3,173,1,2,1,1,1,0,1,4,-3,1.5,5.1,-3.6,0,0,0,0
720,a55d8df5,7,572,6,6,6,1,0,2,12,5,7,7.9,5.4,2.5,0,0,0,0
721,a6144c62,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
722,a62c16d0,3,242,2,3,1,0,0,1,6,3,3,3.5,0.6,3.0,0,0,0,0
723,a62f8bf1,4,185,2,2,1,2,0,2,4,3,1,3.1,1.9,1.2,0,0,0,0
724,a650c75b,2,142,1,2,1,0,0,2,4,2,2,1.8,0.1,1.6,0,0,0,0
725,a6979b0f,4,279,3,3,0,1,0,1,5,4,1,2.3,2.3,-0.1,0,0,0,0
726,a6de370d,7,451,5,4,2,3,0,2,9,5,4,5.6,4.4,1.2,0,0,0,0
727,a6de6361,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
728,a6ee4f55,3,136,1,1,1,2,0,1,3,1,2,2.8,0.3,2.5,0,0,0,0
729,a70b8345,9,765,8,9,8,0,0,1,10,6,4,8.6,5.0,3.6,0,0,0,0
730,a73c8f95,3,300,3,3,3,0,0,2,7,5,2,3.8,2.4,1.4,0,0,0,0
731,a74ea18d,5,230,2,2,0,3,1,1,6,3,3,5.3,3.2,2.1,0,0,0,0
732,a793f5a8,3,299,3,3,2,0,0,1,4,4,0,2.4,4.1,-1.7,0,0,0,0
733,a7d48b00,6,137,1,1,0,5,1,1,4,2,2,2.0,1.4,0.6,0,0,0,0
734,a81dba8c,5,272,3,3,0,2,0,2,6,3,3,6.4,1.8,4.6,0,0,0,0
735,a81ed730,6,334,3,4,1,2,0,0,3,9,-6,1.9,5.2,-3.3,0,0,0,0
736,a83c19cf,2,102,1,1,0,1,1,1,1,1,0,0.8,1.0,-0.2,0,0,0,0
737,a8567629,1,120,1,1,1,0,2,3,3,2,1,2.2,1.8,0.3,0,0,0,0
738,a865a3ec,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
739,a8a874f1,3,208,2,2,2,1,0,2,4,0,4,3.3,0.5,2.8,0,0,0,0
740,a8f41212,4,159,1,2,0,2,1,1,2,1,1,3.5,1.2,2.3,0,0,0,0
741,a8fbae1d,6,465,5,5,5,1,0,1,6,4,2,5.9,5.5,0.4,0,0,0,0
