id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
b3b7f5a6,0,1,1,1,0,0,0.0,0.0,0.0,0.0,34.1
b400bde0,3,7,3,0,0,0,0.9,0.9,2.1,2.1,86.1
b4705807,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
b4ecc6b6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
b56dd813,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
b57e066e,1,2,1,0,0,0,0.3,0.3,0.7,0.7,42.2
b5b2e1ba,0,5,2,0,0,0,0.3,0.3,-0.3,-0.3,92.0
b62878a5,4,8,4,0,0,0,1.8,1.8,2.2,2.2,95.2
b74277a0,0,4,1,0,0,0,0.2,0.2,-0.2,-0.2,72.0
b7c19c48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
b825a650,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
b8e740fb,0,4,2,0,0,0,0.5,0.5,-0.5,-0.5,83.2
b96b595c,0,4,1,0,0,0,0.3,0.3,-0.3,-0.3,62.8
b997c3de,1,7,1,0,1,1,1.3,0.5,-0.3,-0.5,184.1
b9beb6c5,0,3,0,0,0,0,0.2,0.2,-0.2,-0.2,62.7
ba115a40,0,2,0,0,0,0,0.2,0.2,-0.2,-0.2,23.2
ba492306,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
bbd86530,0,2,1,0,0,0,0.3,0.3,-0.3,-0.3,38.6
bbf5c11b,1,8,3,0,0,0,0.5,0.5,0.5,0.5,106.4
bc6e544a,0,3,1,0,0,0,0.1,0.1,-0.1,-0.1,56.1
bcb2ccd8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
bceda5ff,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,42.4
bd142efb,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,9.5
bd6351cd,0,8,2,0,0,0,0.3,0.3,-0.3,-0.3,204.8
be6a794c,0,7,1,0,0,0,0.5,0.5,-0.5,-0.5,91.7
be765073,1,4,2,2,1,1,1.1,0.3,-0.1,-0.3,96.8
bfde3de5,0,4,1,0,0,0,0.2,0.2,-0.2,-0.2,58.4
c0617e2b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
c066d1a5,0,1,0,0,0,0,0.0,0.0,0.0,0.0,11.5
c0b3669f,2,12,7,0,0,0,1.4,1.4,0.6,0.6,171.6
c0c7ff58,0,5,0,0,0,0,0.3,0.3,-0.3,-0.3,91.5
c1242d4e,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
c13ddd3e,0,2,0,0,0,0,0.4,0.4,-0.4,-0.4,23.6
