id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
01b8a2b2,9,31,22,5,1,4,5,2,1,1,0
03df04ff,11,35,24,2,1,3,1,0,0,0,0
04ac8285,1,7,6,0,1,0,0,0,0,0,0
099b9c78,0,0,0,0,0,0,1,0,0,0,0
0e61c46b,2,8,6,1,1,0,0,0,0,0,0
1840e36d,8,28,20,3,0,2,2,0,0,0,0
1bebde9d,3,6,3,0,0,1,0,0,0,0,0
1ddbb0da,15,37,21,6,1,3,1,5,3,1,1
1e26e376,2,3,2,0,0,1,0,0,0,0,0
1e43fad8,14,30,15,2,1,3,2,3,2,1,0
2e7ff968,0,0,0,1,0,0,1,0,0,0,0
2f965a72,6,15,9,1,1,1,0,1,1,0,0
30223b33,3,6,3,1,0,1,0,0,0,0,0
34c3b935,16,36,20,1,3,2,0,2,2,0,0
34e38ddf,1,5,4,0,1,0,0,0,0,0,0
3bb7b8b4,12,33,21,7,1,2,3,3,3,0,0
3f65d5ce,0,11,11,1,2,0,3,0,0,0,0
42ec696a,6,27,20,2,1,2,1,1,0,1,0
47064058,14,43,29,0,3,3,0,0,0,0,0
4a6914ff,5,11,6,0,1,2,0,0,0,0,0
4d3e9033,3,4,1,0,0,0,0,0,0,0,0
5e8936be,17,56,38,1,1,4,2,2,1,1,0
63d17038,1,4,3,1,0,0,0,0,0,0,0
6bd05d38,3,12,9,0,0,1,0,0,0,0,0
6f51e382,9,35,26,8,2,1,6,0,0,0,0
74419746,7,39,32,2,2,2,0,0,0,0,0
7a2e46a8,12,56,45,8,1,4,6,0,0,0,0
7ba6d84e,9,31,23,4,1,4,3,0,0,0,0
82b1198a,5,20,15,2,3,1,2,0,0,0,0
8778c910,8,30,22,4,3,1,4,1,1,0,0
8f62b6ee,15,45,29,5,2,4,4,2,1,1,0
9d12e142,6,22,16,3,1,3,4,0,0,0,0
a2abe631,8,24,17,1,1,4,2,1,1,0,0
a3b0ed18,12,33,21,1,0,5,1,2,2,0,0
a9dc785c,5,24,19,1,2,2,1,3,3,0,0
afb0c500,0,2,2,1,1,0,2,0,0,0,0
b7e7937d,10,18,8,0,0,5,0,1,1,0,0
c2e41cfb,13,40,27,0,0,6,0,2,2,0,0
c9cb972b,1,5,4,1,0,0,0,0,0,0,0
cc1a0c57,13,50,37,0,2,4,0,0,0,0,0
cd1b2304,7,20,13,0,1,1,0,1,1,0,0
e40d028b,6,13,7,3,1,1,1,3,3,0,0
e7ee38c3,9,38,29,3,0,3,2,1,1,0,0
e9c0c1b2,13,53,40,6,4,2,4,1,1,0,0
ecada4fc,2,9,7,2,0,1,1,0,0,0,0
ee8508c0,9,19,10,5,1,2,4,2,1,0,1
f00de885,13,48,35,1,6,1,1,1,1,0,0
f4eb377b,9,23,14,2,0,2,0,1,1,0,0
f6db3bd5,3,5,2,0,0,0,0,1,0,0,1
f7b10c66,10,22,12,0,0,4,0,1,1,0,0
