id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
42ec696a,10,37,27,3,0,3,1,1,1,0,0
7a2e46a8,19,63,46,6,2,4,5,0,0,0,0
2f965a72,9,37,28,5,0,3,4,1,1,0,0
b7e7937d,9,17,8,0,1,2,0,0,0,0,0
0ef05b3e,8,19,10,1,0,2,1,0,0,0,0
10072610,2,3,1,0,0,1,0,0,0,0,0
e40d028b,11,33,23,4,3,2,2,0,0,0,0
9d12e142,13,36,23,0,2,4,0,0,0,0,0
58bc7d18,3,9,6,1,0,1,1,0,0,0,0
1ddbb0da,3,11,8,1,1,1,2,0,0,0,0
f619413f,5,8,3,0,0,1,0,1,1,0,0
04ac8285,0,3,3,1,0,0,1,0,0,0,0
1840e36d,12,32,20,3,3,2,2,1,1,0,0
3bb7b8b4,10,33,22,6,0,3,4,3,2,1,0
af245161,9,32,24,3,2,1,1,0,0,0,0
7ba6d84e,3,27,24,4,1,1,4,0,0,0,0
b15780e3,18,39,23,1,0,5,1,1,1,0,0
2f061b36,1,3,2,0,0,0,0,0,0,0,0
bcb2ccd8,11,27,16,2,1,3,0,1,1,0,0
bc1f61c9,16,47,30,0,3,3,0,2,1,1,0
ffc1c226,13,24,11,0,0,5,0,0,0,0,0
62ba5881,3,6,3,0,0,1,0,0,0,0,0
32e7ce92,16,42,27,7,4,2,6,3,3,0,0
8f62b6ee,8,33,25,4,2,1,1,3,2,0,1
ecada4fc,13,44,32,8,2,1,2,0,0,0,0
8778c910,0,1,1,1,0,0,1,0,0,0,0
ee8508c0,4,17,14,1,4,1,3,0,0,0,0
79b0d6a0,9,28,21,2,1,3,0,0,0,0,0
d7ffd345,10,26,16,0,1,2,0,0,0,0,0
c8a88acd,10,33,24,0,1,4,1,0,0,0,0
34c3b935,11,44,32,5,0,3,0,3,2,1,0
50310821,2,11,9,0,2,0,0,0,0,0,0
e358587b,11,29,17,2,0,4,1,1,0,1,0
5f0241b2,13,31,18,3,4,1,2,1,0,0,1
1e26e376,2,9,7,1,0,1,0,0,0,0,0
903b6e8b,12,24,12,2,1,2,0,1,1,0,0
56bf1cc0,14,47,34,0,2,4,1,2,2,0,0
972d595a,11,25,14,1,1,2,0,1,1,0,0
834b5c4c,9,22,13,0,0,3,0,1,1,0,0
8f8c6934,2,10,9,0,1,1,1,0,0,0,0
f6db3bd5,7,10,4,0,1,2,0,2,2,0,0
bcf5058a,5,13,8,0,0,3,0,2,1,1,0
01b8a2b2,1,4,3,1,0,0,1,1,1,0,0
6f51e382,6,28,22,5,3,1,5,1,1,0,0
7d3e7da6,12,42,30,7,2,2,3,0,0,0,0
7b456af7,10,27,17,5,0,3,4,0,0,0,0
2bea06e0,4,10,7,0,0,2,0,1,1,0,0
22a94b80,1,4,3,1,0,0,0,0,0,0,0
1bebde9d,0,0,0,1,0,0,1,0,0,0,0
110338ae,6,11,5,0,1,2,0,1,1,0,0
