id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
01b8a2b2,33,129,95,19,4,6,11,10,8,1,1
085e71a7,43,139,94,7,12,12,8,8,6,2,0
08f5afaa,42,141,96,18,9,9,12,8,4,4,0
0d422df7,43,159,117,11,13,11,9,7,7,0,0
0dfce079,8,15,7,1,0,2,1,2,2,0,0
0f47717b,4,16,12,0,1,1,0,1,1,0,0
10dc46f0,64,197,135,11,6,19,7,10,9,1,0
18736214,1,2,1,0,1,0,0,0,0,0,0
20b9f052,45,132,86,18,6,8,5,9,8,1,0
28a15394,1,5,4,0,1,0,0,0,0,0,0
30223b33,5,24,19,2,1,2,2,1,1,0,0
339fe0e8,42,154,112,24,6,8,11,9,7,1,1
343f753a,53,193,137,13,6,15,5,9,6,3,0
4a6914ff,29,65,36,0,1,9,0,1,0,1,0
4c62d0c8,38,103,66,8,4,9,5,2,1,0,1
582a251c,9,29,20,3,0,1,1,1,1,0,0
649b01d8,60,165,109,12,5,19,9,8,7,0,1
67f649be,35,98,64,2,5,10,2,7,6,0,1
72be9309,4,19,15,1,1,2,1,2,1,0,1
74419746,32,110,78,22,10,3,13,3,2,1,0
7b4de647,3,7,4,0,0,1,0,1,1,0,0
7b5f516f,1,1,0,0,0,0,0,0,0,0,0
7f66ea09,59,181,124,5,6,18,5,10,9,1,0
82328faf,1,2,1,1,0,0,0,0,0,0,0
82b1198a,17,54,37,9,3,5,4,2,2,0,0
8cabdc1e,55,145,92,12,5,14,5,8,7,1,0
9413b19f,33,84,51,9,5,7,3,6,5,1,0
95adf1e1,4,11,7,1,0,3,1,0,0,0,0
96640846,3,6,3,0,0,1,0,1,1,0,0
9f5a610b,5,13,8,0,1,1,0,1,1,0,0
a111cf41,51,194,141,12,9,17,14,10,8,2,0
ab4449d6,64,187,123,12,10,15,2,8,6,1,1
ac4003af,5,18,13,4,0,1,2,0,0,0,0
bf168004,4,12,8,0,2,0,0,1,1,0,0
cf1c23d8,4,8,4,2,0,1,1,1,1,0,0
d4890c25,0,0,0,0,0,0,1,0,0,0,0
dd06d56c,11,17,6,1,1,3,0,3,2,0,1
e1b0a70d,5,23,18,5,1,1,2,3,3,0,0
e358587b,1,6,4,1,0,0,0,1,0,1,0
e40d028b,10,33,23,7,1,1,1,2,1,0,1
e7ee38c3,24,89,67,8,5,4,4,4,4,0,0
ee833569,44,147,105,5,3,18,3,6,6,0,0
f058ed1f,4,27,24,2,2,1,2,0,0,0,0
f0f7f62f,42,120,81,19,9,5,8,6,6,0,0
f554e29b,21,89,68,2,6,8,3,2,1,1,0
f6a06749,0,0,0,0,0,0,0,0,0,0,0
f93ed0df,76,227,152,6,8,20,2,12,10,2,0
fe471a89,16,44,28,0,1,4,0,1,0,0,1
