id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
8a6de8c7,Lameck Banda,zm ZAM,"FW,MF",Lecce,22-086,2001,14.5,25,15,11,11,3,11,33,33.3,22,21,2,19,3,28,3,0,Matches
d44360be,Filippo Bandinelli,it ITA,MF,Empoli,28-027,1995,22.6,48,29,17,23,8,14,35,40.0,21,18,6,12,12,60,35,0,Matches
01efac19,Antonín Barák,cz CZE,MF,Hellas Verona,28-143,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
01efac19,Antonín Barák,cz CZE,MF,Fiorentina,28-143,1994,16.4,20,9,5,6,9,5,15,33.3,10,13,1,12,3,23,10,0,Matches
32ebfe1e,Andrea Barberis,it ITA,MF,Monza,29-135,1993,3.8,7,2,4,3,0,5,11,45.5,6,0,0,0,8,15,1,0,Matches
6f1d7aa8,Tommaso Barbieri,it ITA,DF,Juventus,20-242,2002,0.6,2,2,2,0,0,2,4,50.0,2,2,0,2,0,2,2,0,Matches
0acda699,Francesco Bardi,it ITA,GK,Bologna,31-097,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
6928979a,Nicolò Barella,it ITA,MF,Inter,26-077,1997,25.2,39,20,14,20,5,21,43,48.8,22,24,4,20,9,48,10,0,Matches
6caffe81,Enzo Barrenechea,ar ARG,MF,Juventus,21-338,2001,1.8,8,3,3,4,1,3,5,60.0,2,3,0,3,2,10,3,0,Matches
e5bf73f3,Musa Barrow,gm GAM,"FW,MF",Bologna,24-162,1998,15.9,16,3,8,5,3,6,9,66.7,3,18,1,17,1,17,5,0,Matches
5a08ee41,Federico Baschirotto,it ITA,DF,Lecce,26-217,1996,30.0,34,24,30,4,0,17,24,70.8,7,38,23,15,34,68,159,0,Matches
