id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00242715,35,3105,34,34,34,1,2,0,33,69,-36,37.5,66.4,-29.0,0,0,0,0
0049d544,20,644,7,5,0,15,10,1,7,7,0,10.5,6.6,3.8,0,0,0,0
0118c54c,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0515a4cb,37,3320,36,37,36,0,1,1,47,55,-8,45.0,46.2,-1.2,0,0,0,0
05856228,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,0,0
063544f2,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0670ee51,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0695552c,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
06d51feb,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
06f33dc8,26,1747,19,21,7,5,2,1,20,27,-7,22.700000000000003,22.4,0.3,0,0,0,0
06f46837,13,437,4,5,0,8,1,0,2,9,-7,3.0,4.6,-1.6,0,0,0,0
070a3904,3,209,2,3,1,0,0,2,7,1,6,3.6,1.5,2.1,0,0,0,0
07296190,14,888,9,12,3,2,2,1,6,19,-13,8.7,11.5,-2.8,0,0,0,0
07a821e4,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
083525e5,30,2699,30,30,29,0,0,1,45,48,-3,33.7,46.8,-13.1,0,0,0,0
086d7db3,32,2777,30,31,30,1,1,1,22,45,-23,34.5,39.3,-4.8,0,0,0,0
0984c5d5,20,1488,16,18,14,2,11,3,13,19,-6,15.8,18.2,-2.4,0,0,0,0
0b4d8274,29,1846,20,22,8,7,0,1,34,18,16,34.6,27.6,7.0,0,0,0,0
0d2158d5,27,1883,20,21,12,6,6,1,25,46,-21,21.8,38.4,-16.6,0,0,0,0
0d57f1c1,3,42,0,0,0,3,7,3,2,3,-1,2.1,1.0,1.1,0,0,0,0
0dfe32e9,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0e12089d,1,90,1,1,1,0,37,0,0,3,-3,1.3,1.9,-0.6,90,1,1,1
0e96a5e1,2,69,0,1,0,1,1,1,1,2,-1,0.4,2.1,-1.7,0,0,0,0
0eb03d5b,16,1440,16,16,16,0,2,1,21,24,-3,21.1,18.5,2.6,0,0,0,0
0eeafda5,31,2511,27,28,25,3,2,2,61,38,23,59.5,31.1,28.4,0,0,0,0
0f0d05fd,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0f52f925,33,2657,29,30,25,3,1,1,26,26,0,32.5,28.1,4.4,0,0,0,0
0fe7f7bc,33,2193,24,27,10,6,0,1,25,23,2,30.0,25.2,4.8,0,0,0,0
1040e783,24,1808,20,22,15,2,10,0,14,25,-11,24.8,22.2,2.5,0,0,0,0
1061c207,2,180,2,2,2,0,27,0,0,3,-3,1.2,2.8,-1.6,180,2,2,2
10650926,11,712,7,8,6,3,8,0,6,17,-11,8.3,13.2,-4.9,0,0,0,0
108bb1e1,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
10efd0e1,31,2615,29,30,21,1,1,1,47,40,7,41.1,35.8,5.3,0,0,0,0
11ced928,27,1513,16,17,8,10,2,0,19,24,-5,20.9,23.1,-2.2,0,0,0,0
11ff3d56,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
1232e1dc,36,2919,32,32,30,4,2,1,45,36,9,43.2,42.8,0.4,0,0,0,0
1251f42e,12,712,7,8,2,4,4,0,12,15,-3,9.5,17.5,-8.0,0,0,0,0
13203c45,22,1880,20,22,15,0,0,1,22,15,7,22.9,19.8,3.0,0,0,0,0
132bb875,0,0,0,0,0,0,38,0,0,0,0,0.0,0.0,0.0,0,0,0,0
13c44fc5,22,1920,21,22,19,0,3,2,47,28,19,35.6,27.9,7.8,0,0,0,0
1467af0d,22,1718,19,20,12,2,1,2,55,11,44,40.9,14.0,26.9,0,0,0,0
148e136f,29,2323,25,25,22,4,1,2,33,30,3,37.2,40.7,-3.3999999999999995,0,0,0,0
15285503,1,39,0,0,0,1,17,0,1,2,-1,0.1,1.8,-1.7,38,1,0,0
1598599e,14,965,10,11,6,3,14,0,10,21,-11,12.8,17.1,-4.3,0,0,0,0
