id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
abc06eb3,21,1890,21,21,21,0,16,0,16,33,-17,19.6,36.4,-16.8,1890,21,21,21
abd56820,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
ac08dab5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
ad82197c,29,2011,22,24,16,5,6,2,44,24,20,42.8,21.5,21.2,0,0,0,0
ae4e2852,29,1467,16,14,8,15,0,2,33,21,12,29.3,18.4,10.9,0,0,0,0
ae59b359,32,1919,21,21,14,11,5,2,36,15,21,27.2,18.9,8.3,0,0,0,0
ae7d0ecd,34,3058,34,34,32,0,0,1,41,38,3,40.0,41.6,-1.6,3058,34,34,34
aeed036d,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
aef6e670,28,2303,25,26,20,2,3,1,53,26,27,49.0,27.7,21.4,0,0,0,0
af0c835b,1,82,0,1,0,0,4,1,0,0,0,0.2,0.5,-0.3,0,0,0,0
b026bbf6,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b052b8bf,12,1080,12,12,12,0,20,0,6,30,-24,10.8,23.1,-12.3,1080,12,12,12
b0547a87,33,1611,17,15,0,18,2,1,20,28,-8,21.9,26.9,-5.0,0,0,0,0
b056e3da,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b095d5b8,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b0c71810,14,732,8,9,0,5,0,1,9,10,-1,10.4,9.2,1.3,0,0,0,0
b2336681,17,873,9,8,5,9,17,2,16,7,9,11.5,7.1,4.5,0,0,0,0
b2791a55,2,86,1,1,0,1,11,0,1,2,-1,1.0,2.1,-1.2,0,0,0,0
b2bd0f6c,38,2985,33,34,21,4,0,2,52,19,33,41.1,25.6,15.5,0,0,0,0
b34c63a5,27,698,7,5,1,22,10,1,13,6,7,14.7,6.7,8.0,0,0,0,0
b3d76d84,0,0,0,0,0,0,14,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b49729cb,35,3150,35,35,35,0,3,1,46,62,-16,46.5,53.3,-6.9,3150,35,35,35
b4c816a9,2,132,1,2,0,0,0,1,1,2,-1,1.5,2.8,-1.3,0,0,0,0
b6047994,3,73,0,1,0,2,3,0,0,2,-2,0.3,1.1,-0.7,0,0,0,0
b666421b,34,2993,33,34,33,0,1,1,34,51,-17,36.4,46.2,-9.8,0,0,0,0
b66d1d8a,21,1538,17,18,14,3,10,0,13,28,-15,16.5,26.8,-10.4,0,0,0,0
b73f17f8,3,29,0,0,0,3,1,1,0,0,0,0.4,0.4,0.0,0,0,0,0
b748968d,30,2307,25,25,20,5,3,0,16,48,-32,23.2,44.5,-21.3,0,0,0,0
b7b89a7b,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b8cd2ae4,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b8d22478,20,964,10,14,0,6,0,1,13,9,4,10.5,10.0,0.4,0,0,0,0
b92edde2,14,491,5,4,1,10,18,1,6,6,0,6.6,4.9,1.7,0,0,0,0
b94b8be1,34,1731,19,21,2,13,2,1,24,25,-1,25.6,23.9,1.6,0,0,0,0
b98cea65,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
b99bec05,20,1116,12,13,6,7,8,1,19,13,6,16.6,12.0,4.6,0,0,0,0
bbdd999a,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
bc0bfc64,17,804,8,11,0,6,5,1,11,5,6,11.7,7.3,4.3,0,0,0,0
bc224243,2,133,1,2,0,0,1,0,0,3,-3,1.6,3.8,-2.2,0,0,0,0
bc7b4580,22,1507,16,19,11,3,7,1,16,25,-9,19.6,21.8,-2.2,0,0,0,0
bc9479b9,10,342,3,3,1,7,6,0,1,9,-8,2.7,10.9,-8.2,0,0,0,0
bcf1b2e9,38,3420,38,38,38,0,0,0,40,71,-31,43.3,64.2,-20.9,3420,38,38,38
bdedd861,1,15,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
bdf1db39,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
be13e5a8,1,90,1,1,1,0,29,0,0,4,-4,0.5,2.3,-1.9,90,1,1,1
be47b750,34,1372,15,12,1,22,3,1,25,18,7,24.5,16.3,8.2,0,0,0,0
beae3a73,38,3054,33,35,25,3,0,0,37,62,-25,36.8,56.0,-19.2,0,0,0,0
beb391dd,36,2446,27,29,12,7,0,1,65,34,31,62.3,31.5,30.8,0,0,0,0
