,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
65,1a6f2a66,6,240,2,3,0,3,4,0,2,5,-3,3.3,2.9,0.4,0,0,0,0
66,1a992676,31,2046,22,22,15,9,1,2,65,26,39,52.3,24.4,27.9,0,0,0,0
67,1ad8cb67,32,2815,31,32,29,0,1,1,54,39,15,32.8,41.9,-9.1,0,0,0,0
68,1b82f8df,18,1298,14,15,10,3,2,1,17,18,-1,15.6,21.3,-5.7,0,0,0,0
69,1bfb6fef,9,633,7,7,6,2,11,1,7,9,-2,7.5,9.1,-1.6,0,0,0,0
70,1c344204,33,2805,31,30,29,3,2,0,24,50,-26,33.3,46.8,-13.5,0,0,0,0
71,1d2d5cc8,31,2735,30,31,29,0,1,1,42,40,2,41.0,35.5,5.5,0,0,0,0
72,1d50130f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
73,1ec7e1c5,33,2874,31,32,31,1,1,1,47,42,5,48.4,39.6,8.7,0,0,0,0
74,1ef37668,15,1261,14,14,14,1,1,1,12,14,-2,15.5,14.6,0.9,0,0,0,0
75,1f8c7aa9,17,788,8,8,2,9,4,0,3,17,-14,8.1,13.1,-5.0,0,0,0,0
76,1fe370ba,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
77,20094685,32,2180,24,25,12,7,6,1,38,24,14,34.3,24.2,10.1,0,0,0,0
78,2054d037,29,1793,19,19,9,10,2,1,29,22,7,26.9,22.8,4.1,0,0,0,0
79,20730eae,24,1287,14,16,0,8,3,1,20,7,13,22.3,12.7,9.6,0,0,0,0
80,20e73fac,34,2425,26,28,13,6,2,1,37,39,-2,35.4,35.9,-0.5,0,0,0,0
81,223f8202,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,0,0
82,22721b88,28,2177,24,24,20,4,4,1,40,34,6,33.1,31.0,2.1,0,0,0,0
83,22a62523,1,3,0,0,0,1,7,3,0,1,-1,0.2,0.5,-0.3,0,0,0,0
84,22bfb57e,25,1029,11,11,2,14,7,1,9,11,-2,12.9,13.5,-0.5,0,0,0,0
85,23593121,12,520,5,5,1,7,0,0,6,11,-5,5.3,8.3,-3.0,0,0,0,0
86,2384dbed,1,8,0,0,0,1,1,1,0,0,0,0.8,0.0,0.8,0,0,0,0
87,23b6ab66,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
88,23c63b7f,20,1036,11,9,3,11,2,1,10,11,-1,16.5,16.8,-0.3,0,0,0,0
