id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
0a1cb833,0,4,2,37.2,-2.8,149,345,627,103,188,308,13,29,22634.7,8366.0,452.4
0d55d942,0,3,0,33.3,-7.7,138,331,501,59,133,257,6,20,19038.0,7501.2,304.0
0d8a37c2,0,2,0,8.5,-0.5,17,88,184,18,41,73,1,4,5924.8,2078.7,53.6
17376543,1,3,0,31.8,1.8,159,381,750,110,190,281,18,40,25200.0,9443.0,680.0
1e43fad8,0,0,0,2.8,1.8,51,108,199,22,42,99,7,3,6965.0,2095.8,30.9
37998008,0,1,0,7.5,-3.5,39,86,162,24,11,34,7,5,5929.2,666.6,79.0
420c18a1,1,1,1,25.0,3.0,67,182,804,85,130,250,13,23,42210.0,7423.0,710.7
47064058,1,8,1,35.8,-5.2,110,284,856,131,143,316,33,32,26364.8,3889.6,435.2
5c4bf6ba,1,2,0,20.8,-3.2,98,317,410,86,118,189,23,34,17138.0,7009.2,629.0
663e080e,0,2,0,17.9,-1.1,38,105,571,73,88,188,11,20,14332.1,2393.6,326.0
7d3e7da6,0,1,0,2.4,0.4,9,26,112,21,18,34,2,4,2912.0,421.2,70.0
87436846,4,2,3,26.4,-6.6,92,249,825,83,130,330,15,10,25410.0,4329.0,115.0
8778c910,0,0,0,14.7,3.7,39,79,435,81,69,103,4,23,11658.0,1642.2,448.5
8a6ab963,0,0,0,1.4,-0.6,4,10,41,7,3,6,1,1,1242.3,45.9,13.0
9b688ae1,0,1,0,1.1,0.1,7,17,29,8,3,6,3,4,1276.0,138.0,66.0
9f941969,1,8,3,49.8,-3.2,384,804,1025,62,173,338,19,86,45817.5,8684.6,1978.0
a70b8345,0,4,0,20.1,4.1,152,377,723,76,102,281,27,20,25883.4,5212.2,280.0
a92ab7be,0,4,0,31.8,-0.2,184,423,798,76,147,282,17,28,29685.6,8584.8,422.8
ad3389d5,1,4,2,30.8,-2.2,79,242,631,98,118,248,18,16,20128.9,4342.4,219.2
af104654,2,6,0,35.4,-8.6,138,381,691,124,156,315,25,54,24046.8,8002.8,1020.6
b56dd813,0,2,0,5.4,-3.6,18,45,202,24,37,58,6,15,5656.0,1228.4,309.0
b90c4a43,0,1,0,1.0,0.0,1,3,21,7,4,15,1,1,611.1,88.0,11.5
bcb2ccd8,0,2,1,10.1,1.1,11,37,179,37,36,61,3,10,4725.6,1065.6,194.0
bdedffac,0,0,0,0.0,0.0,4,7,28,4,2,9,0,0,935.2,20.0,0.0
c631f952,0,0,0,9.7,-2.3,28,77,302,30,41,77,4,9,8546.6,1279.2,144.0
cbac6ec9,2,3,0,27.2,-6.8,98,212,599,98,133,260,6,28,17490.8,4867.8,529.2
cd59b9df,0,2,0,22.3,3.3,71,189,597,80,128,213,10,27,17671.2,4966.4,461.7
ce17b5eb,1,6,1,26.7,-4.3,57,236,444,94,147,281,15,15,15806.4,5439.0,196.5
d28339cb,0,0,0,6.0,0.0,14,29,151,33,16,62,3,6,4107.2,441.6,81.6
db401046,0,4,1,28.4,-1.6,178,402,865,122,199,337,20,31,29410.0,9253.5,511.5
dc366c36,1,0,0,10.1,1.1,40,97,126,17,40,80,6,2,5367.6,2400.0,24.4
dee3013b,0,2,0,9.6,-0.4,40,104,160,23,40,102,10,7,5936.0,2172.0,115.5
fa4cabd1,0,1,0,5.5,1.5,10,30,78,12,13,30,2,3,2605.2,288.6,42.3
