id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
4cd41883,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
462475ed,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,49,27,27,19,3,27,51,52.9,24,44,16,28,38,87,123,2,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,62,31,25,28,9,28,54,51.9,26,34,11,23,26,88,65,2,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0,Matches
fe46e261,Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,25,18,14,9,2,11,24,45.8,13,11,0,11,10,35,15,0,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,6,3,1,4,1,1,7,14.3,6,4,0,4,2,8,14,0,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22,2000,18.4,16,8,9,7,0,6,15,40.0,9,20,2,18,15,31,20,2,Matches
442b56fa,Ridle Baku,de GER,"DF,FW",Wolfsburg,24,1998,28.7,50,26,29,17,4,32,58,55.2,26,44,6,38,21,71,59,0,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,6.5,18,8,10,5,3,5,10,50.0,5,7,0,7,3,21,9,0,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,60,38,19,28,13,22,49,44.9,27,38,13,25,41,101,39,1,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,25,1996,4.4,8,6,3,4,1,3,12,25.0,9,7,0,7,2,10,3,0,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,31,17,18,12,1,17,34,50.0,17,25,9,16,23,54,79,1,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,1,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,26,1996,6.2,11,6,5,4,2,5,18,27.8,13,12,4,8,2,13,14,0,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,34,1988,6.2,15,4,5,6,4,6,19,31.6,13,4,2,2,4,19,15,0,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22,1999,28.5,36,19,12,17,7,9,52,17.3,43,57,5,52,15,51,19,1,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,25,1996,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
a53b661f,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,28,1994,15.7,19,16,8,7,4,11,17,64.7,6,9,2,7,7,26,15,0,Matches
8eb55dbb,Sheraldo Becker,sr SUR,FW,Union Berlin,27,1995,28.4,15,5,1,7,7,2,11,18.2,9,13,1,12,3,18,7,1,Matches
30ae134d,Kevin Behrens,de GER,FW,Union Berlin,31,1991,17.1,11,7,4,4,3,4,18,22.2,14,18,3,15,5,16,25,0,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,30,1991,26.6,43,28,32,10,1,22,44,50.0,22,42,15,27,44,87,133,0,Matches
bee0bab1,Karim Bellarabi,de GER,"FW,MF",Leverkusen,32,1990,0.9,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,Dortmund,19,2003,29.9,76,42,28,34,14,34,51,66.7,17,51,4,47,35,111,30,0,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,M'Gladbach,27,1995,27.6,34,21,21,10,3,26,39,66.7,13,44,14,30,36,70,98,1,Matches
eb6e14be,Mergim Berisha,de GER,FW,Augsburg,24,1998,18.7,11,6,4,3,4,4,14,28.6,10,16,1,15,0,11,19,0,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,Hoffenheim,32,1990,2.9,8,4,6,1,1,2,6,33.3,4,4,3,1,5,13,14,0,Matches
07d3bfec,Tom Bischof,de GER,"MF,FW",Hoffenheim,17,2005,3.5,15,10,8,3,4,7,10,70.0,3,5,1,4,1,16,1,0,Matches
dc62fbee,Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,28,1993,18.1,53,28,20,25,8,25,62,40.3,37,13,0,13,10,63,15,0,Matches
663e080e,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
691bef82,Daley Blind,nl NED,"DF,MF",Bayern Munich,32,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0,Matches
f4ec4fd0,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,35,1987,5.2,8,6,4,2,2,3,9,33.3,6,11,3,8,3,11,5,0,Matches
635f2732,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,28,1994,11.7,30,16,19,9,2,8,25,32.0,17,25,5,20,14,44,10,0,Matches
36578017,Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,18,2004,0.3,2,2,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
01834aa0,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23,1999,21.4,29,17,17,10,2,16,22,72.7,6,27,12,15,31,60,83,1,Matches
c68da769,Rafael Borré,co COL,"MF,FW",Eint Frankfurt,26,1995,12.0,25,15,4,13,8,4,17,23.5,13,10,2,8,2,27,9,0,Matches
a167537f,Julian Brandt,de GER,"MF,FW",Dortmund,26,1996,26.6,29,20,6,14,9,12,43,27.9,31,23,0,23,15,44,9,1,Matches
d28339cb,Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,2,Matches
d4a2533d,Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,24,1998,3.0,2,1,2,0,0,0,4,0.0,4,0,0,0,2,4,2,0,Matches
e27da244,John Brooks,us USA,DF,Hoffenheim,29,1993,15.0,18,12,10,8,0,13,18,72.2,5,17,12,5,10,28,105,0,Matches
bbd79358,Moritz Broschinski,de GER,"FW,MF",Bochum,21,2000,2.4,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,6,0,Matches
f0a37d36,Cédric Brunner,ch SUI,DF,Schalke 04,28,1994,25.7,39,27,26,11,2,30,45,66.7,15,24,7,17,43,82,79,0,Matches
4e204552,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,23,1998,3.6,4,3,0,1,3,3,4,75.0,1,3,1,2,1,5,0,0,Matches
45e95f21,Lee Buchanan,eng ENG,"DF,FW",Werder Bremen,21,2001,5.2,14,10,2,11,1,6,12,50.0,6,5,0,5,12,26,21,0,Matches
ab5b7dc1,Marius Bülter,de GER,"FW,MF",Schalke 04,29,1993,28.9,22,11,8,7,7,12,32,37.5,20,34,1,33,10,32,20,0,Matches
05e2d5ea,Delano Burgzorg,nl NED,"FW,MF",Mainz 05,23,1998,2.7,3,3,1,1,1,2,3,66.7,1,2,0,2,0,3,2,0,Matches
05f99a4a,Jonathan Burkardt,de GER,"MF,FW",Mainz 05,22,2000,5.9,3,1,0,1,2,1,4,25.0,3,6,1,5,1,4,1,0,Matches
f631c17f,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,25,1997,3.0,1,0,0,0,1,0,0,,0,2,0,2,0,1,0,0,Matches
b4705807,Aurélio Buta,pt POR,DF,Eint Frankfurt,25,1997,14.6,33,19,15,13,5,15,27,55.6,12,18,1,17,9,42,34,0,Matches
10745192,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,17,2004,5.9,8,4,2,5,1,2,7,28.6,5,1,0,1,1,9,2,0,Matches
0118c54c,Anthony Caci,fr FRA,DF,Mainz 05,25,1997,22.6,58,33,32,20,6,28,42,66.7,14,28,4,24,54,112,40,0,Matches
d1db4b83,Kerim Calhanoglu,de GER,DF,Schalke 04,19,2002,0.7,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0,Matches
d1273f09,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,34,1988,3.2,8,5,5,3,0,4,5,80.0,1,3,2,1,3,11,2,0,Matches
a65ce836,Emre Can,de GER,MF,Dortmund,28,1994,21.1,57,28,25,27,5,22,43,51.2,21,16,6,10,25,82,39,1,Matches
bd6351cd,João Cancelo,pt POR,"DF,FW",Bayern Munich,28,1994,11.2,23,14,9,10,4,10,23,43.5,13,14,2,12,15,38,22,0,Matches
5e080f73,Irvin Cardona,fr FRA,"MF,FW",Augsburg,24,1997,3.5,1,1,1,0,0,1,5,20.0,4,3,0,3,4,5,8,0,Matches
db401046,Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,Matches
ae7058f9,Julian Chabot,de GER,DF,Köln,24,1998,20.0,36,23,19,14,3,20,35,57.1,15,30,18,12,41,77,105,0,Matches
b3b7f5a6,Timothy Chandler,us USA,DF,Eint Frankfurt,32,1990,1.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0,Matches
48780156,Fabio Chiarodia,it ITA,DF,Werder Bremen,17,2005,0.7,0,0,0,0,0,0,0,,0,1,0,1,2,2,4,0,Matches
af104654,Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33.0,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,22,2,Matches
c6608135,Darko Churlinov,mk MKD,FW,Stuttgart,22,2000,0.3,3,2,2,1,0,2,3,66.7,1,1,0,1,0,3,0,0,Matches
6e17c802,Tolga Ciğerci,tr TUR,MF,Hertha BSC,30,1992,7.5,16,13,6,9,1,10,16,62.5,6,6,2,4,8,24,5,0,Matches
dd5bbe0d,David Čolina,hr CRO,"DF,FW",Augsburg,22,2000,1.8,4,1,1,1,2,2,2,100.0,0,8,0,8,4,8,3,0,Matches
042e8a49,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,26,1996,15.7,11,8,3,5,3,7,17,41.2,10,19,1,18,2,13,7,0,Matches
5ddb8f9f,Danny da Costa,de GER,DF,Mainz 05,29,1993,13.7,20,16,7,8,5,12,20,60.0,8,22,3,19,9,29,26,0,Matches
9dff291c,Soumaïla Coulibaly,fr FRA,DF,Dortmund,18,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
