id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
22db7a5e,2,0,0.0,0.0,0.0,2.0,0.0,17.0,55.0,76.0,9.0,31.0,40.0,0.0,4.0,2842.4,1447.7,66.8
cda0b317,6,1,0.0,1.0,1.0,8.0,3.0,14.0,41.0,132.0,21.0,23.0,38.0,1.0,9.0,3907.2,968.3,157.5
a70b8345,1,0,0.0,0.0,0.0,1.8,0.8,24.0,49.0,68.0,8.0,9.0,18.0,1.0,1.0,2713.2,573.3,11.8
903b6e8b,9,0,0.0,1.0,0.0,8.8,-0.2,29.0,86.0,127.0,30.0,52.0,107.0,4.0,10.0,4622.8,2750.8,170.0
d97b252e,6,0,0.0,2.0,0.0,5.8,-0.2,26.0,64.0,121.0,31.0,37.0,79.0,2.0,7.0,3690.5,1731.6,117.6
74733221,3,0,0.0,0.0,0.0,4.0,1.0,32.0,75.0,122.0,21.0,37.0,44.0,0.0,11.0,4379.8,1868.5,239.8
110a95ca,12,0,0.0,3.0,1.0,11.9,0.9,70.0,177.0,138.0,8.0,97.0,153.0,5.0,2.0,6306.6,6266.2,16.6
bea81d41,10,2,0.0,0.0,0.0,9.4,-0.6,50.0,122.0,116.0,17.0,55.0,61.0,0.0,3.0,4895.2,3366.0,38.1
38d14822,7,0,0.0,1.0,0.0,4.5,-2.5,23.0,47.0,76.0,11.0,32.0,44.0,0.0,2.0,2553.6,1651.2,25.4
0a86fd8b,2,0,0.0,1.0,0.0,1.2,-0.8,4.0,7.0,19.0,7.0,5.0,10.0,2.0,0.0,549.1,234.0,0.0
5512b1a9,0,0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,2.0,6.0,2.0,0.0,0.0,487.2,292.8,0.0
339fe0e8,5,0,1.0,0.0,0.0,5.8,0.8,13.0,45.0,85.0,19.0,31.0,74.0,1.0,6.0,2737.0,1345.4,96.6
387750b7,14,2,0.0,0.0,1.0,10.2,-2.8,44.0,138.0,180.0,29.0,73.0,111.0,5.0,13.0,6642.0,3883.6,189.8
