id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
011d8c56,0,0,0,0.1,0.1,3,7,32,2,3,4,1,1,720.0,165.0,9.2
03df04ff,0,0,1,3.5,-0.5,6,27,81,27,28,46,3,8,2446.2,1072.4,150.4
05bffdb1,0,0,0,5.9,-1.1,18,52,101,14,38,56,2,7,3262.3,1318.6,114.8
08f5afaa,0,2,0,9.7,-2.3,29,53,229,42,43,105,5,13,5725.0,1311.5,235.3
10161491,0,0,0,1.6,-0.4,5,16,15,2,5,14,0,0,768.0,331.0,0.0
11c7fa75,0,0,0,6.0,1.0,13,25,68,17,14,26,1,1,2074.0,505.4,12.5
11f5df14,0,1,0,6.3,-1.7,34,83,72,10,32,76,1,5,3600.0,1952.0,66.0
179d2851,0,0,0,15.5,-0.5,82,182,487,40,56,110,1,19,15973.6,1993.6,378.1
20b9f052,0,0,1,13.5,7.5,38,110,319,71,91,146,7,12,9538.1,3266.9,190.8
2628fd2b,1,2,0,9.0,-1.0,21,66,264,49,42,91,1,8,6837.6,1684.2,137.6
27d902c8,0,0,0,3.8,-0.2,4,12,36,8,9,8,0,0,1047.6,371.7,0.0
30223b33,0,1,0,5.8,-1.2,7,19,47,6,14,13,0,4,1480.5,469.0,94.8
32f7976d,0,2,0,11.6,-3.4,31,76,103,21,53,95,4,2,3790.4,1849.7,17.2
374ee424,0,3,0,7.8,-0.2,21,45,188,19,31,51,0,15,5113.6,1081.9,357.0
387750b7,0,1,0,5.1,-0.9,6,22,33,10,20,41,0,3,1230.9,614.0,42.9
3b0108d6,0,0,0,0.3,0.3,4,7,24,8,6,15,0,1,681.6,201.0,12.3
3d214e5f,0,0,0,8.6,3.6,30,113,182,30,45,102,2,8,6752.2,2016.0,128.8
3f2587ee,0,0,0,0.0,0.0,0,0,2,1,0,1,1,0,38.0,0.0,0.0
41f0b196,0,1,0,5.8,0.8,10,45,137,19,28,40,2,7,4178.5,823.2,124.6
42ec696a,0,1,0,9.4,1.4,20,74,100,20,47,76,2,3,3980.0,2124.4,39.9
47064058,0,1,0,6.7,0.7,26,68,222,31,34,57,2,18,6082.8,1207.0,417.6
47c7a40c,1,1,2,12.5,1.5,24,66,80,19,53,102,2,3,2952.0,2188.9,29.7
4a99131a,0,0,0,2.1,-0.9,5,20,25,3,14,15,1,0,940.0,592.2,0.0
4c5039bd,0,0,0,0.6,0.6,3,13,23,3,7,14,1,4,765.9,366.8,64.0
4c6711e2,0,0,0,6.0,-1.0,1,18,56,6,16,24,0,4,1780.8,305.6,74.8
4d6a842d,0,2,2,16.3,1.3,48,146,227,51,79,193,7,6,8035.8,4305.5,72.6
53af52f3,0,0,0,6.1,0.1,26,78,184,27,39,73,4,1,6329.6,1692.6,10.5
53d93280,0,0,1,4.8,0.8,13,47,80,17,14,36,2,2,3144.0,709.8,31.6
54bb5c3f,0,1,0,10.3,-1.7,31,117,104,25,69,125,1,2,4378.4,3850.2,15.2
55b93ae0,0,0,0,2.4,-0.6,6,17,26,6,7,6,1,0,1003.6,342.3,0.0
55bd7d45,0,3,1,13.8,-1.2,43,107,160,32,74,95,4,2,5728.0,2834.2,20.2
56901a62,0,3,0,8.8,-1.2,17,52,72,13,18,60,1,5,2736.0,1108.8,111.5
58f077c0,0,0,0,12.9,4.9,62,228,264,45,98,144,5,4,11272.8,5488.0,39.6
595ccab1,0,1,0,9.1,-0.9,23,58,175,43,30,78,6,9,5302.5,1242.0,179.1
5e8936be,0,0,1,8.2,2.2,63,160,251,38,64,129,6,5,9738.8,2643.2,62.0
60a6fe9c,0,1,1,6.4,-0.6,40,114,105,12,45,125,7,2,4924.5,2551.5,22.6
625c144a,1,1,0,9.1,0.1,55,143,471,70,97,156,6,17,13470.6,3841.2,278.8
67669ce7,0,0,0,0.9,0.9,10,23,27,1,9,16,0,2,1142.1,525.6,57.0
6a73afe7,0,0,0,1.9,-0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6ca0b04a,0,0,0,4.5,0.5,8,27,66,14,13,19,0,3,2296.8,492.7,36.3
6ce46a59,0,0,0,6.7,-0.3,5,9,23,7,6,9,0,5,708.4,247.8,117.0
6fe2aba3,0,1,0,6.9,-2.1,15,40,77,25,23,44,1,2,2356.2,1097.1,31.6
6fe5c35b,1,0,1,11.4,0.4,43,116,191,11,27,43,0,13,7334.4,1193.4,241.8
705f5269,0,4,0,7.9,-4.1,15,66,110,28,46,71,1,1,3784.0,2001.0,7.9
731bf16a,0,0,1,6.8,-1.2,26,60,141,18,34,51,0,2,4483.8,1343.0,22.4
79c536d7,0,1,0,12.7,-1.3,25,69,144,21,50,65,3,5,5011.2,1630.0,69.5
7ba6d84e,0,0,1,7.9,2.9,16,40,93,19,46,78,2,7,3059.7,1320.2,112.7
7f40333d,0,0,0,4.3,1.3,24,83,157,26,38,50,4,6,5620.6,2048.2,81.0
82b1198a,0,1,0,3.8,1.8,9,26,101,6,9,56,2,0,2828.0,279.9,0.0
864c362f,0,0,0,0.0,0.0,3,8,17,3,4,5,1,0,620.5,107.2,0.0
8a2248b4,0,5,0,11.8,-3.2,9,33,141,14,37,41,0,4,3807.0,806.6,66.0
8b3d765f,0,1,0,2.8,-0.2,2,9,23,5,7,14,0,0,644.0,310.1,0.0
8f1d4155,0,0,0,5.4,-2.6,28,60,153,17,24,27,1,6,4804.2,1060.8,98.4
