id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
011d8c56,11,33,22,3,2,6,2,0,0,0,0
04ac8285,4,14,10,1,1,1,1,1,1,0,0
129dd8e7,19,46,28,1,4,7,0,2,2,0,0
17a1299d,1,2,1,0,0,1,0,1,1,0,0
17d9e354,35,87,50,3,4,10,4,4,1,3,0
1840e36d,36,104,67,14,3,10,8,8,6,1,1
20b9f052,47,134,86,12,7,14,10,4,3,1,0
26f2473f,10,39,30,1,0,5,1,2,2,0,0
3061e1ec,5,19,13,1,0,3,2,2,1,1,0
307fcd26,7,23,16,3,2,1,2,1,1,0,0
5512b1a9,2,11,9,4,0,0,2,1,1,0,0
581c5276,20,46,27,2,8,4,4,0,0,0,0
5dcf3e90,13,33,20,1,4,2,0,2,2,0,0
61bb7498,6,12,6,0,2,1,0,1,1,0,0
625c144a,35,109,75,10,9,8,7,3,2,1,0
65d62814,2,7,5,0,1,0,0,0,0,0,0
6f51e382,32,116,85,25,8,2,16,1,1,0,0
73683fa9,50,167,117,14,11,13,10,8,6,2,0
75751c99,38,115,78,10,12,12,9,2,2,0,0
7b456af7,44,143,98,13,8,12,8,5,4,1,0
8875b8c9,22,58,37,3,5,5,2,2,2,0,0
8d957256,1,1,0,1,0,0,0,0,0,0,0
8f8c6934,34,133,99,14,14,9,13,6,4,1,1
8fae77ea,45,143,96,10,9,16,9,8,5,3,0
9109185e,32,87,55,12,10,9,10,3,3,0,0
967f34d3,40,109,69,7,6,12,6,5,4,0,1
97852360,46,154,110,11,11,13,8,6,6,0,0
9970da54,4,13,9,2,0,1,0,0,0,0,0
9f0ea33f,45,162,119,7,12,13,9,4,2,1,1
a01c3d54,24,83,60,4,5,7,2,4,4,0,0
a9dc785c,34,139,106,13,14,7,10,8,7,1,0
ac295d9e,30,86,55,9,6,9,5,4,3,1,0
b5bdf144,40,135,95,7,5,9,5,5,4,1,0
bca21ef3,30,96,67,5,7,8,6,6,6,0,0
bfb15d99,2,8,6,0,1,0,0,0,0,0,0
c0b1a6da,16,32,17,1,1,4,0,1,1,0,0
c818c4d9,2,3,1,1,0,0,0,0,0,0,0
c9cb972b,1,13,12,2,2,0,3,0,0,0,0
cda0b317,5,21,16,2,1,2,1,1,1,0,0
ecada4fc,8,31,23,6,2,2,4,0,0,0,0
ee8508c0,27,129,104,22,9,6,20,5,5,0,0
f6798fc3,43,166,124,8,10,14,8,6,6,0,0
fc70e345,35,95,59,5,4,12,3,7,6,1,0
