id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
0107757e,1,3,2,0,0,1,0,0,0,0,0
10072610,5,20,15,2,3,1,2,1,1,0,0
1840e36d,15,63,48,12,4,2,6,4,4,0,0
2fa2a875,14,40,27,1,5,4,1,0,0,0,0
3061e1ec,3,13,11,4,1,1,3,0,0,0,0
374ee424,23,86,64,13,5,6,9,1,0,1,0
3f034750,2,9,7,1,1,0,1,1,1,0,0
58ad9383,25,84,58,9,4,11,8,6,5,1,0
5dcf3e90,25,73,50,9,5,8,8,1,1,0,0
625c144a,10,56,46,6,3,5,7,0,0,0,0
63d17038,20,61,40,6,4,4,1,3,2,1,0
688b96e3,18,43,25,2,2,6,0,2,2,0,0
6c4776b1,37,136,100,6,9,10,9,8,7,1,0
6f51e382,8,54,47,20,2,2,18,2,2,0,0
73683fa9,3,4,1,0,0,1,0,0,0,0,0
853b7c48,29,72,42,5,5,9,6,4,2,2,0
8f8c6934,34,112,78,6,8,11,7,6,3,3,0
8fae77ea,23,86,60,6,2,9,5,6,3,3,0
97852360,5,19,14,2,0,2,1,0,0,0,0
9f0ea33f,11,18,7,2,1,4,1,0,0,0,0
a01c3d54,10,45,35,5,5,3,6,0,0,0,0
a2c1a8d3,1,8,7,0,1,1,1,0,0,0,0
a4995f48,13,42,29,4,2,5,2,3,1,0,2
ac295d9e,3,14,11,0,1,1,0,0,0,0,0
be6faae0,0,3,3,0,0,0,0,0,0,0,0
cde52ef5,5,20,15,2,2,1,2,1,1,0,0
d4b73232,28,101,75,6,5,13,4,5,2,0,3
d9235a45,2,5,3,0,0,0,0,0,0,0,0
dabb2827,38,126,88,7,4,12,2,4,2,1,1
e358587b,12,35,23,5,1,3,2,3,3,0,0
e4346678,48,148,98,2,6,16,1,10,7,3,0
ea83bfa6,20,70,50,10,2,6,7,1,1,0,0
ee8508c0,17,64,47,12,5,5,8,2,1,0,1
f127d782,18,50,33,3,4,4,2,0,0,0,0
f6798fc3,36,98,63,6,6,10,4,3,2,1,0
fc70e345,22,81,61,9,8,6,9,4,3,0,1
