id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
df525574,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,26,1990,8.0,622,534,85,11,1,0,27,74,0,0,0,0,495,3,13,Matches
1a63f024,Gheorghe Anton,md MDA,MF,md Sheriff Tiraspol,24,1993,5.7,236,217,17,10,0,2,0,1,0,0,0,0,192,2,5,Matches
40f0ed6c,Luca Antonelli,it ITA,DF,it Milan,30,1987,2.2,120,105,15,1,1,0,1,14,0,0,0,0,102,0,1,Matches
a5db0bec,Houssem Aouar,fr FRA,"FW,MF",fr Lyon,19,1998,5.1,250,240,10,2,2,1,4,1,7,1,1,0,205,0,6,Matches
ba7673a6,João Araújo,br BRA,FW,bg Ludogorets,29,1988,0.7,11,9,1,0,0,0,0,0,0,0,0,0,9,1,0,Matches
080ac8d8,Sergio Araujo,ar ARG,FW,gr AEK Athens,25,1992,5.4,167,158,9,1,0,0,1,2,0,0,0,0,132,0,0,Matches
6e8272e0,Musa Araz,ch SUI,"MF,FW",tr Konyaspor,23,1994,4.4,85,80,4,1,1,0,2,2,1,1,0,0,57,1,2,Matches
c48130b7,Frank Arhin,gh GHA,"FW,MF",se Östersund,18,1999,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
30643ce2,Ari,ru RUS,FW,ru Loko Moscow,31,1985,1.5,49,45,4,0,0,0,0,0,0,0,0,0,40,0,2,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,es Villarreal,28,1989,2.0,41,26,15,3,0,0,0,0,0,0,0,0,24,0,0,Matches
5d5219b1,Roger Assalé,ci CIV,FW,ch Young Boys,23,1993,4.8,108,97,11,0,1,1,3,1,0,0,0,0,78,0,4,Matches
583d6c1f,David Atanga,gh GHA,MF,at RB Salzburg,20,1996,0.3,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
9deab2db,Eliran Atar,il ISR,"FW,MF",il Maccabi Tel Aviv,30,1987,3.3,141,133,8,1,0,1,7,1,6,2,3,0,109,0,6,Matches
92fffd91,Omer Atzili,il ISR,"FW,MF",il Maccabi Tel Aviv,24,1993,0.5,43,36,6,3,0,0,9,0,3,0,3,0,23,1,3,Matches
97bfa797,Jean-Kévin Augustin,fr FRA,FW,de RB Leipzig,20,1997,3.8,76,69,6,0,0,1,5,1,0,0,0,0,54,1,5,Matches
05a275e0,João Aurélio,pt POR,DF,pt Vitória,28,1988,3.4,203,153,50,2,0,0,14,48,0,0,0,0,146,0,6,Matches
63a60d73,Selim Ay,tr TUR,DF,tr Konyaspor,26,1991,2.0,56,54,1,1,0,0,0,0,0,0,0,0,40,1,1,Matches
6e905b8d,Volkan Babacan,tr TUR,GK,tr Başakşehir,28,1988,2.0,72,53,19,3,0,0,0,0,0,0,0,0,59,0,0,Matches
816cdcbb,Ruslan Babenko,ua UKR,MF,ua Zorya Luhansk,25,1992,1.2,53,53,0,0,0,2,0,0,0,0,0,0,41,0,0,Matches
075fe5a3,Srđan Babić,rs SRB,DF,rs Red Star,21,1996,1.3,33,32,1,1,0,0,0,0,0,0,0,0,30,0,0,Matches
ba998e22,Jean-Sylvain Babin,mq MTQ,DF,il Maccabi Tel Aviv,30,1986,4.8,276,270,4,4,0,3,0,0,0,0,0,0,227,2,0,Matches
09a9e921,Carlos Bacca,co COL,FW,es Villarreal,30,1986,5.4,111,106,5,0,0,0,1,0,0,0,0,0,83,0,3,Matches
75229233,Fouad Bachirou,km COM,MF,se Östersund,27,1990,6.0,235,232,3,1,0,1,0,0,0,0,0,0,194,0,8,Matches
4285332d,Ondřej Bačo,cz CZE,DF,cz Fastav Zlín,21,1996,5.0,215,208,5,5,0,7,0,0,0,0,0,0,176,2,0,Matches
799caf80,Ziguy Badibanga,be BEL,FW,md Sheriff Tiraspol,25,1991,4.1,120,113,5,1,0,1,10,3,1,0,0,0,88,2,4,Matches
ce538b0b,Dzmitry Baha,by BLR,MF,by BATE Borisov,27,1990,0.8,45,44,1,1,0,1,0,0,0,0,0,0,34,0,0,Matches
b18095b6,Leighton Baines,eng ENG,DF,eng Everton,32,1984,2.0,103,89,13,1,0,0,1,11,1,0,1,0,84,1,2,Matches
50ccf47d,Michalis Bakakis,gr GRE,DF,gr AEK Athens,26,1991,8.0,376,300,74,9,0,4,18,65,0,0,0,0,293,2,8,Matches
0af4dcf0,Cédric Bakambu,cd COD,FW,es Villarreal,26,1991,2.9,86,85,1,0,1,0,4,0,0,0,0,0,61,0,2,Matches
dead55e5,Anastasios Bakasetas,gr GRE,"FW,MF",gr AEK Athens,24,1993,4.4,215,190,23,10,0,4,19,1,12,7,0,0,169,2,2,Matches
a3bf2258,Marek Bakoš,sk SVK,FW,cz Viktoria Plzeň,34,1983,2.6,65,61,4,0,0,0,0,1,0,0,0,0,47,0,2,Matches
cb85d8d0,Mihai Bălașa,ro ROU,DF,ro FCSB,22,1995,6.3,263,254,8,8,1,7,2,0,0,0,0,0,214,1,1,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,es Athletic Club,29,1988,5.3,275,204,70,4,0,0,23,66,0,0,0,0,195,1,11,Matches
7d74f9fd,Wilfried Balima,bf BFA,"MF,FW",md Sheriff Tiraspol,32,1985,0.6,30,28,2,0,0,0,5,2,0,0,0,0,18,0,1,Matches
f7b10c66,David von Ballmoos,ch SUI,GK,ch Young Boys,22,1994,5.0,128,78,49,16,0,0,0,0,0,0,0,0,72,1,0,Matches
8ff07990,Mario Balotelli,it ITA,FW,fr Nice,26,1990,5.9,253,237,15,3,3,3,4,3,0,0,0,0,189,1,2,Matches
ca9178af,Beni Baningime,cd COD,"MF,DF",eng Everton,18,1998,3.0,122,116,6,0,0,0,0,6,0,0,0,0,100,0,1,Matches
0557ff4f,Danilo Barbosa,br BRA,MF,pt Braga,21,1996,5.7,197,182,13,13,0,1,1,0,0,0,0,0,149,2,9,Matches
aad4f74f,Mariano Barbosa,ar ARG,GK,es Villarreal,33,1984,6.0,151,95,55,11,0,0,0,0,0,0,0,0,114,1,0,Matches
b58b3e7b,Elyaniv Barda,il ISR,FW,il Be'er Sheva,35,1981,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
d7c09951,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,20,1996,0.4,18,17,1,0,0,0,0,1,0,0,0,0,15,0,0,Matches
c2e41cfb,Vasilios Barkas,gr GRE,GK,gr AEK Athens,23,1994,2.0,48,33,15,7,0,0,0,0,0,0,0,0,23,0,0,Matches
28c2d647,Tigran Barseghyan,am ARM,"FW,MF",mk FK Vardar,23,1993,5.6,155,142,13,0,1,2,2,3,0,0,0,0,123,0,3,Matches
d2ba04be,Robert Bartolomeu,cz CZE,MF,cz Fastav Zlín,23,1993,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
3811e046,Lukáš Bartošák,cz CZE,"DF,MF",cz Fastav Zlín,27,1990,1.1,57,52,4,0,0,1,3,4,0,0,0,0,38,1,3,Matches
3b57f7f8,Dušan Basta,rs SRB,DF,it Lazio,32,1984,6.2,281,234,44,3,0,5,22,41,0,0,0,0,199,3,8,Matches
c01c66d9,Bastos,ao ANG,DF,it Lazio,26,1991,5.7,362,349,12,11,0,13,0,1,0,0,0,0,318,1,4,Matches
b340a30a,Mehmet Batdal,tr TUR,FW,tr Başakşehir,31,1986,1.5,42,38,4,0,0,0,0,1,0,0,0,0,28,0,1,Matches
2973d8ff,Michy Batshuayi,be BEL,FW,de Dortmund,23,1993,3.7,85,75,9,0,3,0,0,0,0,0,0,0,62,1,6,Matches
d637fc22,Rodrigo Battaglia,ar ARG,"MF,DF",pt Sporting CP,26,1991,5.1,361,328,33,15,0,2,3,14,1,0,0,0,317,0,3,Matches
0f9b8301,Cristian Battocchio,it ITA,"MF,FW",il Maccabi Tel Aviv,25,1992,4.9,366,332,34,15,0,10,26,0,19,6,13,0,293,0,3,Matches
404a2746,Marvin Baudry,cg CGO,DF,be Zulte Waregem,27,1990,3.9,169,169,0,0,0,3,0,0,0,0,0,0,148,0,1,Matches
47064058,Oliver Baumann,de GER,GK,de Hoffenheim,27,1990,5.0,191,138,53,12,0,1,0,0,0,0,0,0,154,0,0,Matches
debc6b55,Jon Bautista,es ESP,FW,es Real Sociedad,22,1995,2.7,54,50,4,0,0,0,0,0,0,0,0,0,35,0,3,Matches
a08b5224,Jean-David Beauguel,fr FRA,FW,cz Fastav Zlín,25,1992,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
beb6c168,Abzal Beisebekov,kz KAZ,"MF,DF",kz FC Astana,24,1992,6.7,218,200,16,1,0,1,13,15,0,0,0,0,161,2,6,Matches
f874dd44,Héctor Bellerín,es ESP,DF,eng Arsenal,22,1995,8.0,540,480,56,6,0,1,23,50,0,0,0,0,452,4,7,Matches
48add958,Emre Belözoğlu,tr TUR,MF,tr Başakşehir,36,1980,2.3,251,229,22,14,1,3,13,1,7,1,4,0,216,0,1,Matches
2277a390,Tal Ben Haim,il ISR,DF,il Maccabi Tel Aviv,35,1982,4.0,284,271,13,13,0,1,0,0,0,0,0,0,253,0,1,Matches
9f9c57f0,Nicklas Bendtner,dk DEN,FW,no Rosenborg,29,1988,6.0,222,204,18,0,1,3,2,2,0,0,0,0,165,0,6,Matches
d1992a3b,Pierre Bengtsson,se SWE,DF,dk FC Copenhagen,29,1988,4.2,346,273,73,11,0,2,41,48,14,6,8,0,236,0,15,Matches
8a2248b4,Walter Benítez,ar ARG,GK,fr Nice,24,1993,4.0,102,63,39,6,0,0,0,0,0,0,0,0,76,0,0,Matches
f5b6fb78,Loris Benito,ch SUI,DF,ch Young Boys,25,1992,1.0,63,48,15,0,0,0,3,15,0,0,0,0,45,0,2,Matches
2e3596d1,Romario Benzar,ro ROU,DF,ro FCSB,25,1992,4.3,192,153,39,1,0,3,22,37,1,0,1,0,131,0,7,Matches
bb6ab7af,Yevgeniy Berezkin,by BLR,MF,by BATE Borisov,21,1996,1.0,36,35,1,1,0,1,0,0,0,0,0,0,28,0,0,Matches
84ad89fa,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,4.0,205,198,5,2,0,0,3,3,0,0,0,0,161,2,2,Matches
a49fd565,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,4.5,297,285,12,10,0,2,2,2,0,0,0,0,259,0,1,Matches
0b2c9aec,Mitchell van Bergen,nl NED,FW,nl Vitesse,17,1999,0.2,10,10,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
5d0d1ec7,Steve von Bergen,ch SUI,DF,ch Young Boys,34,1983,4.0,180,167,12,12,0,3,0,0,0,0,0,0,149,1,0,Matches
73221bb0,Doug Bergqvist,se SWE,DF,se Östersund,24,1993,0.2,18,16,2,2,0,0,0,0,0,0,0,0,16,0,1,Matches
ee833569,Etrit Berisha,al ALB,GK,it Atalanta,28,1989,8.0,191,121,69,25,0,2,0,0,0,0,0,0,120,1,0,Matches
d5575935,Valon Berisha,xk KVX,MF,at RB Salzburg,24,1993,12.6,747,665,77,33,0,24,53,6,38,14,18,2,556,5,19,Matches
17370b95,Bernardo,br BRA,DF,de RB Leipzig,22,1995,2.9,185,145,39,2,0,1,5,37,0,0,0,0,133,1,5,Matches
2e06f387,Leonardo Bertone,ch SUI,MF,ch Young Boys,23,1994,0.2,17,17,0,0,0,0,0,0,0,0,0,0,14,0,1,Matches
7ca9f0f0,Muhamed Bešić,ba BIH,"DF,MF",eng Everton,24,1992,2.5,130,126,4,1,0,5,0,3,0,0,0,0,116,0,0,Matches
11c0fa9d,Artem Besyedin,ua UKR,"FW,MF",ua Dynamo Kyiv,21,1996,3.7,104,93,10,0,1,0,1,1,0,0,0,0,79,1,4,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,de Hoffenheim,27,1990,1.5,90,86,3,3,0,0,1,0,0,0,0,0,78,1,0,Matches
5710a281,Lucas Biglia,ar ARG,MF,it Milan,31,1986,5.0,368,345,23,18,0,3,11,0,5,2,2,1,323,0,3,Matches
79370f8c,Kristijan Bistrović,hr CRO,MF,ru CSKA Moscow,19,1998,0.9,48,48,0,0,0,1,0,0,0,0,0,0,34,0,2,Matches
dc62fbee,Leonardo Bittencourt,de GER,"MF,FW",de Köln,23,1993,2.7,133,128,5,0,0,1,10,4,1,0,0,0,106,0,8,Matches
26b7d548,Ben Bitton,il ISR,DF,il Be'er Sheva,26,1991,1.8,142,119,23,0,0,0,6,23,0,0,0,0,119,0,2,Matches
d4e7c451,Nick Blackman,bb BRB,"FW,MF",il Maccabi Tel Aviv,27,1989,4.1,104,98,6,3,0,2,9,2,0,0,0,0,81,0,5,Matches
33c7af24,Michael Blauensteiner,at AUT,DF,at Austria Wien,22,1995,1.0,63,55,7,0,0,0,5,7,0,0,0,0,46,1,2,Matches
bf5fc4fc,Dejan Blaževski,mk MKD,FW,mk FK Vardar,31,1985,3.5,149,136,13,3,1,1,10,4,5,4,0,0,122,0,2,Matches
c9e5f0f6,Younes Bnou Marzouk,ma MAR,"FW,MF",ch Lugano,21,1996,1.4,44,41,3,0,1,0,3,2,0,0,0,0,28,0,3,Matches
27f0fcda,Richmond Boakye,gh GHA,FW,rs Red Star,24,1993,5.6,129,118,9,0,0,0,3,0,2,0,0,0,98,2,1,Matches
faa1b07d,Salvatore Bocchetti,it ITA,DF,ru Spartak Moscow,30,1986,1.0,47,47,0,0,0,0,0,0,0,0,0,0,34,0,0,Matches
08fe932d,Nicolai Boilesen,dk DEN,DF,dk FC Copenhagen,25,1992,4.2,355,319,35,8,0,4,12,27,0,0,0,0,295,1,3,Matches
d995ed27,Giacomo Bonaventura,it ITA,"MF,DF",it Milan,27,1989,3.8,229,220,9,2,0,2,12,2,5,2,1,0,193,0,3,Matches
13b0c150,Daniele Bonera,it ITA,DF,es Villarreal,36,1981,5.0,318,302,15,14,0,5,2,1,0,0,0,0,291,1,0,Matches
52ec54d0,Leonardo Bonucci,it ITA,DF,it Milan,30,1987,8.1,573,538,31,30,0,8,1,1,0,0,0,0,473,4,3,Matches
65166f80,Vedat Bora,tr TUR,"FW,MF",tr Konyaspor,22,1995,1.1,30,26,4,2,0,0,5,0,2,1,0,0,19,0,0,Matches
2b3efa4a,Jan Bořil,cz CZE,DF,cz Slavia Prague,26,1991,2.5,125,99,25,3,0,0,7,22,0,0,0,0,93,1,4,Matches
ef5b337e,Fabio Borini,it ITA,"DF,FW",it Milan,26,1991,5.2,253,227,26,3,1,0,20,23,0,0,0,0,184,0,7,Matches
5e8936be,Milan Borjan,ca CAN,GK,rs Red Star,29,1987,8.0,225,133,88,29,0,2,0,0,0,0,0,0,104,4,0,Matches
1443ca7d,Aleksandar Borković,at AUT,DF,at Austria Wien,18,1999,1.5,67,65,2,2,0,0,0,0,0,0,0,0,60,0,0,Matches
e66a1ad7,Louis Bostyn,be BEL,GK,be Zulte Waregem,23,1993,4.0,121,61,60,26,0,0,0,0,0,0,0,0,62,0,0,Matches
