id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
886f9aac,2,0,1,1,0,0,1,1,2,0,2,1,3,0,0,6
88e357ef,21,13,8,11,2,10,25,15,9,0,9,5,26,3,0,35
88f130ed,8,6,7,0,1,5,5,0,1,1,0,1,9,4,0,8
892d5bb1,9,7,2,5,2,5,19,14,5,0,5,5,14,1,0,33
89565ac5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89ac64a6,11,7,8,2,1,5,10,5,7,4,3,9,20,9,0,28
89b2c8a9,17,9,6,6,5,5,13,8,6,0,6,4,21,0,0,30
89d10e53,8,7,2,5,1,4,5,1,4,1,3,8,16,8,0,24
89f951b5,6,5,5,1,0,3,7,4,4,2,2,10,16,2,1,23
8a08491a,0,0,0,0,0,0,5,5,4,1,3,0,0,2,0,10
8a6ab963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8aafd64f,1,0,0,0,1,0,3,3,1,0,1,1,2,1,0,16
8ac501f5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
8b3ab7ad,14,9,7,4,3,8,16,8,6,4,2,5,19,7,0,18
8b529245,1,1,0,1,0,1,3,2,1,0,1,0,1,1,0,7
8b8a56ce,4,2,3,1,0,4,6,2,0,0,0,0,4,6,0,6
8b9ebd03,5,2,1,4,0,2,8,6,6,0,6,0,5,1,0,30
8bbe2df5,4,3,2,1,1,0,8,8,5,1,4,1,5,4,0,30
8c90fd7a,2,0,1,0,1,0,3,3,4,1,3,3,5,4,0,13
8ce063f9,3,2,2,1,0,1,4,3,3,0,3,3,6,4,0,17
8ce30c57,9,5,1,4,4,3,12,9,6,1,5,6,15,2,0,28
8d78e732,10,6,2,6,2,2,10,8,5,0,5,2,12,8,0,33
8da74c05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8e034340,8,6,2,3,3,2,4,2,1,0,1,3,11,0,0,10
8e7f49d3,20,12,12,8,0,6,22,16,8,5,3,23,43,2,0,53
8ea2c099,2,2,2,0,0,2,2,0,0,0,0,0,2,2,0,1
