id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
45af8a54,4.0,3.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,0.0
d5dd5f1f,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
97bfa797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0
0e34de55,4.0,3.0,0.0,4.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,5.0,9.0,1.0,0.0
5c2b4f07,8.0,7.0,6.0,1.0,1.0,4.0,12.0,8.0,3.0,1.0,2.0,17.0,25.0,13.0,0.0
53fc526b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53cad200,13.0,8.0,4.0,7.0,2.0,8.0,14.0,6.0,10.0,6.0,4.0,17.0,30.0,14.0,0.0
6438d426,4.0,1.0,3.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,4.0,7.0,11.0,3.0,0.0
a1232f4e,8.0,4.0,5.0,3.0,0.0,2.0,2.0,0.0,6.0,4.0,2.0,2.0,10.0,10.0,2.0
ae8ec371,9.0,4.0,6.0,2.0,1.0,4.0,11.0,7.0,3.0,0.0,3.0,3.0,12.0,4.0,0.0
59bf127b,12.0,11.0,3.0,6.0,3.0,2.0,6.0,4.0,3.0,0.0,3.0,7.0,19.0,2.0,0.0
509a4ccb,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
a58bb1e1,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,3.0,6.0,0.0
fa937f7a,13.0,9.0,2.0,9.0,2.0,6.0,22.0,16.0,5.0,2.0,3.0,6.0,19.0,2.0,0.0
72d0e1b6,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
b742cc0d,17.0,10.0,10.0,4.0,3.0,8.0,14.0,6.0,9.0,2.0,7.0,11.0,28.0,16.0,0.0
