id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
fdd60087,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12.0,482,647,74.5,6907,3131,271,306,88.6,154,213,72.3,28,70,40.0,1,2.1,1.9,-1.1,11,20,19,3,45,Matches
46e07328,José Arnaiz,es ESP,"FW,MF",Osasuna,24,1995,8.8,130,172,75.6,1830,426,80,97,82.5,32,42,76.2,9,13,69.2,1,0.4,0.5,+0.6,7,11,2,1,18,Matches
46e07328,José Arnaiz,es ESP,MF,Leganés,24,1995,3.7,72,95,75.8,1121,321,37,44,84.1,27,34,79.4,5,11,45.5,0,0.5,0.6,-0.5,8,4,4,3,9,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,742,1035,71.7,20401,14089,138,139,99.3,378,385,98.2,221,503,43.9,0,0.0,0.0,0.0,0,8,0,0,0,Matches
45af8a54,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,131,158,82.9,1962,404,79,88,89.8,31,40,77.5,12,17,70.6,1,1.4,1.2,-0.4,8,4,8,2,13,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,991,1311,75.6,13740,2802,551,668,82.5,249,311,80.1,70,106,66.0,3,4.4,3.5,-1.4,54,71,45,3,125,Matches
5d5219b1,Roger Assalé,ci CIV,"FW,MF",Leganés,25,1993,5.9,100,124,80.6,1413,330,60,68,88.2,30,36,83.3,5,7,71.4,1,1.1,0.7,-0.1,6,7,5,1,13,Matches
12eda7be,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,9,14,64.3,153,18,4,6,66.7,5,6,83.3,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
253a06b9,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,170,316,53.8,3015,713,83,139,59.7,57,98,58.2,23,47,48.9,2,3.6,2.2,-1.6,22,18,13,3,40,Matches
53ddba36,Javier Avilés,es ESP,"MF,FW",Leganés,21,1997,2.0,47,69,68.1,748,296,25,34,73.5,10,12,83.3,7,11,63.6,1,0.8,0.7,+0.2,5,1,7,5,4,Matches
70d8e84c,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,22.2,604,821,73.6,11649,5056,243,278,87.4,253,320,79.1,94,190,49.5,0,0.3,0.4,-0.3,5,56,7,2,59,Matches
0cc474e7,Ramon Azeez,ng NGA,MF,Granada,26,1992,15.1,303,388,78.1,4820,1170,175,200,87.5,88,117,75.2,32,43,74.4,0,0.3,0.3,-0.3,6,35,3,0,43,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,32.3,1029,1276,80.6,17335,5663,486,570,85.3,422,488,86.5,85,135,63.0,0,0.2,0.5,-0.2,6,100,4,0,127,Matches
09a9e921,Carlos Bacca,co COL,FW,Villarreal,32,1986,7.6,99,134,73.9,1308,131,60,72,83.3,29,41,70.7,3,5,60.0,1,0.9,0.3,+0.1,5,5,1,0,6,Matches
518f2234,Alex Baena,es ESP,MF,Villarreal,18,2001,0.2,4,4,100.0,46,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
a58bb1e1,Gareth Bale,wls WAL,"FW,MF",Real Madrid,30,1989,12.1,363,500,72.6,5861,1344,206,238,86.6,113,152,74.3,37,82,45.1,2,1.7,1.6,+0.3,12,22,16,8,35,Matches
