id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
c69ef855,1214,55,276,811,136,9,1214,9,5,4,508,2090,934,8,8,0,30,18,659,20
7d937aa1,1081,20,184,605,306,23,1081,33,17,16,587,3396,1756,41,31,10,29,25,676,45
8c2c48a9,13,0,0,13,0,0,13,0,0,0,9,9,3,0,0,0,0,0,7,0
f3642ba8,724,13,83,476,175,29,724,7,4,3,373,1507,776,7,11,2,24,15,593,50
6c8ddd52,5,0,0,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0
403f5d20,782,37,237,429,124,3,782,10,6,4,377,1829,1220,15,14,0,10,4,481,35
e90af77c,738,8,87,319,346,33,738,29,14,15,450,2764,1276,39,28,9,43,30,480,82
46291841,702,21,144,440,124,2,702,6,1,5,365,1437,692,5,9,0,16,8,480,12
0b0cbe5b,1147,21,177,442,556,128,1147,130,50,80,697,5147,2771,102,60,54,103,52,727,195
249cdcff,56,47,56,0,0,0,56,0,0,0,16,121,80,0,0,0,0,0,13,0
f3085377,44,2,21,18,6,1,44,2,1,1,17,159,65,2,4,0,2,1,18,1
20e73fac,1536,36,237,814,497,36,1533,32,10,22,818,3974,1910,53,35,5,40,24,992,167
e8a65bc8,21,0,0,7,14,5,21,5,2,3,18,138,95,7,2,5,1,1,17,2
6e2c94ad,426,1,22,203,207,43,424,25,12,13,296,1451,425,14,11,6,33,36,343,74
0589c701,6,0,0,0,6,1,6,1,0,1,4,21,10,1,0,1,0,0,3,1
16324e1d,1703,228,958,704,57,28,1703,2,2,0,782,4060,2317,14,11,0,8,2,848,1
f83c8d6c,969,36,95,505,377,83,968,28,13,15,544,2317,947,26,26,8,79,45,729,155
e40d028b,450,367,444,7,0,0,450,1,1,0,197,938,707,0,0,0,0,0,170,0
8746d5d0,941,54,343,468,141,4,941,33,13,20,440,1798,972,20,18,2,20,11,545,49
26975a92,1113,898,1105,8,1,1,1113,0,0,0,470,3630,2782,0,1,1,0,0,260,0
148e136f,2511,18,269,1382,901,131,2510,107,56,51,1484,11318,6733,224,158,47,64,70,1984,270
0118c54c,1657,93,638,795,236,13,1657,25,12,13,920,4057,2447,32,23,2,22,8,1010,51
2a657da0,1080,10,177,483,449,35,1080,53,25,28,556,4191,2025,62,40,6,54,30,659,133
677ee102,699,73,243,403,59,6,699,0,0,0,261,1142,501,5,5,1,5,3,308,7
5ee6e943,600,524,600,0,0,0,600,0,0,0,214,1611,1160,0,0,0,1,0,152,0
94f8d10c,996,97,540,426,33,27,996,0,0,0,552,2641,1553,13,2,0,3,1,611,2
8577e60a,6,2,2,3,2,0,6,1,1,0,3,33,9,0,1,0,1,1,1,0
c58270f8,77,3,9,27,41,11,77,5,3,2,54,306,154,4,7,2,5,3,63,21
7b9c2d84,203,12,52,131,23,1,203,5,3,2,112,748,387,9,4,0,6,4,121,6
79b2399c,1208,52,327,591,312,27,1208,27,18,9,595,3733,1840,45,36,4,34,33,694,74
950ff24d,89,75,89,0,0,0,89,0,0,0,46,203,161,0,0,0,0,0,39,0
b4a014b1,2110,267,1092,949,81,38,2110,8,6,2,1099,4796,3022,20,15,2,16,2,1235,9
2384dbed,4,0,0,1,3,0,4,0,0,0,2,12,9,0,1,0,0,0,3,2
5b5724d2,1246,75,365,547,341,17,1246,26,10,16,663,3575,2177,53,46,6,28,25,731,99
f54d2149,54,3,6,46,5,0,54,1,1,0,30,116,49,0,2,0,1,1,42,2
527f063d,523,20,72,156,301,114,518,21,12,9,280,1250,419,16,10,11,37,12,371,122
31a62dc7,2058,97,529,988,559,32,2058,27,16,11,942,4716,2709,58,61,8,31,19,1068,181
5b54bf3b,411,10,61,185,172,10,411,16,8,8,232,1412,683,21,24,4,17,13,255,51
edd1466a,1184,85,355,535,303,8,1184,32,17,15,481,2908,1723,48,41,1,19,12,580,68
7961f7aa,476,5,50,169,260,22,476,34,18,16,248,1539,595,20,17,4,23,22,314,83
279ddf6a,1879,64,537,1038,326,15,1879,31,23,8,849,3943,1801,25,22,3,30,17,1075,49
4207e578,635,19,54,253,338,102,635,25,10,15,335,1754,614,28,12,14,65,22,454,141
873ce3a2,264,5,43,187,37,7,264,6,4,2,182,876,302,4,6,0,6,4,211,15
5113d9a7,652,59,338,298,21,7,652,0,0,0,403,1770,948,1,0,0,0,2,465,0
e8b5ad37,42,4,26,15,1,1,42,1,1,0,21,111,71,1,0,0,0,0,29,0
3010aefb,884,13,120,368,412,67,884,45,21,24,483,3598,1545,63,37,13,71,48,591,186
166a981d,377,19,102,207,76,11,377,14,6,8,174,1118,596,13,8,2,10,8,219,27
3f5b4635,1878,110,803,987,99,18,1878,7,3,4,849,4497,2980,22,8,0,17,9,1118,20
cfd8dde3,370,9,51,168,154,25,370,14,8,6,202,696,300,9,6,1,12,11,272,45
c693347d,342,20,36,155,154,42,342,8,5,3,178,709,214,6,7,2,29,20,266,58
beb391dd,657,11,56,228,379,79,657,52,23,29,408,2782,1363,62,29,27,38,28,493,198
5d42d487,104,3,22,49,35,9,104,5,3,2,58,413,247,9,6,2,8,7,66,11
909222de,813,9,59,375,386,89,812,70,33,37,514,2475,918,32,31,21,81,57,595,180
2434f24a,1253,1076,1244,11,0,0,1253,1,1,0,541,2691,1733,0,1,1,1,0,473,0
9980269a,694,20,36,313,355,111,693,34,19,15,341,1776,774,32,19,17,75,25,546,132
67b7357e,251,22,108,134,11,4,251,1,1,0,133,796,371,1,3,0,6,1,147,0
8f325097,601,41,268,286,55,3,601,14,8,6,306,1841,1054,12,9,1,19,8,346,14
06f33dc8,778,34,59,465,259,57,778,30,12,18,409,1898,536,17,14,4,76,41,604,123
3e092724,2225,45,381,1411,447,16,2223,30,19,11,1092,4539,2425,29,18,3,31,24,1662,44
1ec7e1c5,1757,186,919,795,54,25,1757,10,8,2,974,5637,3407,21,16,3,8,4,1073,5
3067cbef,468,61,281,188,3,3,468,1,1,0,258,1190,536,1,0,0,2,1,282,0
797f6070,45,0,4,19,23,3,45,7,1,6,27,136,26,2,2,1,3,2,32,5
29c02c9f,732,25,173,353,208,28,732,16,10,6,429,1834,952,22,20,5,8,10,533,80
fd2bc67d,2780,301,1581,1163,43,25,2780,5,4,1,1485,6386,3588,10,5,1,9,5,2015,2
44f8c299,673,17,105,414,161,24,673,14,5,9,266,1365,597,19,16,4,21,12,424,39
92232aad,1426,69,386,643,406,36,1426,24,9,15,561,2372,1236,31,18,0,31,11,754,105
0be95d34,782,2,98,330,368,45,782,67,36,31,463,3109,1648,69,39,19,43,26,512,151
d33c706e,1658,11,71,692,912,158,1655,94,54,40,835,4442,1918,79,34,33,126,64,1281,345
e7986081,690,15,33,289,377,141,688,43,27,16,394,1978,873,44,20,29,65,41,492,164
a6138e4a,622,32,148,387,97,9,622,22,14,8,329,2284,1140,30,16,1,19,26,358,17
47af88b8,2231,188,909,1281,56,20,2231,18,11,7,1483,8657,5927,38,18,3,10,5,1622,3
e53ab10b,235,6,18,92,126,35,235,3,2,1,96,401,205,9,3,5,18,9,175,31
19cda00b,1748,16,119,711,937,136,1747,84,41,42,1086,6038,3283,98,74,35,48,44,1342,277
244bc2c8,274,10,37,123,124,43,274,32,17,15,160,1138,564,20,12,17,28,14,177,63
aeed5c06,692,10,75,260,364,68,692,36,20,16,486,3044,1592,60,32,27,34,24,552,148
