id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
f573a8bf,Isaac Success,ng NGA,"MF,FW",Málaga,21,1996,5.5,9,7,4,4,1,3,8,37.5,5,2,0,2,5,14,0,0,Matches
6fd1ba62,Markel Susaeta,es ESP,"FW,MF",Athletic Club,29,1987,25.2,42,29,16,15,11,16,65,24.6,49,17,0,17,18,60,13,0,Matches
ef345601,Tana,es ESP,"MF,FW",Las Palmas,26,1990,17.2,31,24,13,14,4,12,36,33.3,24,8,0,8,23,54,5,0,Matches
730bd100,Oussama Tannane,ma MAR,FW,Las Palmas,23,1994,6.4,15,13,6,8,1,7,12,58.3,5,5,0,5,5,20,0,0,Matches
72a99e38,Cristian Tello,es ESP,"FW,MF",Betis,25,1991,18.8,32,24,12,14,6,7,37,18.9,30,19,0,19,16,48,4,1,Matches
6f51e382,Marc-André ter Stegen,de GER,GK,Barcelona,25,1992,37.0,1,0,1,0,0,1,3,33.3,2,1,0,1,4,5,12,1,Matches
174651c8,David Timor,es ESP,"MF,DF",Girona,27,1989,10.3,17,10,7,7,3,7,18,38.9,11,10,5,5,20,37,30,1,Matches
7cefa219,Tito,es ESP,DF,Leganés,32,1985,6.8,8,5,5,3,0,6,18,33.3,12,12,5,7,12,20,16,0,Matches
93568a16,Hernán Toledo,ar ARG,"FW,MF",Las Palmas,21,1996,6.9,5,5,2,2,1,1,11,9.1,10,2,0,2,5,10,5,0,Matches
d4ef9ac5,Toño,es ESP,DF,Levante,27,1989,12.0,12,11,11,1,0,5,10,50.0,5,4,0,4,6,18,29,0,Matches
87882adc,Daniel Torres,co COL,MF,Alavés,27,1989,13.5,19,11,14,5,0,7,31,22.6,24,15,7,8,19,38,32,2,Matches
bdf7b97d,Fernando Torres,es ESP,FW,Atlético Madrid,33,1984,10.9,11,8,3,7,1,2,6,33.3,4,4,1,3,2,13,9,0,Matches
9e1035f8,Ferrán Torres,es ESP,MF,Valencia,17,2000,3.5,8,7,3,5,0,2,6,33.3,4,1,0,1,3,11,1,0,Matches
44b61913,Miguel Torres,es ESP,DF,Málaga,31,1986,7.5,16,13,13,3,0,6,14,42.9,8,9,7,2,13,29,35,0,Matches
532e1e4f,Pau Torres,es ESP,DF,Villarreal,20,1997,0.6,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,4,0,Matches
322ba2df,Alin Toșca,ro ROU,DF,Betis,25,1992,4.7,12,9,7,5,0,5,9,55.6,4,7,1,6,5,17,17,1,Matches
963829d0,Manu Trigueros,es ESP,MF,Villarreal,25,1991,30.0,61,41,23,34,4,21,71,29.6,50,38,13,25,22,83,44,0,Matches
1fa85681,Przemysław Tytoń,pl POL,GK,La Coruña,30,1987,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
3eed9821,Samuel Umtiti,fr FRA,DF,Barcelona,23,1993,24.3,50,35,35,15,0,20,29,69.0,9,25,17,8,37,87,72,3,Matches
f8eca1b6,Enes Ünal,tr TUR,FW,Villarreal,20,1997,12.5,9,5,0,4,5,0,12,0.0,12,16,3,13,4,13,11,0,Matches
f8eca1b6,Enes Ünal,tr TUR,FW,Levante,20,1997,6.6,6,6,2,2,2,1,10,10.0,9,7,1,6,2,8,5,0,Matches
cfd68aa7,Francis Uzoho,ng NGA,GK,La Coruña,18,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
9d4c3227,Gerard Valentín,es ESP,"DF,FW",La Coruña,24,1993,1.8,5,4,4,0,1,1,2,50.0,1,1,0,1,3,8,3,0,Matches
