id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
b3f62bfc,Diego Collado,es ESP,FW,Villarreal,22-069,2001,0.1,8,0,0,2,6,1,8,0,0,,0,,3,9,4,0,0,0,0,0,6,3,Matches
15937e17,Eray Cömert,ch SUI,DF,Valencia,25-043,1998,17.0,1063,149,565,483,27,9,1063,2,2,100.0,0,0.0,650,3561,2045,5,8,1,1,0,663,0,Matches
5ae499d0,Santi Comesaña,es ESP,MF,Rayo Vallecano,26-165,1996,17.2,949,17,136,574,248,34,949,35,19,54.3,12,34.3,532,2703,1363,18,24,3,21,20,634,37,Matches
0f26ffd7,Copete,es ESP,DF,Mallorca,23-160,1999,16.1,801,77,384,381,46,14,801,9,9,100.0,0,0.0,422,1633,925,7,5,0,9,6,466,2,Matches
a6951bf8,Francis Coquelin,fr FRA,MF,Villarreal,31-310,1991,8.3,391,17,63,224,107,18,391,6,2,33.3,2,33.3,200,885,399,11,11,1,18,14,286,27,Matches
fb938d24,Jesús Corona,mx MEX,FW,Sevilla,30-072,1993,0.7,25,0,4,10,11,3,25,1,0,0.0,1,100.0,19,76,33,1,1,0,1,1,23,5,Matches
01eb744d,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28-010,1995,10.8,525,8,54,204,272,82,525,42,16,38.1,24,57.1,338,1571,737,31,15,17,40,17,406,104,Matches
c78b352d,Thierry Correia,pt POR,"DF,FW",Valencia,24-010,1999,17.1,1239,55,381,526,348,22,1239,26,9,34.6,11,42.3,660,3500,1998,50,35,9,30,10,751,97,Matches
808d48f3,Jaume Costa,es ESP,DF,Mallorca,35-001,1988,19.8,991,40,246,455,302,29,991,19,5,26.3,11,57.9,526,2601,1513,45,25,7,13,6,618,96,Matches
76c2a023,Samu Costa,pt POR,MF,Almería,22-112,2000,13.8,886,51,303,507,83,8,886,10,3,30.0,7,70.0,465,1791,778,5,3,0,19,8,552,15,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,30-312,1992,19.0,712,593,708,4,0,0,712,0,0,,0,,479,2410,1543,0,0,0,2,0,412,0,Matches
1944818c,Yan Couto,br BRA,"DF,MF",Girona,20-289,2002,7.6,470,10,115,199,164,8,470,38,20,52.6,14,36.8,286,2099,1145,33,24,4,17,6,310,49,Matches
a56da3ba,Juan Cruz Armada,es ESP,DF,Osasuna,30-234,1992,17.0,877,72,270,436,179,4,877,13,6,46.2,4,30.8,427,2027,984,14,15,1,14,4,475,50,Matches
cc2dd8a5,Juan Cruz,es ESP,FW,Betis,22-328,2000,1.9,56,0,6,18,33,8,56,7,3,42.9,3,42.9,36,284,176,7,4,3,3,2,37,14,Matches
0abc51f2,Jorge Cuenca,es ESP,DF,Villarreal,23-122,1999,4.0,328,40,167,155,6,3,328,0,0,,0,,202,1196,887,6,1,0,2,0,222,0,Matches
192c89a6,Braian Cufré,ar ARG,DF,Mallorca,26-094,1996,2.4,110,5,28,54,28,2,110,3,2,66.7,0,0.0,57,238,142,3,2,0,2,1,59,9,Matches
dc62b55d,Matheus Cunha,br BRA,"FW,MF",Atlético Madrid,23-296,1999,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19,Matches
f9a225f5,Curro,es ESP,MF,Almería,27-075,1996,0.5,34,0,3,18,13,1,34,0,0,,0,,15,63,36,1,3,0,1,0,22,1,Matches
f08490a6,Arnaut Danjuma,nl NED,FW,Villarreal,26-047,1997,5.3,135,2,11,39,86,23,134,8,3,37.5,4,50.0,88,490,260,12,3,8,11,6,103,35,Matches
070a3904,Sergi Darder,es ESP,MF,Espanyol,29-087,1993,25.7,1356,29,179,777,435,24,1356,101,51,50.5,39,38.6,805,5996,3360,81,72,7,31,17,847,53,Matches
162efffd,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28-299,1994,12.4,926,7,135,547,249,11,926,18,9,50.0,6,33.3,600,2800,1510,29,17,3,20,11,737,34,Matches
84a85b48,Alberto Del Moral,es ESP,MF,Villarreal,22-242,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0,Matches
fe641c1a,Thomas Delaney,dk DEN,MF,Sevilla,31-197,1991,3.4,188,8,52,108,28,7,188,0,0,,0,,113,361,110,1,0,1,4,3,138,3,Matches
e7d2a50b,Fran Delgado,es ESP,DF,Betis,21-251,2001,0.1,8,0,1,3,4,1,8,0,0,,0,,3,9,5,0,1,0,0,0,7,3,Matches
b19db005,Ousmane Dembélé,fr FRA,FW,Barcelona,25-308,1997,12.2,797,2,24,257,530,68,797,75,27,36.0,41,54.7,578,4684,2497,91,61,42,18,16,646,148,Matches
d2110326,Mouctar Diakhaby,gn GUI,DF,Valencia,26-090,1996,16.2,895,115,481,373,44,25,895,4,1,25.0,3,75.0,522,2486,1279,7,5,0,9,3,566,4,Matches
80211dc5,Mamady Diarra,ml MLI,"MF,DF",Cádiz,22-266,2000,0.7,21,0,6,9,6,3,21,3,1,33.3,2,66.7,14,84,55,3,0,1,1,1,9,0,Matches
d61759ec,Youba Diarra,ml MLI,MF,Cádiz,24-360,1998,0.6,40,4,17,25,1,0,40,0,0,,0,,18,71,42,1,0,0,2,4,15,0,Matches
