id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
59e4b92e,Rani Khedira,de GER,MF,Union Berlin,29-043,1994,21.3,876,35,237,513,138,10,876,6,3,50.0,2,33.3,381,1623,383,8,9,1,20,14,471,15,Matches
610aa1e9,Luca Kilian,de GER,DF,Köln,23-191,1999,12.2,788,86,438,321,33,6,788,4,2,50.0,1,25.0,500,2776,1542,12,7,0,4,2,518,2,Matches
49296448,Joshua Kimmich,de GER,MF,Bayern Munich,28-031,1995,20.6,2042,68,397,1113,547,13,2042,17,8,47.1,5,29.4,1172,5690,2174,25,17,3,18,20,1384,43,Matches
ca8033cb,Lukas Klostermann,de GER,DF,RB Leipzig,26-281,1996,4.2,338,11,166,145,29,4,338,2,1,50.0,1,50.0,197,779,326,1,2,0,2,3,256,6,Matches
19a967ab,Ansgar Knauff,de GER,DF,Eint Frankfurt,21-060,2002,11.5,688,29,221,306,181,28,688,51,17,33.3,29,56.9,317,2238,1307,37,21,10,28,7,332,45,Matches
6bd5cd5d,Robin Knoche,de GER,DF,Union Berlin,30-293,1992,22.0,1413,171,761,632,27,14,1411,7,6,85.7,1,14.3,764,3685,1922,7,3,1,12,5,800,4,Matches
cd59b9df,Gregor Kobel,ch SUI,GK,Dortmund,25-095,1997,18.0,774,584,769,6,0,0,774,0,0,,0,,466,2037,933,0,0,0,1,0,430,0,Matches
0fbecd11,Dominik Kohr,de GER,MF,Mainz 05,29-039,1994,17.5,1000,40,202,635,171,20,1000,10,2,20.0,7,70.0,439,1709,682,7,7,1,9,3,526,25,Matches
c0b3669f,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,24-096,1998,19.8,717,9,35,304,389,129,716,98,38,38.8,48,49.0,433,3126,1513,68,35,44,86,52,551,158,Matches
ab096c6f,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,31-161,1991,0.3,20,0,11,6,3,1,20,0,0,,0,,6,14,3,0,0,0,0,0,13,0,Matches
86574238,Kouadio Koné,fr FRA,MF,M'Gladbach,21-298,2001,21.3,1341,43,308,837,226,15,1341,79,40,50.6,24,30.4,856,4460,2379,36,36,3,55,37,958,39,Matches
1f3afdcb,Odilon Kossonou,ci CIV,DF,Leverkusen,22-066,2001,9.9,718,61,279,385,60,4,718,9,5,55.6,4,44.4,387,2043,1227,16,12,0,13,7,458,12,Matches
b1cd37e6,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,30-130,1992,0.8,45,0,10,16,20,3,45,3,1,33.3,1,33.3,23,172,105,3,1,1,0,1,23,3,Matches
dc366c36,Tomáš Koubek,cz CZE,GK,Augsburg,30-197,1992,4.0,180,137,178,2,0,0,180,0,0,,0,,97,707,485,0,0,0,0,0,72,0,Matches
f1e855eb,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,22-079,2000,4.2,158,5,29,53,77,16,158,16,6,37.5,8,50.0,97,610,284,16,6,4,9,8,106,37,Matches
e717705a,Alex Král,cz CZE,MF,Schalke 04,24-296,1998,15.2,612,46,177,324,118,20,612,20,8,40.0,11,55.0,282,1519,697,22,15,0,16,9,311,25,Matches
603cb947,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,31-265,1991,17.1,820,9,78,440,311,70,818,33,15,45.5,16,48.5,535,2628,1002,27,23,8,39,24,619,136,Matches
496aeede,Christoph Kramer,de GER,MF,M'Gladbach,32-020,1991,19.7,1215,50,340,637,250,39,1215,40,16,40.0,21,52.5,634,2717,1282,24,25,6,21,26,851,60,Matches
9f77012e,Tom Krauß,de GER,MF,Schalke 04,21-262,2001,20.9,867,35,244,465,178,11,867,27,15,55.6,12,44.4,358,2025,994,25,22,2,19,26,324,32,Matches
f9446dcd,Max Kruse,de GER,"MF,FW",Wolfsburg,34-357,1988,3.0,144,2,11,62,72,18,144,4,2,50.0,2,50.0,68,317,146,4,3,1,4,3,105,30,Matches
2a29eb9b,Lukas Kübler,de GER,DF,Freiburg,30-193,1992,11.6,629,48,204,306,123,15,629,8,5,62.5,3,37.5,274,1194,532,7,7,0,10,2,335,40,Matches
9ceb7642,Pierre Kunde,cm CMR,MF,Bochum,27-228,1995,3.3,196,7,40,123,40,3,196,8,5,62.5,3,37.5,92,501,232,5,6,0,10,1,92,2,Matches
f1bc3876,Alou Kuol,au AUS,FW,Stuttgart,22-165,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,1,0,0,Matches
2770726a,Daniel Kyereh,gh GHA,"MF,FW",Freiburg,27-003,1996,6.2,261,8,36,113,115,16,261,11,3,27.3,7,63.6,147,642,183,5,6,1,21,12,178,24,Matches
277c49ed,Maxence Lacroix,fr FRA,DF,Wolfsburg,22-339,2000,13.5,952,120,551,394,13,7,952,4,4,100.0,0,0.0,547,2737,1468,5,2,0,8,6,604,0,Matches
