id,url
0aeeed3f,https://www.transfermarkt.co.uk/christian-fassnacht/leistungsdaten/spieler/250490
0b0f256d,https://www.transfermarkt.co.uk/mory-bamba/profil/spieler/536455
0b221abd,https://www.transfermarkt.co.uk/andrej-prskalo/profil/spieler/38204
0b243559,https://www.transfermarkt.co.uk/nikolas-dyhr/profil/spieler/462837
0b380363,https://www.transfermarkt.co.uk/marin-ljubicic/profil/spieler/39792
0b45a8d7,https://www.transfermarkt.co.uk/semir-telalovic/profil/spieler/583767
0b5b8057,https://www.transfermarkt.co.uk/artem-kravets/profil/spieler/58405
0bd57693,https://www.transfermarkt.co.uk/nono/profil/spieler/199132
0bdda685,https://www.transfermarkt.co.uk/dexter-lembikisa/profil/spieler/712099
0be28faf,https://www.transfermarkt.co.uk/scott-brown/profil/spieler/12688
0be3255b,https://www.transfermarkt.co.uk/alexander-walke/profil/spieler/1271
0be46103,https://www.transfermarkt.co.uk/tefik-osmani/profil/spieler/35613
0bf123b6,https://www.transfermarkt.co.uk/mario-mitaj/profil/spieler/726114
0c09c984,https://www.transfermarkt.co.uk/oscar-lewicki/marktwertverlauf/spieler/76051
0c0d6ed1,https://www.transfermarkt.co.uk/okechukwu-azubuike/profil/spieler/386126
0c5c94d0,https://www.transfermarkt.co.uk/nair-tiknizyan/profil/spieler/461701
0c81fbf1,https://www.transfermarkt.com/radim-cernicky/profil/spieler/708310
0ca476cc,https://www.transfermarkt.co.uk/dijon-kameri/profil/spieler/629005
0cc07deb,https://www.transfermarkt.co.uk/grigori-borisenko/profil/spieler/501770
0ceb43f6,https://www.transfermarkt.co.uk/ruslan-litvinov/profil/spieler/520073
0d115860,https://www.transfermarkt.co.uk/tymur-stetskov/profil/spieler/549960
0d2b0b84,https://www.transfermarkt.co.uk/andriy-zaporozhan/profil/spieler/91465
0d4fd3a0,https://www.transfermarkt.co.uk/shon-goldberg/profil/spieler/204982
0d863fdc,https://www.transfermarkt.co.uk/carlao/profil/spieler/52893
0d901d79,https://www.transfermarkt.co.uk/ben-cottrell/profil/spieler/470597
0da5076f,https://www.transfermarkt.co.uk/albert-gronbaek/profil/spieler/503866
0da6a13e,https://www.transfermarkt.co.uk/theo-bongonda/profil/spieler/280701
0daa34cc,https://www.transfermarkt.co.uk/kiko/profil/spieler/364404
0de73fa4,https://www.transfermarkt.co.uk/alhassan-yusuf/profil/spieler/600481
0def2376,https://www.transfermarkt.co.uk/warren-bondo/profil/spieler/659516
0e0d6c53,https://www.transfermarkt.it/duccio-degli-innocenti/profil/spieler/616169
0e100630,https://www.transfermarkt.co.uk/martin-linnes/profil/spieler/137582
0e5b695f,https://www.transfermarkt.co.uk/max-woltman/profil/spieler/696326
0e61c46b,https://www.transfermarkt.co.uk/marco-wolfli/profil/spieler/4860
0eac2f24,https://www.transfermarkt.co.uk/emre-kaplan/profil/spieler/645932
0eb83e1a,https://www.transfermarkt.co.uk/bruno/profil/spieler/367255
0eb8ee41,https://www.transfermarkt.co.uk/oscar-dorley/profil/spieler/401475
0ed60738,https://www.transfermarkt.co.uk/senne-lynen/profil/spieler/338668
0ef05b3e,https://www.transfermarkt.co.uk/frank-boeckx/profil/spieler/13271
0efacb06,https://www.transfermarkt.co.uk/junior-kabananga/profil/spieler/153067
0f26ffd7,https://www.transfermarkt.co.uk/jose-copete/profil/spieler/520840
0f276764,https://www.transfermarkt.co.uk/hannes-thor-halldorsson/profil/spieler/103440
0f5e0b8a,https://www.transfermarkt.co.uk/radim-reznik/profil/spieler/62794
0f6e3474,https://www.transfermarkt.co.uk/lindrit-kamberi/profil/spieler/464190
0f816ae5,https://www.transfermarkt.co.uk/morten-konradsen/profil/spieler/224080
