goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xG,npxG,G__xG,npG__npxG,season,comp,id
1,10,4,143.0,0,0,0,1.0,1.0,0.0,0.0,18,ENG,25f50295
1,6,2,136.2,0,0,0,0.2,0.2,0.8,0.8,18,ENG,2649ff32
0,4,1,64.8,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,26679cdf
9,60,22,924.0,0,0,0,6.7,6.7,2.3,2.3,18,ENG,2691c772
5,43,16,903.0,7,0,1,3.9,3.1,1.1,1.9,18,ENG,26f6dca8
2,17,7,251.6,0,0,0,1.9,1.9,0.1,0.1,18,ENG,27d7453c
1,27,8,310.5,1,0,0,2.7,2.7,-1.7,-1.7,18,ENG,282f75f3
1,24,8,240.0,0,0,0,2.5,2.5,-1.5,-1.5,18,ENG,285a3d44
3,28,10,492.8,4,0,0,3.7,3.7,-0.7,-0.7,18,ENG,29733c72
2,13,5,234.0,0,0,0,1.1,1.1,0.9,0.9,18,ENG,2973d8ff
1,19,7,300.2,0,0,0,2.2,2.2,-1.2,-1.2,18,ENG,2acd49b9
0,18,2,491.4,0,0,0,0.5,0.5,-0.5,-0.5,18,ENG,2afc7272
10,57,19,969.0,6,0,0,5.8,5.8,4.2,4.2,18,ENG,2b114be3
1,23,5,577.3,0,0,0,0.8,0.8,0.2,0.2,18,ENG,2b471f99
0,5,2,124.0,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,2b622f01
2,11,3,95.7,0,0,0,1.7,1.7,0.3,0.3,18,ENG,2b91cf8e
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,2baec6ce
9,86,30,3156.2,14,1,2,10.8,9.1,-1.8,-1.1,18,ENG,2c0f8e9e
10,34,9,853.4,9,7,8,8.2,1.8,1.8,1.2,18,ENG,2ce2508a
1,12,2,231.6,0,0,0,0.5,0.5,0.5,0.5,18,ENG,2e4f5f03
1,11,1,287.1,0,0,0,0.3,0.3,0.7,0.7,18,ENG,2f4c5a52
0,18,1,401.4,1,0,0,0.9,0.9,-0.9,-0.9,18,ENG,2f72f79e
0,3,0,88.8,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,2f7acede
0,21,5,417.9,1,0,0,1.1,1.1,-1.1,-1.1,18,ENG,2f90f6b8
0,14,5,457.8,0,0,0,0.8,0.8,-0.8,-0.8,18,ENG,2ff964a0
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,31dce0c8
0,3,1,31.2,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,3201b03d
0,7,2,88.9,0,0,0,0.5,0.5,-0.5,-0.5,18,ENG,3233eefd
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,32e7ce92
0,15,2,271.5,0,0,0,1.2,1.2,-1.2,-1.2,18,ENG,3312f911
2,38,10,729.6,2,0,0,2.4,2.4,-0.4,-0.4,18,ENG,33508c78
3,28,13,621.6,6,0,0,2.2,2.2,0.8,0.8,18,ENG,3515d404
1,4,2,69.6,0,0,0,0.8,0.8,0.2,0.2,18,ENG,356a9a62
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,3680d723
