sca,sca_pass_live,sca_pass_dead,sca_take_on,sca_shot,sca_fouled,sca_def,gca,gca_pass_live,gca_pass_dead,gca_take_on,gca_shot,gca_fouled,gca_def,season,comp,id
80,51,2,15,7,4,1,16,10,0,3,2,0,1,18,ENG,00459419
21,21,0,0,0,0,0,3,3,0,0,0,0,0,18,ENG,008a6e6d
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,00963611
76,54,12,4,4,1,1,7,4,1,1,1,0,0,18,ENG,01226327
99,83,1,6,4,1,4,7,6,0,1,0,0,0,18,ENG,02b29014
17,12,2,1,0,2,0,1,0,1,0,0,0,0,18,ENG,032f894e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0356cf4f
17,12,1,2,1,1,0,2,2,0,0,0,0,0,18,ENG,0420d84f
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0442183b
7,4,0,1,1,0,1,1,0,0,0,1,0,0,18,ENG,07802f7f
59,49,1,4,1,4,0,2,2,0,0,0,0,0,18,ENG,08aa17d0
19,15,1,0,2,1,0,4,1,0,0,2,1,0,18,ENG,099e666f
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0c61c77c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0cc5f4a5
36,32,0,0,4,0,0,1,1,0,0,0,0,0,18,ENG,0d267745
19,16,1,0,0,0,2,4,4,0,0,0,0,0,18,ENG,0db5d2c8
59,40,0,6,7,5,1,10,7,0,1,2,0,0,18,ENG,0e6bc38c
92,57,13,11,6,4,1,16,8,2,4,0,2,0,18,ENG,0ef89a37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,10072610
74,63,0,2,3,3,3,13,13,0,0,0,0,0,18,ENG,101da2b5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,10b9fa99
40,36,1,2,0,1,0,6,5,0,1,0,0,0,18,ENG,111c3236
2,2,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,1148323a
12,10,1,0,1,0,0,2,1,1,0,0,0,0,18,ENG,119b9a8e
34,27,1,1,2,2,1,3,2,0,0,0,1,0,18,ENG,11b9265b
83,59,2,6,8,8,0,8,7,0,0,0,1,0,18,ENG,129af0db
67,25,32,4,4,0,2,4,1,3,0,0,0,0,18,ENG,12aa7661
23,20,0,1,2,0,0,3,2,0,0,1,0,0,18,ENG,15ea812b
2,1,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,15f3ec41
4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,15fd5593
161,133,17,5,4,2,0,17,10,3,1,2,1,0,18,ENG,16380240
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1695c659
35,30,0,1,4,0,0,1,1,0,0,0,0,0,18,ENG,16ceb862
4,3,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1840e36d
48,35,6,1,3,1,2,4,2,1,0,1,0,0,18,ENG,184e4970
44,30,0,8,1,5,0,4,0,0,2,1,1,0,18,ENG,189cee7b
18,16,0,0,2,0,0,4,4,0,0,0,0,0,18,ENG,18b896d6
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,18e96f64
49,31,0,8,4,6,0,0,0,0,0,0,0,0,18,ENG,1931bde9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,199ff86e
