matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,19,ENG,c73ada83
19,19,1710,19.0,41,116,75,3,3,13,4,2,1,1,0,19,ENG,cb4f24c6
38,38,3420,38.0,59,180,123,14,8,16,7,5,4,1,0,19,ENG,d0b3ceb9
7,7,553,6.1,21,42,22,0,1,6,0,3,3,0,0,19,ENG,d822a850
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,19,ENG,da8b19e2
12,12,1080,12.0,18,50,31,4,4,4,3,1,0,1,0,19,ENG,e082af5b
4,4,360,4.0,5,18,13,1,1,2,1,2,2,0,0,19,ENG,e608ed4c
2,2,180,2.0,5,13,9,1,0,1,1,0,0,0,0,19,ENG,fe558029
5,4,436,4.8,6,21,15,2,0,2,2,0,0,0,0,20,ENG,07666c20
4,3,347,3.9,7,15,8,2,0,1,1,0,0,0,0,20,ENG,10072610
1,1,21,0.2,1,2,1,0,0,1,0,0,1,0,0,20,ENG,1e43fad8
30,30,2649,29.4,39,151,111,9,13,8,7,7,6,1,0,20,ENG,2628fd2b
33,33,2970,33.0,47,99,54,18,4,11,8,2,2,0,0,20,ENG,28d596a0
28,28,2520,28.0,35,113,78,13,5,10,7,2,1,1,0,20,ENG,36c2ca73
38,38,3420,38.0,58,195,139,11,11,16,11,2,2,0,0,20,ENG,3a949a25
35,35,3071,34.1,28,95,68,24,3,8,16,3,3,0,0,20,ENG,3bb7b8b4
38,38,3420,38.0,54,168,116,9,14,15,9,2,2,0,0,20,ENG,4535e4bb
37,37,3330,37.0,62,187,124,9,7,21,5,6,5,1,0,20,ENG,466fb2c5
38,38,3420,38.0,56,147,94,13,10,15,9,4,3,0,1,20,ENG,4806ec67
38,38,3420,38.0,50,167,117,15,9,14,15,5,4,1,0,20,ENG,4b40d9ca
2,1,159,1.8,6,13,6,0,0,1,0,1,0,1,0,20,ENG,51a19d04
38,38,3420,38.0,41,135,94,18,8,12,13,10,8,2,0,20,ENG,53af52f3
2,2,180,2.0,5,11,6,0,1,1,0,1,1,0,0,20,ENG,6385ebfb
18,17,1613,17.9,26,82,56,5,5,7,2,4,3,1,0,20,ENG,63d17038
3,3,270,3.0,8,23,15,0,1,2,0,0,0,0,0,20,ENG,76eca7e2
9,8,771,8.6,9,42,33,5,1,2,3,1,1,0,0,20,ENG,7956236f
38,38,3420,38.0,40,129,88,15,14,9,13,3,1,2,0,20,ENG,79b0d6a0
29,29,2543,28.3,23,80,58,23,3,3,13,1,1,0,0,20,ENG,7a2e46a8
38,38,3420,38.0,36,131,96,18,12,8,13,3,3,0,0,20,ENG,7ba6d84e
21,21,1807,20.1,21,99,78,11,6,4,6,3,2,1,0,20,ENG,8f62b6ee
25,25,2117,23.5,34,104,71,8,7,10,5,4,3,1,0,20,ENG,9328b835
5,5,450,5.0,7,16,10,2,2,1,1,0,0,0,0,20,ENG,a179d516
20,20,1794,19.9,35,102,68,6,3,11,4,3,3,0,0,20,ENG,a6de6361
1,1,7,0.1,0,0,0,0,0,1,0,0,0,0,0,20,ENG,a8a3d139
35,35,3150,35.0,42,149,109,11,9,15,10,1,0,0,1,20,ENG,ab13a5aa
8,7,687,7.6,17,51,35,0,1,6,0,1,1,0,0,20,ENG,ba3ca78f
7,5,539,6.0,12,27,15,0,2,3,1,0,0,0,0,20,ENG,bdedffac
38,38,3420,38.0,64,178,116,8,10,20,9,9,8,1,0,20,ENG,d0b3ceb9
10,10,900,10.0,25,55,30,2,2,6,2,2,2,0,0,20,ENG,e082af5b
12,12,1080,12.0,20,53,32,3,3,6,2,3,2,1,0,20,ENG,e358587b
36,36,3240,36.0,33,128,94,14,11,11,13,3,1,1,1,20,ENG,e5a76dfe
2,2,180,2.0,6,11,5,0,1,1,0,0,0,0,0,20,ENG,e7434f04
36,36,3240,36.0,68,195,128,5,6,25,5,5,3,2,0,20,ENG,f23f9d20
11,9,875,9.7,10,27,17,9,0,0,2,0,0,0,0,20,ENG,f76e6b4e
1,1,90,1.0,3,5,2,0,0,1,0,0,0,0,0,20,ENG,fe558029
2,2,180,2.0,5,9,4,0,0,2,0,1,1,0,0,21,ENG,17acc2ed
