matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp,id
21,1222,13,13,6,8,3,20,15,5,19.6,16.7,2,19,SPA,d9bda115
35,3112,34,35,31,0,1,46,44,2,44.8,48.3,-3,19,SPA,da27e268
20,753,8,5,1,15,10,15,6,9,12.5,10.5,2,19,SPA,db750822
36,2282,25,27,9,9,1,25,41,-16,31.9,41.8,-9,19,SPA,db8f0eba
30,1863,20,18,16,12,6,19,36,-17,24.5,36.8,-12,19,SPA,dbe519cf
1,6,0,0,0,1,0,0,0,0,0.0,0.0,0,19,SPA,ddd5348b
21,1754,19,21,17,0,2,27,34,-7,21.3,32.9,-11,19,SPA,de7d40d6
18,597,6,4,2,14,13,6,9,-3,9.3,7.7,1,19,SPA,debc6b55
30,2385,26,26,20,4,0,32,37,-5,31.3,38.3,-7,19,SPA,dee86451
4,242,2,3,1,1,4,1,1,0,1.4,1.8,0,19,SPA,def69cd0
37,3198,35,37,31,0,0,52,29,23,44.5,38.8,5,19,SPA,df69b544
6,317,3,4,2,2,6,5,8,-3,3.6,6.4,-2,19,SPA,df8b52a5
31,2489,27,27,21,4,2,37,41,-4,33.0,43.9,-11,19,SPA,e1cbb531
19,795,8,10,0,9,4,8,12,-4,9.4,13.6,-4,19,SPA,e1cea3f7
24,2130,23,24,22,0,2,49,23,26,45.9,26.1,19,19,SPA,e1deea75
9,318,3,3,1,6,4,5,10,-5,4.5,9.3,-4,19,SPA,e208bcc8
35,3150,35,35,35,0,0,32,45,-13,37.4,53.5,-16,19,SPA,e29d1111
35,2647,29,30,21,5,3,42,42,0,43.8,38.9,4,19,SPA,e2e9c250
11,170,1,0,0,11,7,2,5,-3,1.6,2.6,-1,19,SPA,e3993b65
16,1061,11,12,4,4,1,19,9,10,15.9,13.9,1,19,SPA,e3fabb0a
30,2198,24,26,15,4,4,35,45,-10,34.7,41.4,-6,19,SPA,e49ce451
3,211,2,2,1,1,0,2,6,-4,2.5,4.6,-2,19,SPA,e4b8c5b6
27,2030,22,24,15,3,2,33,18,15,23.5,24.7,-1,19,SPA,e4ed2628
28,2340,26,27,23,1,1,26,34,-8,29.9,37.8,-7,19,SPA,e54bd0a2
25,1465,16,18,5,7,1,26,10,16,22.9,13.8,9,19,SPA,e6bc67d7
16,1154,12,14,8,2,1,14,18,-4,14.2,20.2,-6,19,SPA,e778654a
21,1632,18,20,12,1,6,23,35,-12,23.7,36.7,-13,19,SPA,e7ab4179
33,2629,29,30,19,3,0,31,38,-7,32.6,39.5,-6,19,SPA,e7f4603c
11,161,1,0,0,11,2,2,2,0,2.0,3.6,-1,19,SPA,e82d2807
30,1298,14,15,3,15,4,14,22,-8,20.7,16.6,4,19,SPA,e897d8ba
1,90,1,1,1,0,2,1,4,-3,2.1,2.8,0,19,SPA,e98f3a6a
1,1,0,0,0,1,8,0,0,0,0.0,0.0,0,19,SPA,e9fbcc21
8,191,2,2,1,6,8,2,4,-2,2.8,4.0,-1,19,SPA,ea6a7ab4
6,123,1,1,0,5,9,4,5,-1,1.7,2.2,0,19,SPA,eb2fe5b6
10,900,10,10,10,0,24,17,8,9,16.4,7.5,8,19,SPA,ecada4fc
27,1800,20,23,4,4,2,29,29,0,28.3,36.9,-8,19,SPA,ecd8c01e
16,1258,14,14,11,2,5,18,27,-9,19.7,27.5,-7,19,SPA,ed239245
30,1517,16,16,9,14,6,24,31,-7,19.2,29.2,-9,19,SPA,ed5c5fa3
37,3330,37,37,37,0,0,53,27,26,45.4,39.2,6,19,SPA,ee8508c0
4,220,2,2,2,2,15,1,6,-5,1.6,5.7,-4,19,SPA,ee923664
31,2335,25,27,19,4,0,31,40,-9,33.9,33.5,0,19,SPA,ef322658
21,1819,20,21,20,0,0,24,29,-5,26.4,30.6,-4,19,SPA,f03f284b
2,156,1,2,1,0,2,0,2,-2,1.5,2.1,0,19,SPA,f090a37a
21,1772,19,19,17,2,4,29,12,17,27.2,21.1,6,19,SPA,f0da930c
23,1701,18,18,17,5,7,25,15,10,25.5,21.0,4,19,SPA,f11fe861
4,112,1,1,1,3,9,2,5,-3,1.9,3.1,-1,19,SPA,f1887f53
7,484,5,5,5,2,10,5,6,-1,6.1,7.2,-1,19,SPA,f1bed920
30,2700,30,30,30,0,1,33,34,-1,32.8,32.6,0,19,SPA,f2308b33
13,1023,11,12,10,1,5,9,16,-7,12.5,15.9,-3,19,SPA,f2a68b97
25,2023,22,24,18,1,3,21,22,-1,22.6,21.4,1,19,SPA,f3112790
15,1002,11,13,2,2,0,13,10,3,15.1,10.7,4,19,SPA,f3b1d9a2
2,38,0,0,0,2,1,0,0,0,0.1,1.8,-1,19,SPA,f4b7f2ec
3,239,2,3,2,0,7,1,2,-1,3.0,2.3,0,19,SPA,f4ec4fd0
32,2861,31,32,31,0,1,33,43,-10,38.8,42.5,-3,19,SPA,f6798fc3
8,647,7,7,6,1,16,6,14,-8,6.2,11.9,-5,19,SPA,f69d934e
18,1398,15,17,14,1,4,22,12,10,18.3,15.2,3,19,SPA,f6ac68c1
27,2254,25,24,22,3,3,28,35,-7,32.9,34.8,-1,19,SPA,f7dc2ae5
33,2148,23,24,11,9,1,26,30,-4,27.1,34.5,-7,19,SPA,f8eca1b6
32,2667,29,32,18,0,0,51,33,18,53.3,34.1,19,19,SPA,fa937f7a
31,2599,28,30,26,1,3,34,36,-2,38.8,40.1,-1,19,SPA,fb5d47b3
35,3059,34,34,32,1,1,40,46,-6,40.1,45.2,-5,19,SPA,fbd6378b
30,2509,27,28,27,2,1,41,24,17,35.9,32.0,3,19,SPA,fc4f85b1
26,1764,19,22,8,4,5,19,33,-14,23.0,26.1,-3,19,SPA,fc647b34
21,1890,21,21,21,0,15,23,35,-12,25.6,30.1,-4,19,SPA,fc70e345
29,1617,18,16,8,13,8,18,34,-16,27.1,28.4,-1,19,SPA,fc8b614b
5,430,4,5,4,0,6,4,11,-7,4.4,7.0,-2,19,SPA,fd47b4f2
31,1510,16,15,9,16,3,30,18,12,30.3,18.2,12,19,SPA,fd51b456
19,1402,15,16,8,3,0,18,19,-1,16.4,16.2,0,19,SPA,fd771f95
25,844,9,8,1,17,7,13,14,-1,10.2,13.4,-3,19,SPA,fd9c4805
25,1772,19,20,16,5,6,30,10,20,25.7,19.6,6,19,SPA,fdd60087
31,2460,27,27,18,4,6,35,26,9,44.4,30.2,14,19,SPA,fed17f5a
23,1948,21,21,18,2,7,25,33,-8,26.3,32.8,-6,19,SPA,ffad706e
9,359,4,3,2,6,14,6,4,2,4.1,4.7,0,20,SPA,003a5c72
24,1216,13,9,9,15,10,21,12,9,16.2,16.4,0,20,SPA,0076ab7f
35,2895,32,33,28,2,0,39,31,8,37.9,34.6,3,20,SPA,00b28772
13,1170,13,13,13,0,22,18,16,2,14.6,13.5,1,20,SPA,011d8c56
17,1197,13,13,12,4,11,12,30,-18,12.3,25.9,-13,20,SPA,01a49bd2
33,2061,22,22,9,11,1,31,20,11,33.2,21.0,12,20,SPA,01eb744d
34,2747,30,33,18,1,2,34,23,11,35.0,28.4,6,20,SPA,02319ad7
29,1368,15,16,5,13,8,23,18,5,21.4,16.2,5,20,SPA,02c15616
14,1075,11,11,9,3,0,7,12,-5,13.8,14.6,0,20,SPA,02ef8778
27,1927,21,20,16,7,3,17,25,-8,19.7,30.1,-10,20,SPA,036bba5f
29,2165,24,26,12,3,1,25,33,-8,25.8,35.3,-9,20,SPA,04965583
2,72,0,0,0,2,1,0,0,0,0.6,0.2,0,20,SPA,04a65a8f
24,2096,23,24,23,0,7,27,30,-3,26.4,34.0,-7,20,SPA,04ac8285
36,2181,24,22,15,14,1,27,36,-9,27.599999999999998,33.6,-6,20,SPA,04e17fd5
30,1967,21,22,16,8,5,25,33,-8,24.8,30.1,-5,20,SPA,05a4465d
6,435,4,6,3,0,6,6,6,0,7.8,7.2,0,20,SPA,062fc2e6
20,870,9,9,2,11,6,6,21,-15,8.5,12.3,-3,20,SPA,06983922
36,2658,29,29,21,7,1,22,48,-26,31.4,40.3,-8,20,SPA,070a3904
1,1,0,0,0,1,11,0,0,0,0.1,0.0,0,20,SPA,07129f3c
23,1805,20,20,14,3,3,24,33,-9,22.7,29.7,-7,20,SPA,073b1b37
35,3013,33,35,31,0,0,61,21,40,60.9,28.3,32,20,SPA,08511d65
7,263,2,1,0,6,2,4,3,1,5.0,3.7,1,20,SPA,09332647
33,1907,21,21,10,12,2,42,12,30,39.6,19.2,20,20,SPA,0959c2a2
19,688,7,7,1,12,15,10,7,3,11.0,7.9,3,20,SPA,09a9e921
2,83,0,1,0,1,9,1,2,-1,1.5,1.5,0,20,SPA,09e81276
22,672,7,6,0,16,12,7,10,-3,9.0,16.0,-7,20,SPA,0a0cc13c
24,926,10,9,1,15,4,11,20,-9,12.1,19.0,-6,20,SPA,0ac94a23
36,2267,25,26,11,10,1,27,32,-5,33.0,38.4,-5,20,SPA,0ae4e09a
31,2725,30,30,28,1,3,24,33,-9,29.4,44.6,-15,20,SPA,0b33f6ad
34,1944,21,21,10,13,1,20,27,-7,24.3,24.9,0,20,SPA,0b90bb97
24,1027,11,11,1,13,9,27,14,13,22.3,11.3,11,20,SPA,0ba976e4
11,418,4,3,0,8,10,10,5,5,7.5,6.3,1,20,SPA,0bc4e720
32,2297,25,27,13,5,0,29,32,-3,29.400000000000002,28.599999999999998,0,20,SPA,0c2ac3cb
25,1361,15,14,7,11,12,19,14,5,15.1,17.1,-1,20,SPA,0cc474e7
10,250,2,2,0,8,21,3,3,0,3.3,3.4,0,20,SPA,0d690336
23,1161,12,12,3,11,10,15,23,-8,17.1,20.1,-3,20,SPA,0e50f929
3,269,3,3,2,0,2,0,5,-5,2.9,2.9,0,20,SPA,0e7ccfc4
23,1874,20,22,17,1,6,16,30,-14,18.6,23.4,-4,20,SPA,0f0aa5b4
1,9,0,0,0,1,3,1,0,1,0.9,0.0,0,20,SPA,0ff67313
7,473,5,5,4,2,2,2,8,-6,4.4,7.7,-3,20,SPA,10f1cd17
20,1087,12,11,8,9,13,11,19,-8,14.7,15.2,0,20,SPA,112521d1
2,93,1,1,0,1,1,3,1,2,2.6,1.9,0,20,SPA,114b510e
18,1471,16,17,13,1,1,27,20,7,26.7,19.5,7,20,SPA,11b9265b
34,2098,23,25,11,9,0,30,14,16,40.5,17.7,22,20,SPA,129af0db
26,1630,18,20,7,6,3,18,21,-3,20.9,20.6,0,20,SPA,12c50af5
3,30,0,0,0,3,6,0,0,0,1.1,0.2,0,20,SPA,12eda7be
29,2610,29,29,29,0,4,36,36,0,39.4,35.3,4,20,SPA,132ac341
8,377,4,4,3,4,9,2,6,-4,4.3,6.1,-1,20,SPA,167c1bb0
35,2312,25,23,14,12,1,28,49,-21,26.6,47.0,-20,20,SPA,16aa3654
31,2265,25,25,19,6,3,35,41,-6,36.4,34.6,1,20,SPA,16e9d0ea
22,943,10,10,5,12,11,11,11,0,11.7,14.5,-2,20,SPA,174651c8
34,3060,34,34,34,0,2,60,20,40,61.1,28.8,32,20,SPA,1840e36d
9,448,5,4,1,5,6,5,4,1,8.7,5.4,3,20,SPA,189cee7b
32,2502,27,27,25,5,5,24,34,-10,28.5,31.9,-3,20,SPA,18abe173
3,19,0,0,0,3,3,0,2,-2,0.0,0.7,0,20,SPA,18f0a9f0
30,1914,21,22,7,8,0,20,34,-14,22.4,27.1,-4,20,SPA,19709006
13,170,1,1,0,12,12,4,2,2,3.2,1.8,1,20,SPA,19b776e9
3,83,0,1,0,2,7,1,1,0,0.6,1.8,-1,20,SPA,19cdceb0
16,1255,13,15,10,1,5,10,12,-2,8.6,18.7,-10,20,SPA,1a317a1b
11,473,5,5,1,6,5,3,11,-8,6.2,6.4,0,20,SPA,1b17ed86
19,573,6,5,0,14,17,6,9,-3,7.6,10.6,-3,20,SPA,1b40049a
29,2115,23,24,14,5,1,52,26,26,41.2,25.3,16,20,SPA,1bacc518
35,2393,26,25,13,10,1,46,34,12,35.5,29.9,5,20,SPA,1bda5842
4,343,3,4,3,0,5,9,4,5,7.1,3.6,3,20,SPA,1d1691ad
2,78,0,1,0,1,3,0,1,-1,0.7,0.6,0,20,SPA,1d5f96d9
1,9,0,0,0,1,0,0,1,-1,0.0,0.3,0,20,SPA,1d8c99b0
37,3237,36,37,24,0,0,41,33,8,40.0,38.2,1,20,SPA,1daec722
26,1909,21,21,18,5,7,36,28,8,33.9,24.8,9,20,SPA,1f079188
27,1880,20,23,9,4,0,27,23,4,26.1,31.5,-5,20,SPA,1fb1c435
5,87,1,1,0,4,9,1,2,-1,1.2,1.6,0,20,SPA,1fc3c3d7
31,2663,29,30,28,1,1,32,37,-5,34.6,38.9,-4,20,SPA,1fe0492d
9,563,6,6,5,3,11,5,9,-4,5.7,8.7,-2,20,SPA,1fe67e86
17,442,4,3,1,14,9,7,6,1,6.3,6.6,0,20,SPA,200e89e1
2,37,0,0,0,2,2,0,2,-2,0.4,1.3,0,20,SPA,206b11c5
25,1979,22,23,19,2,8,30,15,15,35.4,17.1,18,20,SPA,21512407
15,981,10,11,8,4,14,11,14,-3,12.0,12.0,0,20,SPA,228b0d9d
20,654,7,5,1,15,11,8,9,-1,11.0,12.9,-1,20,SPA,2327c29e
6,218,2,2,1,4,1,2,4,-2,2.0,3.1,-1,20,SPA,237a3851
36,3029,33,33,32,3,0,39,35,4,38.5,44.3,-5,20,SPA,240d3a0b
19,1583,17,18,17,1,7,22,24,-2,26.1,21.3,4,20,SPA,24279b8b
17,1014,11,11,8,6,11,29,11,18,19.8,10.9,9,20,SPA,24f59bb2
20,1591,17,18,14,2,0,24,22,2,28.3,21.7,6,20,SPA,253a06b9
15,1022,11,10,9,5,23,17,9,8,19.3,9.0,10,20,SPA,2784f898
34,2888,32,32,27,2,1,32,42,-10,32.9,38.6,-5,20,SPA,27a013f7
13,739,8,7,6,6,10,5,17,-12,7.9,17.3,-9,20,SPA,27d0a506
35,2316,25,24,19,11,3,29,34,-5,29.6,33.8,-4,20,SPA,283c7121
14,208,2,0,0,14,3,3,2,1,3.6,3.1,0,20,SPA,293211e1
6,439,4,4,4,2,8,5,2,3,5.8,4.8,1,20,SPA,2946f9a1
30,1088,12,7,5,23,8,13,31,-18,12.0,24.0,-12,20,SPA,29b61deb
34,2254,25,27,10,7,0,30,15,15,33.9,20.6,13,20,SPA,2a0c8ba4
3,51,0,0,0,3,8,2,2,0,0.7,1.1,0,20,SPA,2a8c9f98
6,238,2,2,2,4,9,11,0,11,6.6,2.6,4,20,SPA,2bef2bca
23,1768,19,18,16,5,4,21,34,-13,21.5,36.1,-14,20,SPA,2e3406ae
5,204,2,3,0,2,5,4,1,3,3.4,2.6,0,20,SPA,2e5e846d
4,360,4,4,4,0,31,10,5,5,6.8,4.5,2,20,SPA,2f965a72
28,2360,26,27,24,1,4,26,37,-11,28.5,35.5,-7,20,SPA,3024e383
4,360,4,4,4,0,34,11,8,3,9.5,6.4,3,20,SPA,307fcd26
8,181,2,2,0,6,5,5,0,5,3.6,1.8,1,20,SPA,31a1288d
35,2655,29,31,18,4,0,26,29,-3,29.7,42.2,-12,20,SPA,32974271
2,75,0,1,0,1,0,0,2,-2,1.3,2.0,0,20,SPA,32c0491f
31,2509,27,29,26,2,4,39,22,17,39.6,27.0,12,20,SPA,3353737a
30,2339,26,27,21,3,2,56,27,29,40.3,26.8,13,20,SPA,335fa267
23,1848,20,20,19,3,9,34,31,3,28.5,33.4,-4,20,SPA,33a61a52
14,936,10,11,6,3,3,10,14,-4,11.6,12.9,-1,20,SPA,34e393f2
31,2099,23,23,16,8,5,20,38,-18,22.7,36.4,-13,20,SPA,355c883a
2,29,0,0,0,2,8,1,1,0,0.6,0.2,0,20,SPA,3594a357
35,2188,24,24,12,11,1,19,35,-16,22.8,38.1,-15,20,SPA,360d70f8
36,2884,32,33,27,3,1,43,43,0,37.9,37.7,0,20,SPA,3624ce4c
1,10,0,0,0,1,7,0,0,0,0.1,0.1,0,20,SPA,3672b352
20,561,6,5,1,15,14,3,10,-7,6.1,7.0,0,20,SPA,36c5f77b
25,2250,25,25,25,0,13,38,32,6,34.2,29.5,4,20,SPA,374ee424
24,1115,12,12,2,12,10,8,18,-10,10.1,17.1,-7,20,SPA,379652be
12,378,4,4,0,8,5,3,8,-5,4.7,6.4,-1,20,SPA,37e103f8
2,180,2,2,2,0,9,2,2,0,1.6,2.6,-1,20,SPA,37f04799
35,2872,31,32,26,3,0,35,32,3,37.8,38.5,0,20,SPA,37f1cf47
29,1690,18,22,5,7,9,20,32,-12,23.6,32.2,-8,20,SPA,38126309
3,59,0,0,0,3,2,1,0,1,0.7,0.7,0,20,SPA,38ce1150
25,1236,13,14,2,11,4,11,17,-6,15.5,24.8,-9,20,SPA,3902e91b
30,2332,25,26,23,4,2,32,33,-1,33.3,30.5,2,20,SPA,3a9c4b7b
36,2031,22,21,9,15,1,31,40,-9,33.7,32.3,1,20,SPA,3aa4a3be
18,877,9,9,4,9,1,10,12,-2,10.5,12.0,-1,20,SPA,3c05c659
22,1535,17,16,13,6,1,20,31,-11,16.4,27.4,-11,20,SPA,3c16d927
26,2194,24,25,22,1,4,18,29,-11,23.2,25.7,-2,20,SPA,3c7bc9bd
25,1809,20,19,18,6,6,35,11,24,34.0,16.9,17,20,SPA,3cefcaef
28,1499,16,18,6,10,3,18,22,-4,18.2,17.0,1,20,SPA,3d688b46
1,2,0,0,0,1,8,0,0,0,0.0,0.1,0,20,SPA,3da1b6ed
8,406,4,5,0,3,5,3,7,-4,3.8,5.8,-2,20,SPA,3e016e5a
32,2793,31,31,31,1,2,38,48,-10,42.3,41.2,1,20,SPA,3e42f707
1,6,0,0,0,1,5,0,0,0,0.0,0.2,0,20,SPA,3e4f735d
32,2810,31,32,31,0,4,36,27,9,35.4,38.4,-3,20,SPA,3ecc11d8
9,524,5,6,5,3,4,9,8,1,6.7,5.2,1,20,SPA,3ee0dd59
13,949,10,10,10,3,12,24,12,12,16.8,8.2,8,20,SPA,3eed9821
38,3369,37,37,35,1,0,53,32,21,52.8,34.7,18,20,SPA,3f10bd22
23,1674,18,18,14,5,2,20,31,-11,21.0,28.6,-7,20,SPA,3f79a1c8
33,2970,33,33,33,0,2,38,32,6,38.5,41.5,-3,20,SPA,3fc45c73
15,1119,12,11,11,4,8,11,16,-5,12.5,19.4,-6,20,SPA,40449bbd
6,65,0,0,0,6,10,0,1,-1,0.4,1.3,0,20,SPA,407feb71
1,73,0,1,0,0,2,0,1,-1,0.4,0.6,0,20,SPA,4112ace5
2,13,0,0,0,2,5,1,0,1,0.4,0.5,0,20,SPA,41521385
29,2178,24,27,13,2,4,17,21,-4,21.3,32.6,-11,20,SPA,418f8f61
15,1043,11,12,9,3,13,8,21,-13,12.5,15.2,-2,20,SPA,41b3069f
24,1870,20,21,18,3,1,20,20,0,21.8,24.1,-2,20,SPA,41c12f75
34,2659,29,30,27,4,0,41,28,13,42.2,26.4,15,20,SPA,41f32541
13,209,2,1,0,12,11,2,3,-1,3.4,2.8,0,20,SPA,4207e578
29,1581,17,17,5,12,1,21,28,-7,20.4,26.6,-6,20,SPA,42276181
26,2259,25,26,24,0,3,21,38,-17,24.8,35.1,-10,20,SPA,4242011c
34,1886,21,23,5,11,2,20,19,1,19.6,21.5,-1,20,SPA,43f71e77
1,77,0,1,0,0,9,1,1,0,0.8,1.0,0,20,SPA,44150beb
30,1569,17,20,5,10,2,18,28,-10,20.5,29.3,-8,20,SPA,4442fbcd
9,336,3,3,0,6,2,9,3,6,7.2,3.4,3,20,SPA,45af8a54
17,1119,12,12,10,5,1,15,12,3,12.8,12.1,0,20,SPA,45e17712
2,22,0,0,0,2,6,1,1,0,0.3,0.1,0,20,SPA,45e304c8
27,2187,24,25,21,2,2,53,23,30,41.8,23.3,18,20,SPA,4601e194
6,109,1,0,0,6,1,2,2,0,1.4,2.5,-1,20,SPA,46166b49
29,2320,25,27,18,2,1,34,31,3,38.3,31.1,7,20,SPA,466824fb
31,1098,12,11,3,20,4,19,14,5,17.7,14.0,3,20,SPA,467bae22
5,362,4,4,2,1,2,2,3,-1,3.1,3.2,0,20,SPA,46a8347f
12,929,10,11,7,1,9,8,17,-9,9.7,13.4,-3,20,SPA,46bd3a5b
26,1128,12,10,3,16,8,9,15,-6,12.0,14.9,-2,20,SPA,46e07328
24,1167,13,13,4,11,8,16,15,1,16.6,12.9,3,20,SPA,4737cebe
28,2374,26,27,25,1,5,36,34,2,35.6,43.1,-7,20,SPA,474ecac8
4,195,2,2,2,2,1,2,4,-2,2.1,2.8,0,20,SPA,476ca810
12,641,7,7,5,5,20,8,11,-3,10.0,8.9,1,20,SPA,487d9b09
21,1182,13,14,4,7,6,32,11,21,21.9,14.2,7,20,SPA,48b3dd60
3,56,0,0,0,3,1,1,3,-2,0.4,1.6,-1,20,SPA,48e89655
31,2738,30,31,29,0,2,59,18,41,57.4,25.7,31,20,SPA,4958bfb2
10,681,7,9,2,1,15,9,9,0,10.2,9.4,0,20,SPA,49d028db
24,1442,16,21,4,3,1,22,14,8,17.5,20.1,-2,20,SPA,49ea92be
38,2519,28,29,11,9,0,32,38,-6,31.9,49.6,-17,20,SPA,4a478107
8,536,6,6,5,2,8,5,11,-6,6.0,9.8,-3,20,SPA,4a633cfe
17,1446,16,16,15,1,13,20,14,6,16.8,18.3,-1,20,SPA,4a895384
31,2245,24,27,17,4,2,26,33,-7,29.3,31.7,-2,20,SPA,4accb7e0
36,3237,36,36,35,0,1,61,44,17,60.9,42.7,18,20,SPA,4bd414c1
33,2143,23,25,11,8,1,29,30,-1,23.8,31.6,-7,20,SPA,4c2e9442
34,2060,22,25,5,9,1,32,33,-1,33.1,28.6,4,20,SPA,4c5b14d2
35,3144,34,35,34,0,1,34,42,-8,34.3,40.3,-6,20,SPA,4cee5954
29,2309,25,25,24,4,8,39,22,17,34.8,24.2,10,20,SPA,4d1666ff
35,3088,34,35,32,0,1,67,22,45,61.1,28.5,32,20,SPA,4d224fe8
17,430,4,4,1,13,10,9,5,4,11.0,5.3,5,20,SPA,4d8cd038
22,925,10,10,1,12,8,9,8,1,14.5,6.1,8,20,SPA,4dbd0916
6,531,5,5,5,1,27,7,12,-5,7.1,7.3,0,20,SPA,4df0dff8
17,785,8,8,1,9,0,16,10,6,13.6,10.0,3,20,SPA,4e219ad2
28,2424,26,28,24,0,6,61,28,33,49.4,27.1,22,20,SPA,4f28a6ff
1,15,0,0,0,1,8,1,0,1,0.1,0.0,0,20,SPA,518f2234
25,2102,23,23,23,2,6,31,20,11,36.8,20.8,16,20,SPA,51a3c4c8
16,1277,14,15,11,1,13,16,21,-5,17.0,20.5,-3,20,SPA,51e3954c
35,2549,28,29,21,6,0,39,18,21,40.7,23.0,17,20,SPA,529f49ab
34,2971,33,33,33,1,0,54,45,9,58.1,41.5,16,20,SPA,532e1e4f
9,184,2,1,0,8,5,5,3,2,2.8,3.2,0,20,SPA,53ddba36
25,1570,17,18,10,7,7,9,23,-14,17.4,18.1,0,20,SPA,54073b28
6,338,3,3,3,3,7,5,10,-5,5.8,7.2,-1,20,SPA,545e2f01
32,2698,30,30,26,2,0,45,20,25,47.3,25.5,21,20,SPA,55126f3b
11,990,11,11,11,0,27,5,18,-13,10.2,14.6,-4,20,SPA,5512b1a9
17,1217,13,15,10,2,14,17,9,8,22.3,11.0,11,20,SPA,555f3a0b
19,531,5,5,0,14,2,5,10,-5,7.4,8.6,-1,20,SPA,57be54ec
4,231,2,3,2,1,19,0,3,-3,2.3,1.6,0,20,SPA,58640e66
2,126,1,1,0,1,3,3,3,0,1.8,1.7,0,20,SPA,58a3a572
28,1596,17,21,3,7,5,26,16,10,23.1,15.4,7,20,SPA,58a9a4d9
35,3069,34,34,30,1,0,36,33,3,37.4,36.6,0,20,SPA,58afe001
14,623,6,6,4,8,17,8,13,-5,6.2,12.9,-6,20,SPA,59b7d823
37,2319,25,26,8,11,1,42,32,10,41.9,32.6,9,20,SPA,5a626448
33,2483,27,29,16,4,3,68,29,39,49.3,27.2,22,20,SPA,5ab0ea87
5,45,0,0,0,5,6,1,2,-1,1.5,0.6,0,20,SPA,5c4dc0ff
33,2640,29,29,26,4,4,45,39,6,36.5,36.4,0,20,SPA,5c7845f6
30,2188,24,25,11,5,0,31,38,-7,35.6,34.5,1,20,SPA,5c96b017
30,2545,28,29,21,1,3,43,35,8,35.3,30.6,4,20,SPA,5ca20b7a
3,216,2,3,2,0,1,2,3,-1,3.4,3.9,0,20,SPA,5ce0b5ba
18,993,11,11,2,7,1,19,15,4,23.6,16.2,7,20,SPA,5ceba7fc
14,531,5,2,0,12,1,6,6,0,9.7,4.9,4,20,SPA,5d5219b1
34,2991,33,34,33,0,1,38,29,9,34.6,43.6,-9,20,SPA,5dcf3e90
19,586,6,3,0,16,2,12,4,8,10.3,4.8,5,20,SPA,5eebbfdf
31,1996,22,22,10,9,1,45,14,31,39.3,19.0,20,20,SPA,6025fab1
15,1296,14,15,12,0,9,28,13,15,28.1,12.3,15,20,SPA,603116a7
8,497,5,6,4,2,7,4,7,-3,5.5,7.2,-1,20,SPA,60359288
14,706,7,7,3,7,3,8,12,-4,7.2,8.9,-1,20,SPA,605873e1
36,3240,36,36,36,0,2,38,60,-22,39.7,60.6,-20,20,SPA,605eb473
37,3156,35,35,30,2,0,45,46,-1,44.3,57.4,-13,20,SPA,61220da2
22,1218,13,15,3,7,5,12,17,-5,14.3,14.2,0,20,SPA,61b62b33
3,270,3,3,3,0,34,7,7,0,5.9,5.9,0,20,SPA,61bb7498
29,1960,21,23,13,6,7,24,31,-7,24.7,33.5,-8,20,SPA,61bd33d0
36,2782,30,31,21,5,1,31,47,-16,36.1,45.6,-9,20,SPA,6265208f
23,1354,15,18,2,5,12,14,15,-1,16.6,19.1,-2,20,SPA,636eae97
21,1349,15,15,7,6,2,17,21,-4,18.4,23.4,-5,20,SPA,63f04c6c
1,4,0,0,0,1,0,0,0,0,0.0,0.0,0,20,SPA,6435143e
34,2140,23,24,7,10,4,33,32,1,31.8,33.1,-1,20,SPA,64e8ed6d
1,13,0,0,0,1,10,1,0,1,0.5,0.2,0,20,SPA,65154df0
1,25,0,0,0,1,37,0,0,0,0.7,0.1,0,20,SPA,65d62814
2,88,1,1,0,1,4,2,2,0,1.6,1.9,0,20,SPA,6636496a
7,232,2,2,0,5,6,1,2,-1,1.2,2.4,-1,20,SPA,6763373d
3,270,3,3,3,0,34,3,3,0,3.7,3.4,0,20,SPA,67669ce7
33,1671,18,16,8,17,3,48,18,30,37.4,18.3,19,20,SPA,67cdbc0e
27,1811,20,20,10,7,1,19,34,-15,21.7,28.8,-7,20,SPA,6922f806
23,1777,19,21,16,2,11,21,21,0,22.9,24.3,-1,20,SPA,697295b1
35,3060,34,35,33,0,0,38,37,1,36.2,37.400000000000006,-1,20,SPA,69cbc8b6
38,2939,32,34,11,4,0,35,30,5,34.8,39.6,-4,20,SPA,6a99e0b1
36,2583,28,28,21,8,1,46,37,9,45.4,32.8,12,20,SPA,6bb2c084
21,907,10,9,4,12,9,15,13,2,12.600000000000001,12.700000000000001,0,20,SPA,6c811eb7
35,2652,29,31,22,4,2,45,17,28,48.8,24.7,24,20,SPA,6ce1f46f
17,989,11,11,6,6,20,9,16,-7,12.7,18.8,-6,20,SPA,6d8f8441
8,242,2,3,0,5,7,4,4,0,5.0,3.5,1,20,SPA,6dce77a5
36,3240,36,36,36,0,1,79,36,43,60.7,37.3,23,20,SPA,6f51e382
14,714,7,8,4,6,11,9,12,-3,9.5,11.8,-2,20,SPA,6f5f82c0
37,3141,34,36,21,1,1,63,22,41,60.5,30.6,29,20,SPA,70d74ece
26,1997,22,21,19,5,8,17,31,-14,24.1,27.6,-3,20,SPA,70d8e84c
