matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp,id
19,745,8,8,3,11,7,3,14,-11,6.5,14.7,-8,18,ENG,26679cdf
36,2165,24,21,14,15,1,26,23,3,23.0,32.6,-9,18,ENG,2691c772
27,2042,22,23,14,4,0,30,44,-14,22.2,34.4,-12,18,ENG,26f6dca8
16,849,9,9,3,7,6,6,8,-2,6.8,11.3,-4,18,ENG,27d7453c
38,3420,38,38,38,0,0,34,54,-20,37.0,50.8,-13,18,ENG,282f75f3
27,2371,26,27,26,0,2,26,40,-14,25.7,41.1,-15,18,ENG,285a3d44
28,1922,21,23,7,5,8,34,10,24,33.4,16.6,16,18,ENG,29733c72
12,360,4,3,1,9,9,11,7,4,4.8,3.6,1,18,ENG,2973d8ff
32,1386,15,15,6,17,5,27,18,9,25.1,12.5,12,18,ENG,2acd49b9
29,2237,24,25,20,4,6,32,42,-10,28.0,40.1,-12,18,ENG,2afc7272
32,2419,26,27,18,5,2,72,22,50,53.2,17.5,35,18,ENG,2b114be3
25,1720,19,20,12,5,6,18,31,-13,19.4,26.5,-7,18,ENG,2b471f99
6,210,2,2,0,4,6,6,6,0,3.9,3.3,0,18,ENG,2b622f01
20,1746,19,19,19,1,14,21,30,-9,22.5,30.0,-7,18,ENG,2b91cf8e
1,1,0,0,0,1,3,0,0,0,0.0,0.0,0,18,ENG,2baec6ce
31,2546,28,29,18,2,1,48,32,16,44.6,30.5,14,18,ENG,2c0f8e9e
36,3080,34,35,32,1,1,42,52,-10,46.8,45.8,1,18,ENG,2ce2508a
22,1940,21,22,19,0,5,53,18,35,43.3,15.9,27,18,ENG,2e4f5f03
13,960,10,11,7,2,11,10,13,-3,8.7,15.2,-6,18,ENG,2f4c5a52
36,3149,35,36,31,0,0,26,50,-24,28.4,53.3,-24,18,ENG,2f72f79e
16,774,8,9,5,7,5,16,9,7,12.1,8.9,3,18,ENG,2f7acede
32,1775,19,16,13,16,5,40,25,15,36.0,19.4,16,18,ENG,2f90f6b8
29,1911,21,22,8,7,0,32,30,2,25.1,29.6,-4,18,ENG,2ff964a0
1,1,0,0,0,1,2,0,0,0,0.0,0.0,0,18,ENG,31dce0c8
28,2306,25,27,20,1,2,40,41,-1,32.7,31.3,1,18,ENG,3201b03d
25,2065,22,23,21,2,5,24,39,-15,22.1,34.5,-12,18,ENG,3233eefd
19,1710,19,19,19,0,19,40,14,26,36.1,13.6,22,18,ENG,32e7ce92
24,1745,19,21,15,3,3,22,30,-8,26.6,24.7,1,18,ENG,3312f911
32,2307,25,25,15,7,4,40,26,14,37.9,22.8,15,18,ENG,33508c78
30,1716,19,20,10,10,7,20,29,-9,19.4,21.0,-1,18,ENG,3515d404
12,797,8,10,7,2,7,15,16,-1,13.8,13.5,0,18,ENG,356a9a62
2,150,1,2,1,0,0,4,3,1,2.6,2.8,0,18,ENG,3680d723
18,1620,18,18,18,0,19,17,26,-9,16.2,19.9,-3,18,ENG,36c2ca73
30,2270,25,25,20,5,3,25,28,-3,26.7,35.4,-8,18,ENG,3727dd3c
16,478,5,4,2,12,4,10,10,0,8.0,7.4,0,18,ENG,381d7d54
28,2460,27,28,26,0,1,29,27,2,23.2,35.5,-12,18,ENG,3831b9fe
