y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp,id
2,0,0,28,16,2,0,0,0,139,25,12,37,18,ENG,2b471f99
0,0,0,4,7,0,0,0,0,12,4,1,5,18,ENG,2b622f01
3,0,0,17,13,0,0,2,0,95,38,37,75,18,ENG,2b91cf8e
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,2baec6ce
5,0,0,31,75,26,1,0,0,109,20,42,62,18,ENG,2c0f8e9e
8,0,0,69,33,1,0,0,0,274,48,43,91,18,ENG,2ce2508a
2,0,0,15,4,5,0,0,0,140,15,9,24,18,ENG,2e4f5f03
4,0,0,9,15,0,0,0,0,66,6,2,8,18,ENG,2f4c5a52
7,0,0,27,25,2,0,2,0,155,46,34,80,18,ENG,2f72f79e
0,0,0,8,7,0,0,0,0,53,4,6,10,18,ENG,2f7acede
3,0,0,29,22,0,0,0,0,125,23,18,41,18,ENG,2f90f6b8
2,0,0,21,20,1,2,0,0,82,9,19,28,18,ENG,2ff964a0
0,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,31dce0c8
4,0,0,21,10,0,0,1,0,130,39,45,84,18,ENG,3201b03d
2,0,0,8,15,0,0,0,0,123,65,41,106,18,ENG,3233eefd
1,0,0,2,3,0,0,2,0,35,7,1,8,18,ENG,32e7ce92
3,0,0,18,8,0,0,0,0,113,38,49,87,18,ENG,3312f911
5,2,1,25,22,5,0,0,0,171,10,22,32,18,ENG,33508c78
3,0,0,18,12,0,0,0,0,98,21,47,68,18,ENG,3515d404
3,1,0,8,6,0,0,0,0,45,27,19,46,18,ENG,356a9a62
0,0,0,1,0,0,0,0,0,7,8,3,11,18,ENG,3680d723
2,0,0,0,1,0,0,0,0,15,10,0,10,18,ENG,36c2ca73
3,3,1,23,8,0,0,0,0,199,20,13,33,18,ENG,3727dd3c
0,0,0,8,7,4,0,0,0,27,11,16,27,18,ENG,381d7d54
1,0,0,11,29,3,0,0,0,105,54,28,82,18,ENG,3831b9fe
0,0,0,0,0,1,0,0,0,1,2,4,6,18,ENG,38aefb74
3,0,0,17,10,3,0,0,0,113,14,33,47,18,ENG,38c7feef
0,0,0,3,5,1,0,0,0,4,6,9,15,18,ENG,3925dbd6
3,0,0,32,10,1,0,0,0,134,47,32,79,18,ENG,3935e52e
0,0,0,3,5,1,1,0,0,24,0,6,6,18,ENG,39583cfd
0,0,0,1,1,0,0,0,0,3,2,2,4,18,ENG,3a24769f
0,0,0,0,2,0,0,0,0,11,2,0,2,18,ENG,3a949a25
1,0,0,5,11,0,0,0,0,49,10,16,26,18,ENG,3bb625ac
1,0,0,0,6,0,0,0,0,81,11,0,11,18,ENG,3bb7b8b4
0,0,0,0,0,0,0,0,0,2,0,0,0,18,ENG,3be1a627
0,0,0,0,0,0,0,0,0,2,0,0,0,18,ENG,3c066877
1,0,0,9,18,15,0,0,0,99,0,18,18,18,ENG,3ca7254a
5,0,0,28,26,1,0,0,0,76,41,22,63,18,ENG,3cefa66a
5,0,0,22,19,1,0,0,1,138,132,68,200,18,ENG,3e5e4e63
6,0,0,35,22,4,0,0,0,133,115,62,177,18,ENG,3e9e06cb
0,0,0,1,0,0,0,0,0,0,1,0,1,18,ENG,3ea50f67
0,0,0,9,27,0,1,0,0,73,5,14,19,18,ENG,3eb22ec9
6,0,0,26,12,2,0,0,0,158,121,73,194,18,ENG,3f2d59fe
1,0,0,8,11,0,0,1,0,73,54,34,88,18,ENG,3fe6bd8c
0,0,0,1,4,0,0,0,0,8,0,3,3,18,ENG,407feb71
1,0,0,3,1,0,0,0,0,28,7,17,24,18,ENG,4115ce4e
1,0,0,3,7,1,0,0,0,36,10,5,15,18,ENG,422862ea
3,0,0,45,56,4,1,0,0,132,67,82,149,18,ENG,43458538
1,0,0,2,0,0,0,0,0,3,0,0,0,18,ENG,434ad289
5,0,0,28,28,2,0,0,0,104,9,10,19,18,ENG,436a9dd0
0,0,0,0,0,0,0,0,0,0,0,1,1,18,ENG,43a166b4
2,0,0,7,30,4,1,0,0,99,5,24,29,18,ENG,4468ec10
3,0,0,24,25,0,0,0,0,110,45,50,95,18,ENG,44781702
5,0,0,16,12,0,0,0,0,179,128,56,184,18,ENG,450ab6fc
0,0,0,0,1,0,0,0,0,24,12,0,12,18,ENG,4535e4bb
2,0,0,4,1,0,0,0,0,8,2,7,9,18,ENG,453f566a
3,0,0,29,27,44,3,0,0,73,75,123,198,18,ENG,45963054
3,0,0,14,4,1,0,0,0,114,26,17,43,18,ENG,45da6694
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,46b5375e
3,0,0,22,11,1,0,0,0,169,41,39,80,18,ENG,46ee5234
3,1,0,4,6,1,0,0,0,79,6,13,19,18,ENG,47a34c4f
4,0,0,26,16,2,0,0,0,266,32,38,70,18,ENG,47b7e3af
0,0,0,1,6,0,0,1,0,47,16,1,17,18,ENG,4806ec67
1,0,0,4,4,1,0,0,0,8,14,12,26,18,ENG,4830e0af
2,0,0,13,10,0,0,0,0,84,9,5,14,18,ENG,495945ef
0,0,0,1,2,0,0,0,0,7,2,4,6,18,ENG,49b05a83
0,0,0,5,5,1,1,0,0,28,0,8,8,18,ENG,4a537185
2,0,0,43,29,18,0,0,0,121,72,81,153,18,ENG,4ab53cdb
3,0,0,1,2,0,0,1,0,18,12,1,13,18,ENG,4b40d9ca
11,0,0,53,37,3,0,0,0,255,96,80,176,18,ENG,4b511457
1,0,0,57,18,13,1,0,0,139,46,131,177,18,ENG,4c370d81
0,0,0,1,1,2,0,0,0,8,5,2,7,18,ENG,4cde5509
2,0,0,10,17,16,0,0,0,59,10,19,29,18,ENG,4d034881
1,0,0,18,16,27,0,0,0,46,83,104,187,18,ENG,4e9a0555
7,0,0,20,15,3,0,0,0,149,57,47,104,18,ENG,4f974391
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5167c97e
0,0,0,0,2,1,0,0,0,18,7,7,14,18,ENG,51a3caf1
5,2,1,39,17,0,0,1,0,170,35,37,72,18,ENG,51b41c5c
1,0,0,7,1,2,0,0,0,32,16,3,19,18,ENG,51cf8561
4,0,0,12,3,2,0,1,0,72,48,33,81,18,ENG,52105203
2,0,0,6,1,0,0,0,0,21,5,4,9,18,ENG,5271c8f1
7,0,0,35,12,5,0,0,1,91,15,22,37,18,ENG,53538b39
3,0,0,0,6,0,0,0,1,42,11,0,11,18,ENG,53af52f3
1,0,0,25,13,1,0,0,1,207,80,53,133,18,ENG,53cad200
4,0,0,24,12,2,0,0,0,183,100,82,182,18,ENG,5540c9dc
5,0,0,14,15,0,0,0,0,80,43,24,67,18,ENG,562eed5c
1,0,0,2,2,0,0,0,0,12,9,4,13,18,ENG,56f6f826
2,0,0,4,6,5,1,0,0,8,16,26,42,18,ENG,57c433c8
5,0,0,30,30,2,0,0,0,143,23,19,42,18,ENG,57df7a11
2,0,0,31,39,1,0,0,0,125,24,14,38,18,ENG,580d52dd
4,2,1,50,24,2,0,0,0,169,40,34,74,18,ENG,59bf127b
4,0,0,43,27,15,4,0,0,65,133,168,301,18,ENG,59e6e5bf
