att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp,id
8,4,7,1,0,3,7,4,7,3,4,7,15,21,1,18,ENG,1a4ef233
17,16,9,7,1,4,11,7,22,6,16,22,39,77,0,18,ENG,1ae30132
15,9,10,5,0,8,8,0,5,2,3,5,20,20,0,18,ENG,1b780599
0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,18,ENG,1b7ec703
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,ENG,1bebde9d
9,5,6,3,0,4,9,5,6,2,4,9,18,16,0,18,ENG,1bf811d4
36,24,25,10,1,15,25,10,19,13,6,27,63,77,1,18,ENG,1c7012b8
26,13,23,3,0,10,15,5,25,17,8,39,65,109,5,18,ENG,1cb49278
10,5,2,6,2,2,8,6,5,0,5,2,12,5,0,18,ENG,1d387eee
3,1,1,2,0,0,3,3,6,2,4,3,6,15,0,18,ENG,1d6ac165
25,18,10,13,2,4,16,12,16,1,15,32,57,23,0,18,ENG,1d8c99b0
49,34,26,16,7,24,43,19,29,18,11,49,98,194,4,18,ENG,1e0b6a73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1e26e376
28,19,13,13,2,7,15,8,9,0,9,9,37,12,0,18,ENG,1ecb65be
71,47,43,26,2,24,51,27,70,25,45,61,132,127,5,18,ENG,1ef37668
33,20,19,13,1,14,22,8,12,6,6,32,65,71,0,18,ENG,1f9a3a04
50,36,33,16,1,24,53,29,46,8,38,31,81,73,0,18,ENG,20b104bc
2,1,2,0,0,1,1,0,5,4,1,3,5,7,0,18,ENG,210d9ecb
52,30,29,21,2,21,44,23,31,6,25,20,72,53,1,18,ENG,21512407
2,1,0,2,0,1,4,3,1,1,0,1,3,1,0,18,ENG,21a66e33
17,12,2,8,7,4,15,11,15,4,11,5,22,19,0,18,ENG,21a66f6a
61,35,38,15,8,27,46,19,17,4,13,42,103,130,2,18,ENG,22551915
46,29,16,22,8,11,35,24,38,2,36,19,65,29,1,18,ENG,2475dcc6
6,4,5,1,0,3,3,0,2,0,2,3,9,6,0,18,ENG,24fae784
2,2,0,1,1,0,1,1,4,1,3,1,3,2,0,18,ENG,25b166d0
32,22,23,8,1,16,24,8,24,14,10,39,71,127,0,18,ENG,25f50295
15,10,6,8,1,3,17,14,10,2,8,8,23,7,0,18,ENG,2649ff32
18,11,10,7,1,6,26,20,11,4,7,12,30,9,0,18,ENG,26679cdf
21,14,1,14,6,5,29,24,26,5,21,2,23,19,0,18,ENG,2691c772
20,11,6,11,3,2,34,32,7,1,6,30,50,5,2,18,ENG,26f6dca8
7,5,3,4,0,2,10,8,10,1,9,2,9,12,0,18,ENG,27d7453c
67,33,49,18,0,25,48,23,73,58,15,71,138,230,2,18,ENG,282f75f3
36,20,25,9,2,13,25,12,33,23,10,40,76,224,1,18,ENG,285a3d44
18,13,4,12,2,2,24,22,10,0,10,15,33,10,1,18,ENG,29733c72
5,4,2,3,0,1,3,2,0,0,0,1,6,3,0,18,ENG,2973d8ff
23,17,14,5,4,9,12,3,11,1,10,9,32,23,1,18,ENG,2acd49b9
67,35,37,30,0,26,69,43,33,12,21,35,102,25,2,18,ENG,2afc7272
27,21,14,7,6,8,22,14,22,1,21,13,40,6,0,18,ENG,2b114be3
55,40,21,29,5,12,30,18,18,6,12,36,91,36,4,18,ENG,2b471f99
4,2,3,0,1,1,3,2,2,0,2,2,6,2,0,18,ENG,2b622f01
25,17,17,8,0,11,21,10,15,10,5,17,42,144,1,18,ENG,2b91cf8e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,2baec6ce
41,26,19,8,14,11,59,48,13,2,11,23,64,1,0,18,ENG,2c0f8e9e
85,52,40,37,8,31,86,55,50,12,38,71,156,81,3,18,ENG,2ce2508a
31,17,19,9,3,15,29,14,22,2,20,26,57,56,0,18,ENG,2e4f5f03
19,16,10,7,2,6,23,17,18,5,13,9,28,6,0,18,ENG,2f4c5a52
34,26,18,10,6,12,29,17,21,4,17,31,65,81,0,18,ENG,2f72f79e
15,12,8,5,2,8,16,8,12,2,10,11,26,10,1,18,ENG,2f7acede
58,45,18,32,8,15,39,24,33,5,28,21,79,23,0,18,ENG,2f90f6b8
37,24,15,19,3,7,41,34,33,6,27,19,56,27,0,18,ENG,2ff964a0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,31dce0c8
38,22,31,6,1,22,45,23,31,19,12,34,72,132,1,18,ENG,3201b03d
33,23,24,9,0,8,21,13,30,20,10,39,72,179,1,18,ENG,3233eefd
0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,18,ENG,32e7ce92
57,36,35,20,2,23,43,20,34,8,26,24,81,67,0,18,ENG,3312f911
68,49,30,29,9,18,69,51,25,4,21,22,90,26,2,18,ENG,33508c78
23,16,9,11,3,3,27,24,29,1,28,8,31,31,0,18,ENG,3515d404
15,11,10,5,0,6,11,5,9,1,8,12,27,45,1,18,ENG,356a9a62
3,2,0,3,0,0,0,0,4,2,2,2,5,15,0,18,ENG,3680d723
0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,18,ENG,36c2ca73
39,24,17,21,1,8,26,18,26,5,21,28,67,33,0,18,ENG,3727dd3c
7,6,5,0,2,2,9,7,2,0,2,1,8,2,0,18,ENG,381d7d54
39,31,27,8,4,20,42,22,27,12,15,42,81,126,0,18,ENG,3831b9fe
2,1,0,2,0,1,1,0,1,1,0,1,3,0,0,18,ENG,38aefb74
37,24,15,16,6,8,24,16,29,2,27,26,63,22,0,18,ENG,38c7feef
1,1,0,1,0,0,1,1,1,0,1,0,1,2,0,18,ENG,3925dbd6
49,37,28,13,8,20,39,19,15,3,12,26,75,56,0,18,ENG,3935e52e
5,3,2,2,1,2,11,9,0,0,0,4,9,3,1,18,ENG,39583cfd
0,0,0,0,0,0,1,1,3,1,2,0,0,2,0,18,ENG,3a24769f
0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,18,ENG,3a949a25
17,9,10,7,0,9,21,12,13,1,12,16,33,8,0,18,ENG,3bb625ac
1,1,1,0,0,0,0,0,1,0,1,0,1,15,6,18,ENG,3bb7b8b4
0,0,0,0,0,0,1,1,2,0,2,1,1,1,0,18,ENG,3be1a627
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,18,ENG,3c066877
20,11,6,8,6,5,18,13,13,1,12,13,33,7,1,18,ENG,3ca7254a
44,32,18,21,5,13,30,17,18,4,14,12,56,24,3,18,ENG,3cefa66a
37,19,28,7,2,19,29,10,63,45,18,54,91,232,4,18,ENG,3e5e4e63
38,28,25,7,6,13,36,23,39,26,13,52,90,140,0,18,ENG,3e9e06cb
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3ea50f67
27,18,11,9,7,6,30,24,17,1,16,10,37,12,1,18,ENG,3eb22ec9
64,46,42,18,4,28,54,26,23,15,8,57,121,175,2,18,ENG,3f2d59fe
28,19,21,7,0,13,27,14,27,10,17,23,51,107,1,18,ENG,3fe6bd8c
1,0,1,0,0,0,0,0,3,0,3,1,2,0,0,18,ENG,407feb71
6,3,6,0,0,3,6,3,2,1,1,5,11,27,0,18,ENG,4115ce4e
9,6,2,6,1,2,5,3,6,5,1,6,15,6,0,18,ENG,422862ea
36,26,11,17,8,4,27,23,23,3,20,4,40,14,1,18,ENG,43458538
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,ENG,434ad289
56,29,32,20,4,20,69,49,33,6,27,34,90,22,2,18,ENG,436a9dd0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,43a166b4
