fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
0,3,0,5.5,-1.5,12,52,87,17,3262.5,24,1106,38,4,48,16.2,14,23,ENG,e7ee38c3
0,1,0,12.2,-1.8,45,144,205,38,7872.0,63,2866,126,6,96,12.0,41,23,ENG,ecada4fc
0,8,2,22.1,-6.9,70,146,215,47,7009.0,109,4981,206,5,38,9.6,64,23,ENG,fe558029
1,2,0,11.5,2.5,84,165,361,84,11840.8,96,4195,196,11,185,14.3,59,18,ITA,01b8a2b2
1,5,2,40.8,-0.2,179,437,632,80,24521.6,226,11187,429,13,248,13.1,146,18,ITA,03760df0
2,11,4,56.3,1.3,249,620,799,176,29403.2,394,16823,651,16,144,10.3,258,18,ITA,048877f5
1,1,0,5.6,-2.4,10,30,41,6,1750.7,10,493,31,1,11,11.0,7,18,ITA,085e71a7
0,4,1,38.9,-2.1,174,392,968,150,28749.6,267,10092,487,16,549,14.1,121,18,ITA,08f5afaa
0,1,0,4.7,-2.3,11,25,30,10,906.0,24,1176,33,0,0,11.0,17,18,ITA,0d422df7
3,5,0,47.0,2.0,237,541,987,198,33656.7,319,14131,621,32,676,13.8,190,18,ITA,10dc46f0
0,1,0,5.0,0.0,32,76,123,30,4182.0,42,2150,58,1,86,17.3,31,18,ITA,18736214
1,4,3,41.8,-1.2,334,683,942,138,36267.0,318,15677,632,17,521,14.1,233,18,ITA,30223b33
4,9,2,64.5,-4.5,363,878,1038,247,42661.8,399,21945,728,49,406,12.7,324,18,ITA,326d09ef
1,9,4,44.6,-3.4,253,576,791,141,30058.0,300,14640,525,25,393,13.1,216,18,ITA,32b9b5fa
2,3,2,51.3,4.3,217,466,884,180,30232.8,307,11911,437,18,518,14.8,125,18,ITA,339fe0e8
0,0,0,0.6,0.6,2,4,14,2,355.6,5,185,7,2,0,13.8,2,18,ITA,343f753a
0,0,0,2.1,1.1,8,14,14,1,592.2,8,452,17,0,0,9.0,7,18,ITA,349601c3
0,2,1,8.5,-1.5,28,93,115,23,4439.0,42,2154,80,1,22,11.1,34,18,ITA,41bd99ea
1,2,2,42.2,2.2,330,769,919,125,37495.2,347,19432,541,24,327,13.1,292,18,ITA,4c62d0c8
1,2,2,33.3,3.3,61,194,334,80,21342.6,124,9448,244,13,414,31.9,100,18,ITA,4f8ce0e1
0,0,0,1.1,0.1,15,37,31,4,1472.5,15,856,25,2,11,11.5,15,18,ITA,61228681
0,6,0,26.0,-5.0,87,263,384,63,15129.6,116,5927,204,20,440,16.3,80,18,ITA,6989550f
1,1,4,30.5,4.5,127,280,808,250,21088.8,312,11200,546,20,322,14.0,129,18,ITA,74419746
0,2,0,35.4,7.4,213,416,1069,239,34314.9,252,10332,469,17,1701,18.9,107,18,ITA,7a2e46a8
0,1,0,0.3,-0.7,1,1,3,2,99.9,0,0,1,0,0,0.0,0,18,ITA,7b5f516f
3,7,1,50.5,-6.5,277,599,813,182,31950.9,296,14504,606,22,273,11.9,214,18,ITA,8cabdc1e
0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,18,ITA,8cf63012
0,2,2,19.6,5.6,93,247,264,30,10639.2,131,6589,211,3,0,10.7,104,18,ITA,9413b19f
0,0,0,0.5,-0.5,5,21,40,6,1464.0,8,502,16,1,12,12.5,7,18,ITA,9fa26bc2
0,0,0,2.5,-0.5,2,10,12,3,369.6,10,483,18,0,0,8.8,7,18,ITA,a4ec7d09
0,0,0,0.6,0.6,7,13,30,11,942.0,7,265,15,0,41,20.7,4,18,ITA,ab4449d6
2,4,0,36.7,-1.3,152,376,773,202,24813.3,270,10449,508,31,278,12.1,126,18,ITA,ac4003af
0,4,0,41.2,3.2,136,322,593,146,39908.9,198,16889,354,28,1105,30.700000000000003,221,18,ITA,b39dfab0
1,5,2,44.8,3.8,161,486,571,103,25181.1,221,10784,415,13,276,13.8,148,18,ITA,cecbce23
0,3,0,12.1,1.1,64,157,158,25,6335.8,91,4468,153,4,28,9.5,72,18,ITA,dd06d56c
2,3,0,26.3,-2.7,147,333,950,177,28500.0,235,8577,353,8,1071,18.8,86,18,ITA,e358587b
0,2,2,17.5,5.5,84,191,474,97,15120.6,150,5520,242,3,266,14.0,58,18,ITA,e40d028b
3,13,0,63.7,-2.3,312,916,824,98,39387.2,355,20803,691,8,441,13.8,327,18,ITA,e66ebabb
2,2,0,33.3,-0.7,183,412,609,169,21010.5,233,12582,396,18,352,14.1,190,18,ITA,ee833569
0,0,1,1.3,1.3,3,23,27,7,1061.1,12,550,19,0,0,5.0,9,18,ITA,f058ed1f
0,1,0,5.6,1.6,22,51,145,24,4335.5,50,2245,90,2,78,15.7,26,18,ITA,f0f7f62f
4,1,1,43.7,-2.3,219,484,548,127,21152.8,255,14509,454,26,159,10.6,218,18,ITA,f554e29b
0,0,0,0.7,-0.3,0,0,5,3,135.0,0,0,7,1,0,7.0,0,18,ITA,f6a06749
0,3,1,25.1,6.1,140,255,537,122,17559.9,205,7974,358,9,423,15.7,83,19,ITA,01b8a2b2
0,2,0,24.0,-1.0,120,275,421,45,15829.6,163,7106,239,5,110,12.3,89,19,ITA,03760df0
2,6,2,49.6,-8.4,201,462,603,94,22311.0,296,12313,506,8,76,9.6,186,19,ITA,048877f5
0,0,0,0.0,0.0,0,0,3,0,56.1,0,0,0,0,0,17.0,0,19,ITA,07f55871
0,3,0,27.8,1.8,77,250,407,101,29466.8,184,16118,266,10,565,24.6,196,19,ITA,085e71a7
1,5,1,34.8,4.8,146,305,873,203,24007.5,300,10950,546,15,281,12.8,125,19,ITA,08f5afaa
1,0,0,3.8,-1.2,13,40,59,15,2129.9,15,763,34,3,0,7.0,11,19,ITA,0acda699
0,4,0,40.7,5.7,287,635,823,119,31274.0,300,15300,539,26,500,13.9,246,19,ITA,10dc46f0
0,4,1,29.3,-5.7,73,185,361,103,12454.5,123,4920,279,12,97,12.2,57,19,ITA,277da414
0,2,0,10.5,4.5,72,160,227,41,8035.8,91,4668,166,2,79,13.3,70,19,ITA,30223b33
2,4,3,43.7,7.7,173,452,848,170,29510.4,243,10060,476,11,429,15.9,114,19,ITA,339fe0e8
1,8,4,55.7,0.7,319,736,752,140,29929.6,466,23999,831,36,122,9.4,364,19,ITA,343f753a
0,0,0,13.4,0.4,65,140,171,33,6156.0,93,4278,142,2,40,10.0,64,19,ITA,41bd99ea
0,1,0,8.4,0.4,36,79,161,39,4991.0,68,2720,116,2,30,10.1,31,19,ITA,4c62d0c8
1,5,3,32.7,-4.3,158,436,750,164,27150.0,262,11213,522,15,411,14.2,139,19,ITA,4e7db402
0,1,0,2.6,0.6,24,55,60,9,2490.0,27,1347,43,1,12,12.0,22,19,ITA,514f0896
2,6,1,49.5,-0.5,123,370,860,181,24682.0,297,11612,587,25,720,15.0,147,19,ITA,649b01d8
0,7,1,45.2,0.2,242,698,661,100,30868.7,294,18139,522,14,162,11.6,270,19,ITA,67f649be
0,0,1,0.9,-0.1,5,16,24,5,840.0,15,559,29,0,0,6.5,7,19,ITA,71dac2c2
1,3,3,33.1,3.1,140,299,901,203,24597.3,265,9831,492,16,391,14.5,110,19,ITA,74419746
0,1,0,2.0,-1.0,2,8,26,8,709.8,9,366,16,0,32,16.0,4,19,ITA,77e401c7
0,0,0,0.0,0.0,1,1,1,0,50.0,0,0,0,0,0,0.0,0,19,ITA,7b5f516f
0,0,0,0.2,0.2,11,24,45,8,1561.5,14,630,19,0,16,16.5,8,19,ITA,806f7a26
1,3,0,16.4,-3.6,43,134,347,70,10236.5,115,4473,186,12,130,13.0,51,19,ITA,82b1198a
0,0,0,8.1,1.1,28,99,182,38,5896.8,63,2935,109,4,84,14.1,38,19,ITA,85b011bb
0,1,0,0.9,-0.1,12,23,26,3,1149.2,6,324,10,0,25,25.0,5,19,ITA,85ea4399
0,10,2,54.3,0.3,178,436,887,159,29004.9,286,10753,590,16,397,13.7,129,19,ITA,8cabdc1e
0,1,0,10.0,1.0,29,100,252,42,7257.6,99,3989,190,2,103,12.9,47,19,ITA,9413b19f
0,1,0,3.0,-1.0,8,32,57,20,1920.9,21,1035,27,1,10,10.1,11,19,ITA,9fa26bc2
0,6,1,42.4,3.4,237,540,559,106,21577.4,313,16025,593,17,98,9.8,255,19,ITA,a111cf41
1,4,1,50.6,-4.4,251,543,776,225,28246.4,353,16485,599,32,158,11.3,224,19,ITA,ab4449d6
2,8,1,54.7,-8.3,178,532,882,222,30693.6,341,16197,584,20,289,13.8,211,19,ITA,ac4003af
0,1,0,4.7,-2.3,6,13,19,3,704.9,5,235,6,0,39,19.7,3,19,ITA,c4f573f4
0,0,0,4.2,0.2,17,35,42,5,1738.8,22,1034,37,1,38,19.2,14,19,ITA,c8a88acd
0,7,0,23.0,-4.0,113,286,531,121,18054.0,151,6477,263,7,121,12.1,80,19,ITA,cecbce23
0,1,1,12.100000000000001,0.10000000000000003,32,94,221,52,14077.7,82,5608,144,2,224,28.1,56,19,ITA,e1b0a70d
0,0,0,4.2,-0.8,14,40,90,18,2907.0,24,1024,51,4,22,11.4,12,19,ITA,e358587b
0,5,1,37.0,-4.0,142,324,652,159,21776.8,214,9651,413,10,362,14.5,110,19,ITA,e7ee38c3
1,5,3,18.2,-3.8,91,199,345,90,10453.5,135,6979,208,8,275,14.5,108,19,ITA,ee833569
0,1,0,8.1,0.1,44,115,143,26,5691.4,52,2865,148,11,27,9.1,47,19,ITA,f02dde20
0,2,0,3.8,-0.2,17,37,45,9,1579.5,29,1281,33,1,0,7.3,19,19,ITA,f058ed1f
2,1,0,21.2,0.2,95,257,454,83,15072.8,137,7370,240,4,534,17.8,101,19,ITA,f0f7f62f
2,4,2,61.5,9.5,337,722,884,175,32619.6,369,19778,646,25,396,12.8,292,19,ITA,f554e29b
1,0,0,1.0,-1.0,6,10,22,6,677.6,14,501,15,0,0,5.0,5,19,ITA,f6a06749
0,1,1,7.4,-1.6,25,51,80,11,2824.0,34,1587,58,0,132,22.1,19,19,ITA,f794b426
1,3,0,37.1,4.1,82,165,560,155,16464.0,195,5031,355,11,625,16.9,34,20,ITA,01b8a2b2
2,5,0,42.7,-0.3,109,338,677,196,22747.2,221,8641,440,13,426,14.2,102,20,ITA,085e71a7
0,4,1,39.7,-1.3,177,406,878,178,27481.4,259,9557,473,27,514,13.9,122,20,ITA,08f5afaa
1,6,1,44.9,2.9,182,687,650,74,28405.0,330,18249,547,17,165,11.0,277,20,ITA,0d422df7
1,1,0,6.2,-1.8,12,33,47,10,1753.1,14,918,23,0,12,12.6,13,20,ITA,0dfce079
0,1,0,3.2,-0.8,8,21,42,10,1302.0,27,699,36,2,0,10.3,8,20,ITA,0f47717b
3,6,3,59.1,-1.9,243,523,823,112,29134.2,333,13686,588,22,259,14.4,194,20,ITA,10dc46f0
0,0,0,0.2,-0.8,0,2,22,4,594.0,4,63,8,0,33,33.0,0,20,ITA,18736214
1,4,0,44.3,-0.7,143,317,838,175,26313.2,208,7259,373,9,800,18.2,73,20,ITA,20b9f052
0,0,0,0.4,-0.6,9,16,20,6,618.0,15,613,13,0,0,9.3,9,20,ITA,28a15394
0,0,0,8.7,3.7,24,49,142,30,4359.4,29,820,83,1,119,14.9,5,20,ITA,30223b33
1,7,1,44.4,3.4,148,368,938,143,29265.6,291,7566,474,10,244,13.6,68,20,ITA,339fe0e8
1,10,0,54.8,1.8,225,471,801,115,29717.1,327,10464,624,20,122,12.2,131,20,ITA,343f753a
2,1,1,18.9,-9.1,55,155,219,54,8146.8,95,4313,168,5,30,10.3,57,20,ITA,4a6914ff
1,3,1,34.6,-2.4,129,373,538,90,21573.8,189,7862,341,18,153,12.8,97,20,ITA,4c62d0c8
0,1,0,8.7,-0.3,21,53,100,27,3220.0,48,1454,90,2,36,12.0,18,20,ITA,582a251c
0,10,4,47.9,-8.1,187,519,742,132,27602.4,291,12978,603,16,448,14.0,180,20,ITA,649b01d8
2,4,1,31.3,-2.7,61,169,504,90,15624.0,152,3967,252,8,77,11.1,23,20,ITA,67f649be
0,0,0,6.2,2.2,9,24,59,14,1728.7,42,970,61,1,0,7.8,7,20,ITA,72be9309
0,3,1,29.3,-1.7,111,222,853,189,23201.6,267,7716,490,24,224,11.8,67,20,ITA,74419746
0,0,0,4.0,1.0,3,10,26,5,793.0,12,397,16,0,0,0.0,3,20,ITA,7b4de647
0,0,0,0.4,-0.6,1,1,3,1,90.9,0,0,0,0,0,0.0,0,20,ITA,7b5f516f
0,8,3,53.6,-2.4,138,380,579,164,21365.1,275,10532,530,17,108,9.0,120,20,ITA,7f66ea09
0,1,0,0.4,-0.6,3,14,34,4,1125.4,10,332,14,1,11,11.5,4,20,ITA,82328faf
1,2,0,14.8,-2.2,34,77,383,55,9843.1,85,1878,184,11,275,16.2,15,20,ITA,82b1198a
1,9,3,45.0,-7.0,90,268,778,141,22406.4,205,5699,432,19,408,13.6,55,20,ITA,8cabdc1e
0,2,1,27.7,-4.3,31,103,466,86,11883.0,139,3183,241,4,214,14.3,23,20,ITA,9413b19f
0,0,0,2.6,-1.4,8,27,56,9,1864.8,24,696,54,0,51,12.9,7,20,ITA,95adf1e1
0,1,0,2.4,-0.6,6,13,42,2,1339.8,8,206,12,0,15,15.0,1,20,ITA,96640846
0,0,0,5.6,0.6,5,25,43,10,1281.4,18,808,27,0,32,16.4,10,20,ITA,9f5a610b
2,4,0,52.1,1.1,184,421,812,171,26552.4,358,12207,581,25,232,11.6,141,20,ITA,a111cf41
2,6,1,53.9,-9.1,161,364,848,218,26712.0,291,9777,474,44,368,12.7,112,20,ITA,ab4449d6
0,0,0,4.8,-0.2,9,28,124,32,3335.6,26,1008,52,3,197,19.7,13,20,ITA,ac4003af
0,0,0,4.1,0.1,6,10,38,7,942.4,14,336,34,1,56,18.8,3,20,ITA,bf168004
0,2,0,3.7,-0.3,3,17,69,14,2063.1,24,604,55,2,24,12.2,3,20,ITA,cf1c23d8
0,0,0,0.0,0.0,1,1,2,0,48.0,1,66,0,0,0,18.0,1,20,ITA,d4890c25
0,0,0,7.6,-3.4,33,71,109,18,4033.0,46,1439,98,3,33,11.1,15,20,ITA,dd06d56c
0,0,0,7.5,2.5,18,78,149,36,5244.8,59,2047,103,6,61,12.2,20,20,ITA,e1b0a70d
1,0,0,1.8,0.8,8,14,28,6,977.2,7,315,17,2,24,12.0,5,20,ITA,e358587b
0,0,0,7.6,-2.4,12,26,154,42,3865.4,54,1161,109,3,95,13.6,5,20,ITA,e40d028b
0,1,2,23.2,1.2,87,246,328,62,13185.6,159,6741,293,8,50,10.1,83,20,ITA,e7ee38c3
1,2,2,45.4,3.4,164,389,642,142,21828.0,233,10275,419,12,300,14.3,135,20,ITA,ee833569
0,0,1,5.7,2.7,12,29,122,24,2952.4,36,716,71,1,87,17.4,6,20,ITA,f058ed1f
2,4,3,36.7,-2.3,165,381,766,161,26044.0,208,10400,314,5,1031,18.1,135,20,ITA,f0f7f62f
0,2,1,21.6,1.6,68,224,314,74,11618.0,156,6224,274,12,74,10.6,81,20,ITA,f554e29b
0,0,0,0.0,0.0,0,0,1,0,17.0,2,38,0,0,0,0.0,0,20,ITA,f6a06749
1,9,3,70.4,-2.6,124,310,646,194,20672.0,326,10008,597,27,165,11.0,109,20,ITA,f93ed0df
1,1,0,12.8,-3.2,24,60,96,45,3052.8,66,2692,98,3,10,10.1,33,20,ITA,fe471a89
0,4,2,29.8,-0.2,76,149,836,132,22154.0,179,3938,399,12,599,16.2,19,21,ITA,01b8a2b2
1,10,1,56.2,2.2,180,496,789,160,29903.1,260,11336,486,24,359,13.3,142,21,ITA,085e71a7
2,6,1,35.7,-1.3,152,365,1021,148,29609.0,207,6975,556,29,636,14.8,86,21,ITA,08f5afaa
1,6,2,36.6,-3.4,191,679,694,77,29911.4,266,15428,444,9,248,12.4,238,21,ITA,0d422df7
1,6,0,50.4,-11.6,168,418,734,108,24662.4,271,10270,486,11,306,14.6,137,21,ITA,10dc46f0
1,0,0,8.6,-0.4,27,53,240,24,6624.0,43,1130,86,5,150,15.0,10,21,ITA,18736214
1,4,3,25.4,-0.6,59,166,562,107,16410.4,101,3595,174,7,576,19.2,39,21,ITA,20b9f052
1,4,0,48.0,-7.0,185,489,1244,132,42544.8,157,6594,298,9,791,17.2,73,21,ITA,277da414
1,0,0,15.8,-3.2,46,106,309,63,9548.1,83,2373,162,1,420,18.3,23,21,ITA,30223b33
0,0,0,3.7,-1.3,7,13,31,6,911.4,9,387,23,0,0,11.0,5,21,ITA,326d09ef
0,1,0,12.8,-1.2,50,90,287,49,8409.1,57,1345,119,4,71,14.2,5,21,ITA,339fe0e8
0,8,3,56.8,-16.2,298,554,1165,182,40076.0,274,10001,619,16,333,13.9,110,21,ITA,343f753a
0,0,0,1.7,-0.3,8,17,19,5,742.9,9,437,26,0,0,5.7,7,21,ITA,41bd99ea
0,1,0,4.8,-1.2,16,56,79,9,2693.9,22,1346,37,3,84,16.8,20,21,ITA,457cb02f
0,0,0,0.2,0.2,1,5,29,7,742.4,5,168,17,0,11,11.0,1,21,ITA,4a6914ff
0,5,2,47.5,5.5,187,554,882,140,32722.2,275,10560,540,19,226,12.6,136,21,ITA,4c62d0c8
0,0,0,0.4,0.4,7,11,29,4,762.7,11,308,14,0,18,18.7,3,21,ITA,4dea2f2c
1,6,1,51.9,-1.1,213,543,986,180,34510.0,259,11732,563,12,503,14.8,166,21,ITA,649b01d8
0,1,1,7.2,-1.8,8,23,114,17,2918.4,23,501,33,0,209,26.2,4,21,ITA,6662d731
0,0,0,0.4,-0.6,0,2,47,12,991.7,9,125,28,0,41,13.9,0,21,ITA,67f649be
0,0,0,0.0,0.0,1,1,1,0,44.0,1,15,0,0,0,0.0,0,21,ITA,7033ca08
0,2,0,4.4,-2.6,17,30,41,6,1537.5,11,543,27,0,0,7.5,8,21,ITA,72be9309
1,3,1,31.6,-0.4,91,200,911,159,24323.7,167,5143,441,13,327,14.9,45,21,ITA,74419746
0,2,0,4.9,-1.1,26,54,81,17,2883.6,25,1410,71,1,0,6.8,22,21,ITA,77d6fd4d
0,1,0,5.6,-1.4,17,51,122,31,4160.2,30,1116,50,4,23,11.5,11,21,ITA,82328faf
0,0,0,13.9,1.9,57,119,488,51,13956.8,57,1305,192,15,138,12.6,8,21,ITA,82b1198a
0,4,1,53.6,-1.4,118,319,1114,172,30857.8,240,5784,513,26,513,15.1,52,21,ITA,8cabdc1e
1,3,1,26.2,-1.8,35,77,510,96,12699.0,93,2166,241,8,170,13.1,15,21,ITA,9413b19f
0,0,0,2.9,-0.1,7,30,59,11,2041.4,19,678,33,1,22,11.1,7,21,ITA,94a3606c
0,0,0,0.3,-0.7,2,5,20,5,618.0,6,156,19,0,0,11.5,0,21,ITA,96640846
0,0,0,5.4,-0.6,20,72,143,17,5162.3,32,1430,64,1,191,19.1,17,21,ITA,9fa26bc2
2,2,0,51.0,0.0,165,380,760,171,25004.0,254,8813,484,26,239,13.3,105,21,ITA,a111cf41
1,8,1,47.4,2.4,92,257,724,168,21864.8,231,5405,443,23,264,12.6,56,21,ITA,ab4449d6
0,2,0,17.3,-3.7,40,91,318,74,8999.4,57,2485,143,8,440,16.3,34,21,ITA,ac4003af
0,2,0,2.4,-0.6,1,3,22,8,433.4,4,121,12,0,0,8.0,1,21,ITA,b056e3da
0,0,0,0.9,-0.1,8,13,26,9,808.6,10,367,20,0,11,11.5,5,21,ITA,c195ae4a
0,8,6,62.3,-5.7,204,578,966,178,35548.8,271,11761,620,19,243,11.6,158,21,ITA,c1d95617
0,2,0,10.0,-2.0,37,101,275,46,9102.5,31,1159,72,6,195,17.8,12,21,ITA,cc1a0c57
0,0,0,1.3,0.3,0,0,9,1,161.1,4,58,5,0,20,20.0,0,21,ITA,cf1c23d8
0,0,0,5.9,0.9,12,35,91,10,2948.4,16,444,37,1,25,12.6,4,21,ITA,dd06d56c
0,1,1,3.0,0.0,28,66,56,10,2570.4,32,1907,52,2,11,11.1,30,21,ITA,e1b0a70d
0,6,2,37.4,-1.6,131,295,983,125,30276.4,145,3697,372,9,234,13.8,32,21,ITA,e358587b
1,0,0,5.5,0.5,25,62,245,45,6713.0,61,1525,122,1,136,15.2,12,21,ITA,e40d028b
0,1,0,0.9,-0.1,1,5,24,9,614.4,7,258,19,2,39,13.0,3,21,ITA,e4b39692
2,9,2,72.1,-16.9,195,502,1134,164,36061.2,306,10159,555,18,543,15.1,122,21,ITA,e66ebabb
0,0,0,0.0,0.0,5,9,7,0,301.0,4,266,6,0,0,9.0,4,21,ITA,ec1f737d
0,0,0,0.1,0.1,0,1,14,2,267.4,8,112,15,1,15,15.3,0,21,ITA,f058ed1f
0,3,1,24.9,-0.1,92,232,550,87,17930.0,116,5765,234,6,678,17.4,74,21,ITA,f0f7f62f
1,7,0,54.2,1.2,175,429,688,139,23048.0,274,11508,530,19,312,14.2,160,21,ITA,f554e29b
0,0,0,1.0,0.0,0,0,9,0,188.1,2,28,2,0,28,28.0,0,21,ITA,f6a06749
0,1,0,8.6,-2.4,11,30,103,17,2513.2,34,1033,48,1,87,14.5,13,21,ITA,f794b426
2,5,0,30.6,1.6,124,273,836,159,25748.8,172,5418,481,24,337,13.5,51,22,ITA,01b8a2b2
0,1,0,8.1,0.1,43,97,304,23,9363.2,39,1567,61,2,446,22.3,17,22,ITA,085e71a7
0,0,0,2.7,0.7,5,19,35,6,1155.0,13,417,24,2,0,5.5,5,22,ITA,0acda699
0,4,1,45.5,-3.5,167,430,677,106,24845.9,252,9676,462,16,110,11.0,118,22,ITA,0d422df7
1,0,0,6.4,1.4,22,62,72,10,2988.0,28,1430,42,1,13,13.8,23,22,ITA,0dfce079
3,7,2,50.6,-6.4,257,605,916,100,33525.6,263,12071,476,14,258,12.9,181,22,ITA,10dc46f0
0,4,0,28.2,1.2,70,221,379,74,13644.0,143,5062,275,6,108,10.8,56,22,ITA,14a96e1c
0,1,2,30.8,-0.2,90,236,443,100,15327.8,142,5509,265,14,129,11.8,65,22,ITA,1e26e376
3,4,3,47.6,-1.4,206,616,957,133,38375.7,229,11839,476,28,295,11.8,159,22,ITA,277da414
1,3,1,28.6,0.6,79,161,618,92,17613.0,119,2808,283,11,232,14.5,24,22,ITA,339fe0e8
0,1,0,24.6,0.6,166,320,433,45,17666.4,130,6032,235,10,208,16.0,83,22,ITA,343f753a
1,1,0,5.7,-0.3,15,26,53,9,1754.3,15,556,22,1,11,11.3,8,22,ITA,457cb02f
0,1,1,5.4,-0.6,13,34,108,17,3196.8,26,759,77,1,50,12.6,6,22,ITA,4c62d0c8
0,4,2,40.8,-6.2,147,339,392,76,15484.0,182,9081,329,12,177,12.7,133,22,ITA,4f8ce0e1
0,0,0,0.2,0.2,6,24,31,1,1481.8,3,168,10,0,21,21.0,3,22,ITA,53e494ec
0,0,0,0.0,0.0,1,4,8,3,287.2,2,70,4,0,57,28.5,1,22,ITA,54f6afe3
1,4,1,43.1,-3.9,203,472,786,120,28531.8,212,10091,418,22,337,13.5,144,22,ITA,649b01d8
0,0,0,1.6,-0.4,4,8,19,2,632.7,4,119,4,0,16,16.0,1,22,ITA,67f649be
0,3,1,33.2,4.2,139,301,1118,176,31415.8,142,3763,393,15,112,11.2,29,22,ITA,74419746
1,5,6,65.2,1.2,133,386,1066,215,31447.0,257,9637,602,35,528,13.9,107,22,ITA,77d6fd4d
2,5,2,42.2,1.2,174,393,854,141,29206.8,222,6993,393,12,371,14.3,71,22,ITA,79b0d6a0
0,0,0,1.0,0.0,2,6,12,0,453.6,4,157,3,0,0,18.0,1,22,ITA,7b5f516f
0,3,1,27.6,3.6,73,193,842,124,24081.2,135,3037,353,18,527,17.0,19,22,ITA,82b1198a
0,0,0,0.1,0.1,0,0,1,1,15.0,0,0,1,0,0,0.0,0,22,ITA,880fcdbb
0,10,1,56.0,-6.0,186,431,1219,174,37667.1,246,7084,491,21,402,13.4,78,22,ITA,8cabdc1e
0,0,0,6.4,0.4,13,29,160,45,4016.0,36,954,89,3,73,14.6,9,22,ITA,9413b19f
0,0,1,11.8,-1.2,63,150,284,42,9428.8,74,3330,164,7,20,10.2,52,22,ITA,9f5a610b
2,4,0,26.7,-6.3,192,659,849,97,37695.6,169,11204,290,18,314,14.3,154,22,ITA,9fa26bc2
0,2,3,37.5,-1.5,147,348,744,170,23287.2,208,10337,308,28,643,16.5,144,22,ITA,a111cf41
0,1,0,2.7,-2.3,11,17,19,4,691.6,12,609,16,0,0,4.0,10,22,ITA,a2565f79
1,3,2,53.3,2.3,193,459,956,164,32504.0,294,7820,498,27,158,11.3,85,22,ITA,ab4449d6
0,1,0,5.6,0.6,8,33,107,33,2782.0,28,1316,45,1,55,13.9,18,22,ITA,ac4003af
0,0,0,0.2,0.2,0,4,3,0,183.0,1,60,3,0,0,0.0,1,22,ITA,ad263695
0,1,1,8.9,-0.1,33,74,168,14,5594.4,36,1260,82,6,37,12.5,13,22,ITA,b056e3da
0,0,0,0.8,0.8,0,0,0,0,0.0,1,22,1,0,0,0.0,0,22,ITA,b1f0b916
1,7,2,40.6,-7.4,189,577,733,120,31005.9,231,10741,495,21,301,13.1,158,22,ITA,c1d95617
0,0,0,9.3,0.3,22,59,155,39,4696.5,44,1364,100,2,41,13.8,15,22,ITA,c9c32262
0,3,0,13.1,-5.9,20,69,182,41,5587.4,54,2019,95,2,98,16.4,20,22,ITA,cc1a0c57
0,0,0,7.0,-1.0,12,42,89,19,2634.4,22,899,56,1,26,13.2,11,22,ITA,cf1c23d8
0,0,0,1.0,0.0,2,4,2,0,114.0,2,131,1,0,0,0.0,2,22,ITA,d7a35008
0,2,2,31.6,-9.4,197,464,1356,141,43663.2,170,5729,291,22,851,16.7,60,22,ITA,e1b0a70d
0,2,0,23.7,-5.3,66,133,429,73,12784.2,99,2979,186,10,137,13.7,29,22,ITA,e358587b
0,0,0,2.3,-0.7,4,19,23,4,913.1,7,410,12,0,0,0.0,7,22,ITA,ec1f737d
0,0,0,10.2,2.2,53,188,240,37,9456.0,78,4570,148,7,146,14.6,68,22,ITA,ee833569
0,0,0,0.9,-0.1,6,21,30,3,1155.0,7,364,14,2,0,11.2,6,22,ITA,f02dde20
0,1,0,1.8,-1.2,2,5,26,4,694.2,8,158,8,1,0,6.0,1,22,ITA,f058ed1f
4,10,1,52.4,-9.6,321,703,890,112,35066.0,316,15231,484,22,495,15.0,232,22,ITA,f554e29b
0,0,0,1.1,0.1,1,1,10,0,296.0,1,37,12,0,0,0.0,0,22,ITA,f6a06749
0,4,1,24.3,4.3,157,374,1004,164,33132.0,149,5438,347,25,756,16.8,58,22,ITA,fcb38f57
0,2,0,4.1,-0.9,9,24,59,16,1722.8,29,965,57,2,9,9.2,8,23,ITA,00a17eba
0,4,0,15.4,-0.6,84,194,418,81,14462.8,101,4292,253,9,277,15.4,51,23,ITA,01b8a2b2
1,4,0,36.3,-1.7,118,357,679,119,23425.5,152,7144,357,10,369,14.2,92,23,ITA,085e71a7
1,2,2,30.9,1.9,109,286,578,99,19305.2,214,7639,388,9,158,12.2,81,23,ITA,0d422df7
0,0,0,1.0,1.0,6,16,30,9,1131.0,8,334,12,0,52,26.3,4,23,ITA,10dc46f0
0,3,0,3.5,-1.5,15,42,46,4,1715.8,22,1256,37,0,0,11.5,20,23,ITA,14ae023f
0,3,0,20.6,0.6,67,212,272,22,11016.0,94,4718,146,4,82,13.8,66,23,ITA,1e9bde92
0,4,0,21.3,2.3,120,289,825,116,27390.0,140,4802,346,13,701,16.7,47,23,ITA,277da414
0,0,0,0.0,0.0,2,3,0,1,0.0,0,0,0,0,0,19.0,0,23,ITA,3318286e
