fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
1,4,0,22.8,-3.2,111,342,373,66,16262.8,143,9023,300,13,204,13.6,122,19,ENG,76eca7e2
1,6,4,39.3,-2.7,213,541,579,103,22638.9,284,14342,493,14,217,12.1,235,19,ENG,79b0d6a0
0,5,0,27.2,5.2,129,311,1072,212,30873.6,216,8920,385,16,979,16.6,95,19,ENG,7a2e46a8
0,5,2,34.5,-10.5,129,328,466,128,16729.4,192,9580,365,24,180,11.3,130,19,ENG,7b4de647
2,7,3,49.9,-1.1,265,620,769,153,29375.8,332,18127,524,9,335,13.4,262,19,ENG,7ba6d84e
0,1,0,3.6,-0.4,11,31,22,3,1168.2,13,713,18,1,0,3.8,11,19,ENG,8e65a5e5
1,5,3,39.2,9.2,164,408,956,161,30783.2,252,10634,454,13,536,14.9,126,19,ENG,8f62b6ee
0,10,1,62.7,8.7,306,825,917,155,39431.0,309,18941,554,29,193,12.1,284,19,ENG,9328b835
1,6,0,42.1,-11.9,275,631,880,97,35816.0,223,12398,345,24,385,13.3,171,19,ENG,939bc634
0,0,0,0.3,0.3,9,20,47,9,1386.5,16,745,26,2,0,5.8,11,19,ENG,a179d516
1,2,3,22.0,-2.0,179,457,414,45,19954.8,172,10440,333,8,475,16.4,153,19,ENG,a6de6361
0,2,1,20.3,-1.7,123,396,398,90,16477.2,191,11211,317,13,125,12.5,171,19,ENG,ab13a5aa
1,0,0,4.3,-0.7,16,28,47,14,1663.8,14,616,29,2,40,13.6,9,19,ENG,af245161
0,0,0,0.5,-0.5,7,29,31,0,1497.3,6,394,12,1,15,15.8,6,19,ENG,b73e459a
0,0,0,1.9,-1.1,5,18,16,4,681.6,7,455,5,0,0,2.0,7,19,ENG,c3e39f12
0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,19,ENG,c73ada83
1,6,1,36.0,-4.0,202,500,434,50,21352.8,181,11801,310,6,186,13.3,171,19,ENG,cb4f24c6
2,6,3,55.5,-0.5,340,941,942,98,43237.8,308,19465,575,31,1216,16.9,283,19,ENG,d0b3ceb9
2,1,1,18.5,-1.5,57,155,151,12,7383.9,52,2927,69,5,51,12.8,44,19,ENG,d822a850
0,0,0,0.1,0.1,5,11,14,2,530.6,7,347,15,1,0,11.0,6,19,ENG,da8b19e2
0,2,0,14.9,-3.1,69,249,215,17,10406.0,91,5532,166,5,171,14.3,83,19,ENG,e082af5b
0,0,0,4.8,-0.2,26,87,74,9,3529.8,34,2213,55,3,27,13.5,33,19,ENG,e608ed4c
0,0,1,4.7,0.7,5,17,42,13,1260.0,14,532,18,0,149,29.8,5,19,ENG,fe558029
0,1,0,6.0,0.0,39,101,79,12,3705.1,44,2675,83,1,12,12.4,42,20,ENG,07666c20
0,0,0,4.5,-2.5,18,44,108,17,3024.0,28,1111,63,1,11,11.0,15,20,ENG,10072610
0,0,0,1.2,0.0,0,2,7,2,158.9,3,47,5,1,0,11.3,0,20,ENG,1e43fad8
0,6,0,40.0,1.0,64,266,732,185,20422.8,253,8703,468,17,592,15.6,95,20,ENG,2628fd2b
2,7,2,33.7,-11.3,83,250,892,151,25243.6,198,6474,343,20,560,16.0,66,20,ENG,28d596a0
0,4,1,37.2,3.2,191,528,643,76,26748.8,178,10074,439,25,345,12.8,148,20,ENG,36c2ca73
3,8,2,63.0,7.0,288,750,749,119,31458.0,340,19822,686,21,301,11.6,295,20,ENG,3a949a25
1,4,1,29.6,2.6,74,183,939,178,24414.0,139,4170,260,14,1215,19.3,38,20,ENG,3bb7b8b4
0,7,2,50.2,-1.8,207,412,1201,255,34829.0,274,9151,526,20,356,13.7,108,20,ENG,4535e4bb
4,4,0,60.7,-1.3,183,607,843,185,33045.6,288,15408,591,20,290,11.6,201,20,ENG,466fb2c5
3,5,3,50.2,-2.8,270,730,1115,195,44711.5,264,12804,510,24,335,13.4,164,20,ENG,4806ec67
0,7,1,45.7,-3.3,263,870,883,180,41589.3,304,19364,623,52,715,14.9,273,20,ENG,4b40d9ca
0,0,0,4.8,-1.2,4,22,37,11,1272.8,14,464,24,0,43,14.5,6,20,ENG,51a19d04
