id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
e1cbb531,Stanislav Lobotka,sk SVK,MF,Napoli,26,1994,23,19,1686,18.7,1,0,1,1,0,0,2,0,0.1,0.1,0.7,0.8,25,93,13,0.05,0.00,0.05,0.05,0.05,0.01,0.04,0.04,0.01,0.04,Matches
a8a874f1,Manuel Locatelli,it ITA,MF,Juventus,23,1998,31,23,2160,24.0,3,3,6,3,0,0,6,0,2.2,2.2,1.3,3.5,15,147,32,0.12,0.12,0.25,0.12,0.25,0.09,0.06,0.15,0.09,0.15,Matches
20094685,Maxime Lopez,fr FRA,MF,Sassuolo,23,1997,35,33,2938,32.6,2,1,3,2,0,0,14,0,1.5,1.5,2.4,3.9,77,236,41,0.06,0.03,0.09,0.06,0.09,0.05,0.07,0.12,0.05,0.12,Matches
5fa57166,Matteo Lovato,it ITA,DF,Atalanta,21,2000,6,3,305,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,10,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
5fa57166,Matteo Lovato,it ITA,DF,Cagliari,21,2000,16,14,1238,13.8,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.7,3,21,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
a69e4806,Hirving Lozano,mx MEX,FW,Napoli,26,1995,30,20,1613,17.9,5,5,10,5,0,0,3,0,5.9,5.7,2.2,7.9,82,53,179,0.28,0.28,0.56,0.28,0.56,0.33,0.12,0.45,0.32,0.44,Matches
921f6058,José Luis Palomino,ar ARG,DF,Atalanta,31,1990,34,30,2672,29.7,1,0,1,1,0,0,9,0,2.1,2.1,0.4,2.4,15,113,8,0.03,0.00,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08,Matches
c6e8cf1f,Saša Lukić,rs SRB,MF,Torino,24,1996,35,34,2982,33.1,5,4,9,2,3,3,10,0,4.7,2.3,4.0,6.3,68,148,57,0.15,0.12,0.27,0.06,0.18,0.14,0.12,0.26,0.07,0.19,Matches
997fff07,Sebastiano Luperto,it ITA,DF,Empoli,24,1996,24,22,1958,21.8,0,1,1,0,0,0,8,1,0.7,0.7,0.5,1.1,21,76,3,0.00,0.05,0.05,0.00,0.05,0.03,0.02,0.05,0.03,0.05,Matches
5efc5389,Charalambos Lykogiannis,gr GRE,"DF,FW",Cagliari,27,1993,28,21,1817,20.2,1,0,1,1,0,0,2,0,1.1,1.1,1.1,2.1,28,34,57,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.11,0.05,0.11,Matches
14a96e1c,Niki Mäenpää,fi FIN,GK,Venezia,36,1985,17,16,1485,16.5,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches
957e4c87,Giulio Maggiore,it ITA,MF,Spezia,23,1998,35,33,2819,31.3,2,3,5,2,0,0,9,0,4.0,4.0,2.4,6.4,39,120,68,0.06,0.10,0.16,0.06,0.16,0.13,0.08,0.21,0.13,0.20,Matches
07767f42,Francesco Magnanelli,it ITA,MF,Sassuolo,36,1984,12,2,271,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Hellas Verona,25,1995,14,5,530,5.9,0,0,0,0,0,0,3,1,0.9,0.9,0.0,0.9,5,12,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Sampdoria,25,1995,4,3,239,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
fcb38f57,Mike Maignan,fr FRA,GK,Milan,26,1995,32,32,2880,32.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
e3a5814e,Ainsley Maitland-Niles,eng ENG,DF,Roma,23,1997,8,7,487,5.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,13,24,33,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16,Matches
22bfb57e,Jean-Victor Makengo,fr FRA,MF,Udinese,23,1998,33,26,2351,26.1,1,3,4,1,0,0,7,1,3.0,3.0,2.2,5.2,55,95,61,0.04,0.11,0.15,0.04,0.15,0.11,0.08,0.20,0.11,0.20,Matches
16b9d5cf,Nikola Maksimović,rs SRB,DF,Genoa,29,1991,14,13,1115,12.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,35,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
d6a889ea,Kévin Malcuit,ma MAR,"DF,MF",Napoli,30,1991,8,2,288,3.2,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.3,8,11,19,0.00,0.31,0.31,0.00,0.31,0.01,0.07,0.08,0.01,0.08,Matches
801831fe,Daniel Maldini,it ITA,MF,Milan,19,2001,8,2,148,1.6,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,7,3,8,0.61,0.00,0.61,0.61,0.61,0.26,0.04,0.30,0.26,0.30,Matches
4c8845f7,Youssef Maleh,it ITA,MF,Fiorentina,22,1998,28,11,1019,11.3,2,2,4,2,0,0,5,0,2.3,2.3,1.8,4.1,12,43,74,0.18,0.18,0.35,0.18,0.35,0.20,0.16,0.36,0.20,0.36,Matches
