id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-080,2000,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,31-340,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-280,2002,17.1,26,13,18,4,4,17,27,63.0,10,13,3,10,17,43,28,0,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-073,2004,3.1,11,10,1,8,2,8,11,72.7,3,11,2,9,1,12,2,2,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-050,1999,22.9,40,26,28,10,2,22,33,66.7,11,41,26,15,48,88,71,0,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-257,2001,22.5,6,3,0,4,2,1,12,8.3,11,16,1,15,2,8,11,0,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-326,1990,6.2,15,7,9,5,1,10,10,100.0,0,4,1,3,9,24,11,0,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,26-356,1996,21.0,25,10,9,10,6,11,30,36.7,19,28,1,27,17,42,8,0,Matches
a0d55a09,Bradley Barcola,fr FRA,"FW,MF",Lyon,20-196,2002,7.6,13,10,3,7,3,3,17,17.6,14,14,0,14,9,22,6,0,Matches
1ddbc7ca,Melvin Bard,fr FRA,DF,Nice,22-131,2000,18.6,66,41,40,21,5,41,59,69.5,18,25,1,24,38,104,31,1,Matches
3a24769f,Ross Barkley,eng ENG,"MF,FW",Nice,29-102,1993,7.8,10,5,4,2,4,5,9,55.6,4,6,1,5,4,14,5,0,Matches
e3844ecb,Mickaël Barreto,fr FRA,MF,Ajaccio,32-058,1991,6.9,19,12,6,10,3,5,25,20.0,20,8,0,8,10,29,6,0,Matches
20e0dd86,Cyrille Bayala,bf BFA,MF,Ajaccio,26-297,1996,17.7,47,34,14,17,16,20,38,52.6,18,20,3,17,21,68,12,0,Matches
5e6355f8,Yanis Begraoui,fr FRA,"FW,MF",Toulouse,21-256,2001,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,Matches
4a5e83ad,Alexis Beka Beka,fr FRA,"MF,DF",Nice,21-353,2001,3.8,10,4,5,5,0,2,9,22.2,7,5,1,4,7,17,2,0,Matches
5680bf3f,Jérémie Bela,ao ANG,"DF,MF",Clermont Foot,29-343,1993,7.5,6,4,2,1,3,3,4,75.0,1,9,1,8,7,13,7,0,Matches
705a1642,Reda Belahyane,fr FRA,MF,Nice,18-289,2004,0.1,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
1a248246,Youcef Belaïli,dz ALG,"MF,FW",Ajaccio,31-003,1992,11.4,15,9,2,7,6,7,19,36.8,12,9,1,8,5,20,4,0,Matches
1a248246,Youcef Belaïli,dz ALG,"FW,MF",Brest,31-003,1992,4.0,5,2,3,2,0,2,7,28.6,5,2,0,2,1,6,1,0,Matches
2b1bed19,Haris Belkebla,dz ALG,MF,Brest,29-048,1994,19.8,59,35,26,29,4,35,59,59.3,24,25,4,21,34,93,13,3,Matches
10f0fdd3,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,24-263,1998,17.7,31,17,13,13,5,6,15,40.0,9,15,2,13,21,52,17,0,Matches
c678ddd7,Jeanöel Belocian,fr FRA,DF,Rennes,18-028,2005,1.1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,4,0,Matches
3bd65247,Eliesse Ben Seghir,fr FRA,"FW,MF",Monaco,18-029,2005,6.8,14,9,4,9,1,3,8,37.5,5,9,0,9,2,16,0,0,Matches
1f6298f2,Salim Ben Seghir,fr FRA,MF,Marseille,20-021,2003,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
942b4f90,Wissam Ben Yedder,fr FRA,FW,Monaco,32-217,1990,15.5,9,5,2,1,6,2,9,22.2,7,13,0,13,4,13,0,0,Matches
3189f61a,Nabil Bentaleb,dz ALG,MF,Angers,28-113,1994,20.2,63,35,28,30,5,30,46,65.2,16,25,7,18,35,98,23,3,Matches
e4114f5d,Patrick Berg,no NOR,"MF,FW",Lens,25-113,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
0b2c9aec,Mitchell van Bergen,nl NED,"FW,DF",Reims,23-202,1999,8.3,14,6,5,6,3,6,18,33.3,12,6,2,4,4,18,8,0,Matches
3916b09c,Quentin Bernard,fr FRA,DF,Auxerre,33-253,1989,7.0,9,7,4,2,3,7,15,46.7,8,9,1,8,15,24,17,0,Matches
28dabd43,Paul Bernardoni,fr FRA,GK,Angers,25-333,1997,19.0,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,8,1,Matches
433dc9a2,Juan Bernat,es ESP,DF,Paris S-G,30-016,1993,12.1,23,12,15,6,2,16,28,57.1,12,8,1,7,7,30,14,0,Matches
03e91055,Jason Berthomier,fr FRA,MF,Clermont Foot,33-070,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
47c609d5,El Bilal Touré,ml MLI,FW,Reims,21-165,2001,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
a3e1d20d,Jean-Claude Billong,cm CMR,MF,Clermont Foot,29-079,1993,0.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches
636247ca,Veljko Birmančević,rs SRB,"FW,MF",Toulouse,25-012,1998,3.6,11,7,3,5,3,8,15,53.3,7,11,2,9,6,17,0,0,Matches
3d214e5f,Marco Bizot,nl NED,GK,Brest,32-007,1991,26.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4,Matches
967f34d3,Rubén Blanco,es ESP,GK,Marseille,27-235,1995,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
6191093d,Ludovic Blas,fr FRA,"FW,MF",Nantes,25-076,1997,22.5,35,23,13,14,8,13,34,38.2,21,19,1,18,14,49,6,0,Matches
3cdfc63e,Miha Blažič,si SVN,DF,Angers,29-313,1993,19.7,6,5,6,0,0,6,12,50.0,6,24,18,6,21,27,68,1,Matches
6a9e4913,Joaquín Blázquez,ar ARG,GK,Brest,22-048,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
5b479568,Myron Boadu,nl NED,FW,Monaco,22-062,2001,1.5,1,1,0,0,1,0,4,0.0,4,0,0,0,0,1,1,0,Matches
2db2fd7b,Jérôme Boateng,de GER,DF,Lyon,34-195,1988,3.5,2,0,1,1,0,1,3,33.3,2,4,2,2,5,7,15,0,Matches
7d937aa1,Antonin Bobichon,fr FRA,MF,Angers,27-184,1995,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
f6496133,Quentin Boisgard,fr FRA,MF,Lorient,26-000,1997,2.0,6,2,1,4,1,3,4,75.0,1,3,1,2,4,10,2,0,Matches
9f936061,Neto Borges,br BRA,DF,Clermont Foot,26-185,1996,23.0,60,37,39,16,5,34,56,60.7,22,33,9,24,33,93,45,1,Matches
c03b7266,Kenji-Van Boto,mg MAD,DF,Auxerre,27-010,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,Matches
65fcf987,Kouamé Botué,bf BFA,"FW,MF",Ajaccio,20-222,2002,2.5,4,2,2,1,1,0,2,0.0,2,1,0,1,0,4,1,0,Matches
0400dd2f,Badredine Bouanani,dz ALG,"FW,MF",Nice,18-099,2004,3.6,3,2,1,1,1,2,6,33.3,4,2,0,2,0,3,0,0,Matches
f9d5908e,Hicham Boudaoui,dz ALG,MF,Nice,23-175,1999,12.3,41,20,23,16,2,25,32,78.1,7,22,5,17,22,63,12,0,Matches
4fb18ca4,Franci Bouebari,fr FRA,DF,Strasbourg,19-186,2003,0.8,3,0,1,2,0,3,5,60.0,2,0,0,0,2,5,2,0,Matches
b0c71810,Sofiane Boufal,ma MAR,"FW,MF",Angers,29-181,1993,9.3,14,9,7,4,3,3,12,25.0,9,6,0,6,5,19,1,0,Matches
62e02107,Ismaëlben Boura,fr FRA,"DF,FW",Lens,22-215,2000,1.0,6,4,4,2,0,5,6,83.3,1,2,1,1,2,8,3,0,Matches
20e73fac,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29-062,1994,23.4,30,21,11,16,3,13,42,31.0,29,29,1,28,21,51,20,0,Matches
02bcaf8e,Bilal Brahimi,dz ALG,"FW,MF",Nice,23-003,2000,5.6,4,2,1,2,1,0,3,0.0,3,3,0,3,3,7,0,0,Matches
5b146df3,Lilian Brassier,fr FRA,DF,Brest,23-135,1999,23.4,29,17,23,4,2,15,24,62.5,9,29,13,16,41,70,96,0,Matches
b088d5d3,Andreas Bruus,dk DEN,"DF,FW",Troyes,24-060,1999,14.1,11,5,8,3,0,8,13,61.5,5,11,1,10,16,27,14,0,Matches
af69e7f0,Joe Bryan,eng ENG,"MF,DF",Nice,29-181,1993,1.8,5,4,3,2,0,4,4,100.0,0,2,0,2,1,6,1,0,Matches
3b676989,Adam Buksa,pl POL,"FW,MF",Lens,26-248,1996,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
7b082ec2,Maxime Busi,be BEL,DF,Reims,23-154,1999,7.1,16,12,8,7,1,10,16,62.5,6,8,3,5,7,23,15,0,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Nice,23-164,1999,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
148e136f,Rémy Cabella,fr FRA,"MF,FW",Lille,33-009,1990,18.3,47,27,17,19,11,20,41,48.8,21,32,2,30,13,60,6,1,Matches
46359159,Jimmy Cabot,fr FRA,"DF,MF",Lens,28-333,1994,5.7,20,12,10,8,2,12,26,46.2,14,5,0,5,4,24,12,0,Matches
928a4a61,Jens Cajuste,se SWE,MF,Reims,23-219,1999,11.0,38,19,20,11,7,19,36,52.8,17,21,5,16,15,53,15,0,Matches
94f8d10c,Duje Ćaleta-Car,hr CRO,DF,Marseille,26-181,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
8577e60a,Mahdi Camara,fr FRA,MF,Brest,24-260,1998,15.3,43,24,11,29,3,17,28,60.7,11,33,3,30,28,71,14,0,Matches
489e80e3,Mohamed Camara,ml MLI,MF,Monaco,23-070,2000,16.4,57,34,24,30,3,30,53,56.6,23,35,4,31,18,75,10,0,Matches
5a6b06cd,Ousmane Camara,gn GUI,"FW,MF",Auxerre,21-134,2001,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
