id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
1001ae82,0,10,3,0.0,0.0,22.7,1,0,0,0.5,0.5,-0.5,-0.5
b0c71810,3,51,16,0.06,0.19,18.6,1,0,0,3.4,3.4,-0.4,-0.4
f6798fc3,0,1,0,0.0,0.0,7.4,0,0,0,0.1,0.1,-0.1,-0.1
fd771f95,4,29,8,0.14,0.5,12.2,0,0,0,5.1,5.1,-1.1,-1.1
4accb7e0,0,9,1,0.0,0.0,16.6,0,0,0,0.6,0.6,-0.6,-0.6
1519a888,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7b5ab7f2,1,4,1,0.25,1.0,18.7,0,0,0,0.8,0.8,0.2,0.2
45e304c8,1,8,2,0.13,0.5,24.0,0,0,0,0.8,0.8,0.2,0.2
5ab0ea87,0,8,0,0.0,0.0,20.9,0,0,0,0.4,0.4,-0.4,-0.4
f3112790,0,6,1,0.0,0.0,18.6,0,0,0,0.3,0.3,-0.3,-0.3
e7ab4179,2,10,3,0.2,0.67,10.8,0,0,0,1.5,1.5,0.5,0.5
92b4a127,0,17,2,0.0,0.0,10.9,0,0,0,1.6,1.6,-1.6,-1.6
69cbc8b6,2,22,7,0.09,0.29,12.0,0,0,0,2.3,2.3,-0.3,-0.3
bdef8cdb,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
41b3069f,1,10,2,0.1,0.5,10.6,0,0,0,0.8,0.8,0.2,0.2
6922f806,9,78,18,0.09,0.39,15.1,0,2,2,8.5,6.9,0.5,0.1
1a1609ab,0,3,2,0.0,0.0,28.1,1,0,0,0.1,0.1,-0.1,-0.1
873619c6,1,3,1,0.33,1.0,10.7,0,0,0,0.8,0.8,0.2,0.2
61220da2,4,23,9,0.17,0.44,23.3,3,0,0,1.8,1.8,2.2,2.2
a6de370d,7,64,23,0.08,0.22,23.2,14,2,2,7.0,5.4,0.0,-0.4
37f1cf47,0,9,2,0.0,0.0,16.3,0,0,0,0.5,0.5,-0.5,-0.5
b92b456a,3,17,8,0.18,0.38,11.4,0,0,0,3.4,3.4,-0.4,-0.4
e1deea75,1,9,3,0.11,0.33,18.5,0,0,0,0.5,0.5,0.5,0.5
8f898ba8,6,56,18,0.09,0.28,12.1,0,1,3,9.1,6.7,-3.1,-1.7
4958bfb2,1,11,4,0.09,0.25,22.0,0,0,0,0.4,0.4,0.6,0.6
dee86451,0,10,2,0.0,0.0,18.8,0,0,0,0.5,0.5,-0.5,-0.5
4d224fe8,3,40,8,0.08,0.38,19.5,1,0,0,2.6,2.6,0.4,0.4
958bba56,0,5,1,0.0,0.0,16.2,0,0,0,0.5,0.5,-0.5,-0.5
274ab13c,0,3,1,0.0,0.0,10.2,0,0,0,0.2,0.2,-0.2,-0.2
e2e9c250,4,28,8,0.07,0.25,22.1,4,2,3,4.4,2.1,-0.4,-0.1
c0617e2b,3,22,5,0.14,0.6,18.9,1,0,0,2.3,2.3,0.7,0.7
c4b8bcf4,14,56,24,0.14,0.33,15.2,0,6,7,12.2,6.7,1.8,1.3
e98f3a6a,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7f203b54,2,6,2,0.33,1.0,18.7,0,0,0,0.6,0.6,1.4,1.4
0ac94a23,2,32,6,0.06,0.33,16.3,0,0,0,3.7,3.7,-1.7,-1.7
8d957256,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
b8a642fc,5,58,23,0.09,0.22,18.1,0,0,0,5.2,5.2,-0.2,-0.2
04ac8285,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
