id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
007faf7a,Lucas Da Cunha,fr FRA,"FW,MF",fr Rennes,18,2001,2,102,51,18.9,1.1,1,76,0,1,26,0,1.50,2,1,+1,+0.88,+1.70,1.2,0.6,+0.5,+0.47,-0.22,Matches
1ec7e1c5,Damien Da Silva,fr FRA,DF,fr Rennes,31,1988,3,270,90,50.0,3.0,3,90,3,0,,3,0.33,2,4,-2,-0.67,-0.33,4.3,2.3,+2.1,+0.69,+0.09,Matches
eac044ad,Moanes Dabbur,il ISR,FW,es Sevilla,27,1992,6,332,55,30.7,3.7,3,90,3,3,21,0,2.50,10,3,+7,+1.90,+0.81,9.1,2.4,+6.7,+1.81,+1.29,Matches
a04e2dd2,Johan Dahlin,se SWE,GK,se Malmö,32,1986,8,720,90,100.0,8.0,8,90,8,0,,0,1.71,9,11,-2,-0.25,,8.2,10.9,-2.7,-0.34,,Matches
ca45605e,Patson Daka,zm ZAM,FW,at RB Salzburg,20,1998,2,135,68,75.0,1.5,2,68,1,0,,0,0.50,2,4,-2,-1.33,+0.67,1.8,3.1,-1.3,-0.87,+0.40,Matches
59a3efba,Nicola Dalmonte,it ITA,FW,ch Lugano,21,1997,4,128,32,23.7,1.4,1,63,0,3,22,2,0.50,1,0,+1,+0.70,+1.58,1.7,3.3,-1.6,-1.15,-0.92,Matches
d9565625,Diogo Dalot,pt POR,DF,eng Manchester Utd,20,1999,3,260,87,23.4,2.9,3,87,2,0,,0,1.67,2,1,+1,+0.35,-1.56,4.3,2.6,+1.7,+0.60,-0.96,Matches
1746fb21,Damyan Damyanov,bg BUL,GK,bg Ludogorets,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9763a91c,Erik Daniel,cz CZE,FW,sk Slovan Bratislava,27,1992,6,267,45,49.4,3.0,3,80,1,3,9,0,1.73,7,7,0,0.00,+0.99,2.9,6.9,-4.0,-1.35,-0.49,Matches
ccd38335,Danilo,br BRA,FW,nl Ajax,20,1999,1,45,45,25.0,0.5,1,45,0,0,,1,3.00,1,1,0,0.00,+0.67,1.3,1.2,+0.2,+0.36,+0.92,Matches
6bff8a73,Fabio Daprelà,ch SUI,DF,ch Lugano,28,1991,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,2,5,-3,-0.50,,6.0,8.7,-2.7,-0.45,,Matches
06a1d642,Mohammed Daramy,dk DEN,"FW,MF",dk FC Copenhagen,17,2002,7,214,31,21.0,2.4,2,59,0,5,19,2,1.75,2,1,+1,+0.42,+0.09,1.3,1.6,-0.3,-0.15,+0.32,Matches
