id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
0e12089d,0,0,0,2.1,-0.9,7,17,14,4,8,20,3,3,625.8,511.2,41.1
1061c207,0,0,0,2.9,-0.1,9,22,25,4,12,21,0,1,940.0,577.2,12.4
15285503,0,0,0,1.6,-0.4,8,17,16,2,4,8,0,1,720.0,236.0,21.0
1d0900d4,0,5,4,40.2,-3.8,343,757,802,99,260,478,14,14,36090.0,14872.0,177.8
1d2d5cc8,2,5,1,32.8,-3.2,133,363,702,127,186,331,25,14,24148.8,7756.2,165.2
2434f24a,4,5,1,38.7,-5.3,236,629,875,150,295,475,30,34,34037.5,16195.5,493.0
26383ea5,1,0,0,5.8,0.8,18,38,58,13,20,29,3,4,1803.8,1114.0,58.0
26975a92,1,1,2,19.6,-0.4,89,314,390,84,145,255,22,25,15054.0,7931.5,405.0
28a65a2c,1,1,0,7.0,1.0,33,89,94,13,44,68,5,1,4004.4,2552.0,9.8
2f965a72,2,5,1,26.2,2.2,52,102,659,167,240,404,22,50,15025.2,7032.0,805.0
2fa2a875,1,4,0,37.9,4.9,249,556,880,219,268,494,51,24,33088.0,12274.4,307.2
3814120d,0,6,0,26.7,-5.3,132,338,450,76,168,283,19,12,17235.0,9206.4,151.2
4d3e9033,1,0,0,4.9,-1.1,9,30,70,12,24,63,3,0,2408.0,926.4,0.0
4e7db402,3,6,2,52.2,0.2,315,740,931,166,331,565,23,79,36867.6,18072.6,1398.3
60d90c55,0,0,0,6.6,2.6,32,65,74,14,29,37,3,6,3071.0,1635.6,87.0
76806215,0,0,1,8.0,-1.0,33,83,174,41,61,96,7,10,5533.2,2525.4,158.0
8417953b,0,1,0,5.3,1.3,20,47,56,13,36,58,3,3,1864.8,1897.2,31.8
8a2248b4,1,0,2,37.1,3.1,102,262,542,161,232,445,13,4,15826.4,10184.8,44.4
9260926b,0,0,0,1.5,-0.5,0,0,0,0,0,1,0,0,0.0,0.0,0.0
950ff24d,1,1,1,13.2,-1.8,39,79,192,36,91,117,5,5,5049.6,3949.4,60.0
96908f80,0,0,0,1.3,0.3,7,21,17,4,13,19,0,0,686.8,720.2,0.0
96fcd380,0,2,1,14.3,-1.7,90,202,232,60,102,187,4,5,9117.6,6109.8,60.5
a3d524cb,0,0,1,13.6,0.6,73,165,194,46,79,145,12,10,7837.6,4471.4,140.0
a4527d33,1,9,1,56.7,-2.3,218,582,655,141,237,406,7,33,27837.5,14338.5,511.5
a56bd2ee,0,5,1,50.5,-7.5,295,705,867,163,308,547,27,21,35720.4,18048.8,270.9
ae7d0ecd,0,1,0,27.7,-1.3,140,341,358,58,130,232,12,12,15573.0,7826.0,157.2
b0547a87,0,1,0,1.4,0.4,0,2,4,0,2,4,0,1,89.2,129.0,37.0
b056e3da,0,8,1,33.1,-3.9,230,608,753,172,333,633,41,22,28011.6,18914.4,253.0
b7e7937d,0,0,0,1.9,1.9,12,28,42,12,23,37,1,1,1356.6,959.1,16.2
bc270726,0,3,0,48.9,7.9,329,909,894,98,361,634,31,25,39246.6,21262.9,315.0
bcf1b2e9,2,6,3,67.2,-2.8,313,727,1322,227,323,643,48,83,47856.4,14470.4,1394.4
c121a641,0,1,0,2.3,-0.7,3,14,20,2,4,9,0,0,880.0,228.0,0.0
cac76a72,2,4,1,48.6,5.6,195,519,865,131,276,532,28,21,29842.5,12502.8,270.9
ce17b5eb,0,0,0,4.9,0.9,4,8,71,20,21,66,4,5,1583.3,493.5,79.0
cfe852d8,0,3,1,28.9,-1.1,130,414,475,99,184,365,21,21,19617.5,10966.4,289.8
dc366c36,0,5,2,40.1,6.1,205,578,704,103,269,510,25,49,28582.4,14579.8,759.5
e39f8724,0,0,1,8.9,-3.1,41,109,128,32,59,96,5,1,4889.6,3174.2,9.9
e65dd8dc,0,1,0,4.8,-1.2,17,42,45,12,28,53,1,0,1750.5,1302.0,0.0
e750cba4,0,3,0,25.9,-2.1,145,413,481,74,173,285,10,9,19576.7,10085.9,94.5
f00de885,1,3,3,37.6,3.6,119,324,810,169,239,513,21,30,25596.0,9321.0,417.0
f6db3bd5,1,3,1,38.9,-1.1,165,431,655,154,265,481,32,21,24431.5,11713.0,273.0
faf873a7,0,2,1,8.1,-1.9,18,50,88,16,35,59,7,11,3203.2,1596.0,179.3
fcb38f57,1,2,2,46.6,-4.4,140,348,868,196,286,439,32,51,25606.0,12812.8,821.1
